pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_pubdate,disc_locale,disc_facility,disc_telescope,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,ttv_flag,pl_ratdor,pl_ratror,pl_occdep,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
Kepler-201 b,Kepler-201,1,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,25.672083,0.175,2.46,0.219,,,,,,,,,0,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,6065,1.23,,,,,4.29,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h34m30.25s,293.626059,+41d16m22.08s,41.2728004,636.445,12.991,11.737,12.9199,14/05/2014,2014-03,14/05/2014
Kepler-201 c,Kepler-201,1,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,151.884058,0.573,2.85,0.254,,,,,,,,,1,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,6065,1.23,,,,,4.29,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h34m30.25s,293.626059,+41d16m22.08s,41.2728004,636.445,12.991,11.737,12.9199,14/05/2014,2014-03,14/05/2014
Kepler-202 b,Kepler-202,1,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,4.069427,0.045,1.63,0.145,,,,,,,,,0,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,4668,0.67,,,,,4.65,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h51m53.64s,282.9734874,+41d19m18.48s,41.3217991,285.111,14.178,11.639,13.8433,14/05/2014,2014-03,14/05/2014
Kepler-202 c,Kepler-202,1,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,16.282493,0.113,1.85,0.165,,,,,,,,,0,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,4668,0.67,,,,,4.65,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h51m53.64s,282.9734874,+41d19m18.48s,41.3217991,285.111,14.178,11.639,13.8433,14/05/2014,2014-03,14/05/2014
Kepler-203 b,Kepler-203,1,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,3.162697,0.043,2.57,0.229,,,,,,,,,0,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5821,1.11,,,,,4.36,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h48m21.59s,297.089959,+41d23m17.05s,41.3880686,703.302,14.14,12.445,13.9421,14/05/2014,2014-03,14/05/2014
Kepler-203 c,Kepler-203,1,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,5.370647,0.061,2.47,0.22,,,,,,,,,0,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5821,1.11,,,,,4.36,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h48m21.59s,297.089959,+41d23m17.05s,41.3880686,703.302,14.14,12.445,13.9421,14/05/2014,2014-03,14/05/2014
Kepler-203 d,Kepler-203,1,1,3,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,11.32972,0.1,1.44,0.128,,,,,,,,,0,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5821,1.11,,,,,4.36,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h48m21.59s,297.089959,+41d23m17.05s,41.3880686,703.302,14.14,12.445,13.9421,14/05/2014,2014-03,14/05/2014
Kepler-204 b,Kepler-204,1,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,14.400974,0.117,2.53,0.226,,,,,,,,,0,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5812,1.24,,,,,4.27,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h01m23.32s,285.347162,+41d45m42.64s,41.761845,686.723,13.977,12.481,13.8745,14/05/2014,2014-03,14/05/2014
Kepler-204 c,Kepler-204,1,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,25.660593,0.173,1.79,0.16,,,,,,,,,0,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5812,1.24,,,,,4.27,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h01m23.32s,285.347162,+41d45m42.64s,41.761845,686.723,13.977,12.481,13.8745,14/05/2014,2014-03,14/05/2014
Kepler-205 b,Kepler-205,1,1,2,0,Transit,2014,2014-03,Space,Kepler,0.95 m Kepler Telescope,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2.75564,0.032,1.51,0.135,,,,,,,,,0,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,4321,0.55,,,,,4.74,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h01m08.81s,285.2866912,+41d51m39.37s,41.8609357,159.72,13.779,10.833,13.4947,14/05/2014,2014-03,14/05/2014
