pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_pubdate,disc_locale,disc_facility,disc_telescope,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,ttv_flag,pl_ratdor,pl_ratror,pl_occdep,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
11 Com b,11 Com,1,2,1,0,Radial Velocity,2007,2008-01,Ground,Xinglong Station,2.16 m Telescope,Published Confirmed,0,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,326.03,1.29,,,6165.6,19.4,Msini,,0.231,,,,0,,,,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,G8 III,4742,19,2.7,-0.35,[Fe/H],2.243,2.31,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846,4.72307,2.282,4.44038,14/05/2014,2008-01,14/05/2014
11 UMi b,11 UMi,1,1,1,0,Radial Velocity,2009,2009-10,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,516.21997,1.53,,,4684.8142,14.74,Msini,,0.08,,,,0,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4213,29.79,2.78,-0.02,[Fe/H],,1.93,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.321,5.013,1.939,4.56216,04/09/2018,2017-03,06/09/2018
14 And b,14 And,1,1,1,0,Radial Velocity,2008,2008-12,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,Published Confirmed,0,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,185.84,0.83,,,1525.5,4.8,Msini,,0,,,,0,,,,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,K0 III,4813,11,2.2,-0.24,[Fe/H],1.763,2.63,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392,5.23133,2.331,4.91781,14/05/2014,2008-12,14/05/2014
14 Her b,14 Her,1,1,1,0,Radial Velocity,2002,2003-01,Ground,W. M. Keck Observatory,10 m Keck I Telescope,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,1773.40002,2.93,,,1481.0878,4.66,Msini,,0.37,,,,0,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5338,0.93,0.9,0.41,[Fe/H],,4.45,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323,6.61935,4.714,6.383,04/09/2018,2017-03,06/09/2018
16 Cyg B b,16 Cyg B,1,3,1,0,Radial Velocity,1996,1997-07,Ground,Multiple Observatories,Multiple Telescopes,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,798.5,1.66,,,565.7374,1.78,Msini,,0.68,,,,0,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5750,1.13,1.08,0.06,[Fe/H],,4.36,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397,6.215,4.651,6.06428,04/09/2018,2017-03,06/09/2018
18 Del b,18 Del,1,2,1,0,Radial Velocity,2008,2008-06,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,Published Confirmed,0,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,993.3,2.6,,,3273.5,10.3,Msini,,0.08,,,,0,,,,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,G6 III,4979,8.5,2.3,-0.052,[Fe/H],1.602,2.82,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.222,5.51048,3.366,5.27476,14/05/2014,2008-06,14/05/2014
24 Boo b,24 Boo,1,1,1,0,Radial Velocity,2018,2018-08,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,Published Confirmed,0,<a refstr=TAKARADA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASJ...70...59T/abstract target=ref>Takarada et al. 2018</a>,30.3506,0.19,,,289.2253,0.91,Msini,,0.042,,,,0,,,,<a refstr=TAKARADA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASJ...70...59T/abstract target=ref>Takarada et al. 2018</a>,G3 IV,4893,10.64,0.99,-0.77,[Fe/H],1.774,2.42,6.92,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863,5.59,3.159,5.3339,25/04/2018,2018-08,26/04/2018
24 Sex b,24 Sex,1,1,2,0,Radial Velocity,2010,2011-01,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Published Confirmed,0,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,452.8,1.333,,,632.46,1.99,Msini,,0.09,,,,0,,,,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,,5098,4.9,1.54,-0.03,[Fe/H],1.164,3.5,2.7,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,6.4535,4.285,6.20374,14/05/2014,2011-01,14/05/2014
24 Sex c,24 Sex,1,1,2,0,Radial Velocity,2010,2011-01,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Published Confirmed,0,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,883,2.08,,,273.32,0.86,Msini,,0.29,,,,0,,,,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,,5098,4.9,1.54,-0.03,[Fe/H],1.164,3.5,2.7,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,6.4535,4.285,6.20374,14/05/2014,2011-01,14/05/2014
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,2,1,0,Imaging,2013,2013-05,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,Published Confirmed,0,<a refstr=DELORME_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A&A...553L...5D/abstract target=ref>Delorme et al. 2013</a>,,84,,,4131.79,13,Mass,,,,,,0,,,,<a refstr=DELORME_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A&A...553L...5D/abstract target=ref>Delorme et al. 2013</a>,M5.5/M6,,,0.19,,,,,0.03,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,,15.788,9.237001,,08/09/2020,2013-05,03/09/2020
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,1,0,Imaging,2013,2013-09,Ground,W. M. Keck Observatory,10 m Keck II Telescope,Published Confirmed,0,<a refstr=BOWLER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...55B/abstract target=ref> Bowler et al. 2013 </a>,,52,,,7786.5,24.5,Mass,,,,,,0,,,,<a refstr=BOWLER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...55B/abstract target=ref> Bowler et al. 2013 </a>,M3.5 V,3530,,0.4,,,-1.72,,0.12,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.8281,14.244,9.198,12.9025,14/05/2014,2013-09,14/05/2014
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,1,0,Imaging,2015,2015-06,Ground,Cerro Tololo Inter-American Observatory,1.5 m CTIO Telescope,Published Confirmed,0,<a refstr=ARTIGAU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,,156,16.141,1.44,4417.837,13.9,Mass,,,,,,0,,,,<a refstr=ARTIGAU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,M6,3064,0.28,0.11,,,-2.23,4.59,0.035,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,,,10.404,15.0123,14/05/2015,2015-06,14/05/2015
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,1,0,Imaging,2010,2010-05,Space,Hubble Space Telescope,2.4 m Hubble Space Telescope,Published Confirmed,0,<a refstr=TODOROV_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...714L..84T/abstract target=ref> Todorov et al. 2010 </a>,,15,,,2383.6,7.5,Mass,,,,,,0,,,,<a refstr=TODOROV_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...714L..84T/abstract target=ref> Todorov et al. 2010 </a>,M8.5,,,0.02,,,,,0.001,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,,,13.161,18.9668,14/05/2014,2010-05,14/05/2014
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,1,0,Imaging,2004,2004-10,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,Published Confirmed,0,<a refstr=CHAUVIN_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...425L..29C/abstract target=ref> Chauvin et al. 2004 </a>,,55,,,1589.15,5,Mass,,,,1250,,0,,,,<a refstr=CHAUVIN_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...425L..29C/abstract target=ref> Chauvin et al. 2004 </a>,M8,,,0.02,,,,,0.008,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.308,,11.945,17.4076,24/02/2016,2004-10,25/02/2016
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,1,0,Eclipse Timing Variations,2015,2015-05,Space,Kepler,0.95 m Kepler Telescope,Published Confirmed,0,<a refstr=BARAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...577A.146B/abstract target=ref>Baran et al. 2015</a>,416,0.92,,,603.877,1.9,Mass,,,,,,0,,,,<a refstr=BARAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...577A.146B/abstract target=ref>Baran et al. 2015</a>,,,,0.48,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.332,12.651,12.955,12.1376,04/06/2015,2015-05,04/06/2015
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,1,0,Imaging,2009,2010-03,Ground,W. M. Keck Observatory,10 m Keck II Telescope,Published Confirmed,0,<a refstr=KONOPACKY_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...711.1087K/abstract target=ref> Konopacky et al. 2010 </a>,7336.5,,10.31,0.92,6657.48,20.95,Mass,,0.26,,2075,46.2,0,,,,<a refstr=KONOPACKY_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...711.1087K/abstract target=ref> Konopacky et al. 2010 </a>,M8.5,2300,0.12,0.08,,,-3.48,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h40m29.24s,325.1218214,+16d25m16.83s,16.4213408,,,11.826,17.3961,14/05/2014,2010-03,14/05/2014
30 Ari B b,30 Ari B,1,4,1,0,Radial Velocity,2009,2009-12,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,335.10001,0.99,,,4392.4106,13.82,Msini,,0.29,,,,0,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6331,1.41,1.93,0.19,[Fe/H],,4.43,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.657,7.09209,5.822,6.96085,04/09/2018,2017-03,06/09/2018
4 UMa b,4 UMa,1,1,1,0,Radial Velocity,2006,2007-09,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Published Confirmed,0,<a refstr=DOLLINGER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...472..649D/abstract target=ref> Dollinger et al. 2007 </a>,269.3,0.87,,,2256.5,7.1,Msini,,0.432,,,,0,,,,<a refstr=DOLLINGER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...472..649D/abstract target=ref> Dollinger et al. 2007 </a>,K1 III,4415,18.11,1.23,-0.25,[Fe/H],,1.8,4.604,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603,4.5801,1.734,4.23773,14/05/2014,2007-09,14/05/2014
42 Dra b,42 Dra,1,2,1,0,Radial Velocity,2008,2009-06,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Published Confirmed,0,<a refstr=DOELLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...499..935D/abstract target=ref> Doellinger et al. 2009 </a>,479.1,1.19,,,1233.13,3.88,Msini,,0.38,,,,0,,,,<a refstr=DOELLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...499..935D/abstract target=ref> Doellinger et al. 2009 </a>,K1.5 III,4200,22.03,0.98,-0.46,[Fe/H],,1.71,9.49,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,90.6545,4.8262,2.085,4.43216,14/05/2014,2009-06,14/05/2014
47 UMa b,47 UMa,1,1,3,0,Radial Velocity,1996,1996-06,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Published Confirmed,0,<a refstr=GREGORY___FISCHER_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403..731G/abstract target=ref> Gregory &amp; Fischer 2010 </a>,1078,2.1,,,804.08,2.53,Msini,,0.032,,,,0,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5872,1.21,1.06,0.04,[M/H],0.198,4.3,,0.8366,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,5.03352,3.75,4.87837,14/05/2014,2010-04,14/05/2014
47 UMa c,47 UMa,1,1,3,0,Radial Velocity,2001,2002-01,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Published Confirmed,0,<a refstr=GREGORY___FISCHER_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403..731G/abstract target=ref> Gregory &amp; Fischer 2010 </a>,2391,3.6,,,171.621,0.54,Msini,,0.098,,,,0,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5872,1.21,1.06,0.04,[M/H],0.198,4.3,,0.8366,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,5.03352,3.75,4.87837,14/05/2014,2010-04,14/05/2014
51 Eri b,51 Eri,1,3,1,0,Imaging,2015,2015-00,Ground,Gemini Observatory,8.19 m Gemini South Telescope,Published Confirmed,0,<a refstr=MACINTOSH_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,,13.2,,,635.66,2,Mass,,,,700,,0,,,,<a refstr=MACINTOSH_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,F0 IV,,,1.75,-0.027,[M/H],0.85,,0.02,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.7575,5.21149,4.537,5.15806,08/07/2019,2015-00,14/08/2015
51 Peg b,51 Peg,1,1,1,0,Radial Velocity,1995,1995-11,Ground,Haute-Provence Observatory,1.93 m Telescope,Published Confirmed,0,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>,4.230785,0.0527,,,150.009,0.472,Msini,,0.013,,,,0,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5758,1.18,1.03,0.18,[M/H],0.136,4.31,,0.8937,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614,5.45309,3.911,5.28647,14/05/2014,2006-07,14/05/2014
55 Cnc b,55 Cnc,1,2,5,0,Radial Velocity,1996,1997-01,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,14.6516,0.1134,,,255.4,0.8036,Msini,,0,,,,0,,,,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172,0.94,0.91,0.35,[Fe/H],,4.43,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084,4.015,5.72973,05/02/2021,2018-10,11/02/2021
55 Cnc c,55 Cnc,1,2,5,0,Radial Velocity,2004,2004-10,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,44.3989,0.2373,,,51.2,0.1611,Msini,,0.03,,,,0,,,,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172,0.94,0.91,0.35,[Fe/H],,4.43,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084,4.015,5.72973,05/02/2021,2018-10,11/02/2021
55 Cnc d,55 Cnc,1,2,5,0,Radial Velocity,2002,2002-12,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,5574.2,5.957,,,991.6,3.12,Msini,,0.13,,,,0,,,,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172,0.94,0.91,0.35,[Fe/H],,4.43,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084,4.015,5.72973,05/02/2021,2018-10,11/02/2021
55 Cnc e,55 Cnc,1,2,5,0,Radial Velocity,2004,2004-10,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,0.7365474,0.01544,1.875,0.167,7.99,0.02514,Mass,6.66,0.05,,,83.59,0,3.52,0.0182,,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172,0.94,0.91,0.35,[Fe/H],,4.43,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084,4.015,5.72973,05/02/2021,2018-10,11/02/2021
55 Cnc f,55 Cnc,1,2,5,0,Radial Velocity,2007,2008-03,Ground,Multiple Observatories,Multiple Telescopes,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,259.88,0.7708,,,47.8,0.1503,Msini,,0.08,,,,0,,,,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172,0.94,0.91,0.35,[Fe/H],,4.43,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084,4.015,5.72973,05/02/2021,2018-10,11/02/2021
6 Lyn b,6 Lyn,1,1,1,0,Radial Velocity,2008,2008-12,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,Published Confirmed,0,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,934.3,2.11,,,638.8383,2.01,Msini,,0.073,,,,0,,,,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,4938,5.2,1.44,,,,3.19,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,54.6599,5.87307,3.701,5.60686,03/12/2018,2019-04,06/12/2018
61 Vir b,61 Vir,1,1,3,0,Radial Velocity,2009,2010-01,Ground,Multiple Observatories,Multiple Telescopes,Published Confirmed,0,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,4.215,0.050201,,,5.1,0.016,Msini,,0.12,,,,0,,,,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,G5 V,5577,0.96,0.94,-0.01,[Fe/H],-0.095,4.34,8.96,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,4.6955,2.956,4.54052,14/05/2014,2010-01,14/05/2014
61 Vir c,61 Vir,1,1,3,0,Radial Velocity,2009,2010-01,Ground,Multiple Observatories,Multiple Telescopes,Published Confirmed,0,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,38.021,0.2175,,,18.2,0.057,Msini,,0.14,,,,0,,,,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,G5 V,5577,0.96,0.94,-0.01,[Fe/H],-0.095,4.34,8.96,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,4.6955,2.956,4.54052,14/05/2014,2010-01,14/05/2014
