hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,lum_class
Kepler-550,G,5322,0.83,0.87,-0.02,[Fe/H],-0.384,4.55,4.68,1.28385,V
Kepler-558,K,5242,0.81,0.85,-0.06,[Fe/H],-0.384,4.56,4.47,2.34352,V
Kepler-781,K,5162,0.78,0.81,-0.1,[Fe/H],-0.384,4.58,4.9,1.84941,V
Kepler-148,K,5272,0.85,0.86,0.14,[Fe/H],-0.383,4.55,11.2,2.84319,V
Kepler-607,K,5196,0.8,0.84,-0.02,[Fe/H],-0.382,4.56,4.9,3.02639,V
Kepler-1236,K,5337,0.82,0.86,-0.09,[Fe/H],-0.379,4.55,4.07,6.0153,V
Kepler-181,G,5333,0.75,0.85,-0.023,[M/H],-0.379,4.62,0.5,3.54077,V
Kepler-257,K,5180,1.04,0.85,0.04,[Fe/H],-0.378,4.36,14,3.03443,V
Kepler-1132,K,5298,0.83,0.87,-0.01,[Fe/H],-0.378,4.55,4.57,1.50773,V
WASP-23,K,5150,0.77,0.78,0.05,,-0.377,4.2,6.2,1.84,V
Kepler-118,K,5274,1.09,0.81,0.18,[Fe/H],-0.377,4.32,13.9,2.37825,V
Kepler-1011,G,5416,0.88,0.91,0.08,[Fe/H],-0.376,4.52,4.47,2.1712,V
Kepler-397,G,5307,0.77,0.84,-0.24,[Fe/H],-0.376,4.57,5.25,46.77407,V
Kepler-816,K,5286,0.85,0.9,0.16,[Fe/H],-0.374,4.54,4.17,2.31041,V
Kepler-636,K,5203,0.8,0.85,-0.02,[Fe/H],-0.374,4.56,5.01,6.61361,V
Kepler-243,K,5228,0.84,0.83,0.01,[Fe/H],-0.373,4.57,3.5,3.25264,V
Kepler-477,K,5240,0.79,0.87,-0.04,[Fe/H],-0.372,4.58,2.09,1.44556,V
Kepler-478,K,5210,0.8,0.85,-0.03,[Fe/H],-0.371,4.56,4.9,4.04712,V
K2-165,K,5185,0.8,0.83,-0.05,[Fe/H],-0.37,4.46,,2.08241,V
Kepler-1404,K,5261,0.8,0.84,-0.09,[Fe/H],-0.37,4.56,4.57,3.95109,V
Kepler-230,G,5588,0.82,0.84,-0.14,[Fe/H],-0.368,4.55,1.8,2.79093,V
Kepler-1374,G,5323,0.81,0.85,-0.13,[Fe/H],-0.368,4.56,4.47,4.86052,V
Kepler-195,G,5329,0.78,0.84,-0.11,[Fe/H],-0.367,4.6,0.7,2.41247,V
Kepler-821,K,5191,0.8,0.84,-0.03,[Fe/H],-0.364,4.56,4.79,2.35671,V
EPIC 201757695,K,4520,0.66,0.73,-0.003,[Fe/H],-0.364,4.66,,,V
Kepler-1595,K,5203,0.8,0.84,-0.02,[Fe/H],-0.363,4.56,4.68,2.74456,V
Kepler-1038,K,5335,0.83,0.87,-0.04,[Fe/H],-0.362,4.55,4.27,3.27732,V
Kepler-841,G,5324,0.81,0.85,-0.09,[Fe/H],-0.362,4.56,4.47,25.36857,V
Kepler-721,K,5075,0.78,0.82,-0.01,[Fe/H],-0.362,4.58,4.9,1.70108,V
WASP-42,G,5315,0.89,0.95,0.29,[Fe/H],-0.361,4.51,4.4,1.885,V
Kepler-976,K,5232,0.83,0.87,0.07,[Fe/H],-0.36,4.55,4.68,2.54944,V
K2-192,K,5222,0.81,0.9,0.15,[Fe/H],-0.36,4.57,,5.975,V
Kepler-1232,G,5471,0.89,0.92,0.06,[Fe/H],-0.359,4.51,4.79,1.8739,V
Kepler-800,K,5315,0.82,0.85,-0.09,[Fe/H],-0.358,4.55,4.68,1.0156,V
Kepler-756,K,5282,0.79,0.82,-0.19,[Fe/H],-0.358,4.57,4.47,2.17012,V
Kepler-662,K,4897,0.74,0.79,-0.03,[Fe/H],-0.356,4.6,3.63,6.4784,V
Kepler-1221,K,5194,0.82,0.87,0.09,[Fe/H],-0.355,4.55,4.57,1.04718,V
NGTS-4,K,5143,0.84,0.75,-0.28,[M/H],-0.353,4.5,,1.91,V
K2-273,K,5200,0.84,0.9,0.2,[Fe/H],-0.353,4.55,,0.037,V
Kepler-390,K,5166,0.78,0.86,-0.044,[M/H],-0.352,4.57,3.24,3.24733,V
Kepler-1101,G,5614,0.91,0.94,-0.04,[Fe/H],-0.351,4.5,4.27,3.7581,V
Kepler-1701,G,5146,0.84,0.87,0.03,[M/H],-0.351,4.53,,2.06781,V
Kepler-1467,K,5332,0.82,0.86,-0.07,[Fe/H],-0.351,4.55,4.37,2.94942,V
Kepler-931,G,5241,0.81,0.86,-0.01,[Fe/H],-0.35,4.55,4.68,3.22363,V
Kepler-736,G,5217,0.81,0.86,0.03,[Fe/H],-0.35,4.56,4.27,2.78265,V
Kepler-1024,G,5143,0.78,0.81,-0.1,[Fe/H],-0.35,4.57,5.25,1.46712,V
Kepler-679,K,5403,0.84,0.87,-0.09,[Fe/H],-0.348,4.54,4.47,0.49933,V
Kepler-595,G,5138.5,0.82,0.93,0.406,[M/H],-0.348,4.54,2.7,2.60841,V
K2-176,G,5428,0.86,0.94,0.15,[Fe/H],-0.348,4.63,,1.2831,V
Kepler-589,G,5296,0.83,0.88,0.01,[Fe/H],-0.347,4.55,4.47,2.33888,V
Kepler-1301,K,5188,0.81,0.85,0.01,[Fe/H],-0.346,4.56,4.9,8.94101,V
Kepler-1247,K,5303,0.82,0.86,-0.05,[Fe/H],-0.345,4.55,4.68,7.43092,V
K2-191,K,5176,0.84,0.9,0.31,[Fe/H],-0.345,4.57,,1.65547,V
TrES-5,K,5171,0.87,0.9,0.2,[Fe/H],-0.344,4.52,7.4,1.945,V
Kepler-673,G,5355,0.84,0.88,0,[Fe/H],-0.344,4.54,4.47,1.41129,V
Kepler-973,K,5213,0.78,0.86,-0.06,[Fe/H],-0.344,4.58,2.29,2.18901,V
Kepler-1160,G,5519,0.89,0.92,0.01,[Fe/H],-0.343,4.51,4.57,3.39097,V
Kepler-877,K,5261,0.81,0.85,-0.06,[Fe/H],-0.343,4.56,4.57,1.19692,V
Kepler-1151,G,5470,0.85,0.88,-0.11,[Fe/H],-0.342,4.53,4.37,6.66383,V
Kepler-57,K,5145,0.73,0.83,0.117,[M/H],-0.342,4.63,0.6,2.74529,V
Kepler-273,G,5626,0.81,0.94,0.14,[Fe/H],-0.341,4.51,5.1,4.62323,V
Kepler-284,G,5615,0.81,0.92,0.14,[Fe/H],-0.341,4.58,0.5,3.57325,V
Kepler-1175,G,5453,0.86,0.9,-0.04,[Fe/H],-0.34,4.53,4.17,4.60464,V
Kepler-1600,K,5214,0.82,0.86,0.07,[Fe/H],-0.339,4.55,4.68,2.68951,V
Kepler-600,K,5279,0.81,0.84,-0.09,[Fe/H],-0.339,4.56,4.57,0.52088,V
Kepler-1699,G,5575.53,0.72,0.81,0.225,[M/H],-0.339,4.62,,9.94108,V
Kepler-222,G,5433,0.87,0.88,0.05,[Fe/H],-0.338,4.55,0.7,4.36488,V
Kepler-1553,K,5288,0.81,0.85,-0.09,[Fe/H],-0.338,4.56,4.57,2.03642,V
Kepler-1170,K,5069,0.76,0.8,-0.09,[Fe/H],-0.338,4.58,4.9,1.80506,V
Kepler-876,K,5060,0.77,0.81,-0.03,[Fe/H],-0.338,4.58,5.25,2.22584,V
