hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,lum_class
Kepler-605,K,5462,0.88,0.91,0.02,[Fe/H],-0.248,4.52,4.47,9.97929,V
K2-226,G,5424,0.91,0.88,-0.03,[Fe/H],-0.246,4.47,,1.72343,IV-V
Kepler-1028,G,5522,0.87,0.9,-0.09,[Fe/H],-0.245,4.52,4.68,4.31494,V
Kepler-1685,G,5484,0.84,0.96,0.21,[Fe/H],-0.245,4.58,,2.321,V
Kepler-1243,G,5667,0.94,0.96,0.01,[Fe/H],-0.244,4.48,4.37,1.56166,IV-V
Kepler-1476,G,5663,0.96,0.98,0.06,[Fe/H],-0.243,4.47,4.57,5.34191,V
Kepler-1690,G,5404,0.86,0.94,0,[Fe/H],-0.243,4.54,8.5,2.06657,V
Kepler-1458,G,5653,0.94,0.96,0.02,[Fe/H],-0.24,4.48,4.17,4.06359,IV-V
Kepler-310,G,5797,0.88,0.91,-0.07,[Fe/H],-0.239,4.52,1.9,10.54459,V
K2-189,G,5519,0.87,0.94,0,[Fe/H],-0.239,4.53,,2.07235,V
Kepler-226,G,5571,0.8,0.91,0.16,[Fe/H],-0.239,4.59,0.5,2.13629,V
Kepler-587,G,5549,0.89,0.92,-0.05,[Fe/H],-0.238,4.51,4.79,5.43604,V
K2-319,G,5440,0.9,0.95,,,-0.237,4.51,,1.62082,V
Kepler-495,K,5346,0.83,0.86,-0.07,[Fe/H],-0.237,4.55,4.37,1.90183,V
Kepler-30,G,5498,0.95,0.99,0.18,[Fe/H],-0.237,4.77,2,2,V
Kepler-439,G,5431,0.87,0.88,0.02,[Fe/H],-0.236,4.51,7.2,1.89,V
K2-64,K,5312,0.73,0.74,,,-0.234,4.58,,1.97545,V
Kepler-293,K,5804,0.96,0.94,0.04,[Fe/H],-0.233,4.5,0.5,1.81242,V
Kepler-1534,G,5442,0.86,0.9,-0.01,[Fe/H],-0.233,4.52,4.57,6.81343,V
Kepler-692,G,5440,0.86,0.9,-0.01,[Fe/H],-0.233,4.53,4.68,2.38978,V
Kepler-1198,G,5517,0.9,0.93,0.03,[Fe/H],-0.232,4.5,4.68,3.85065,V
Kepler-1420,K,5187,0.79,0.82,-0.1,[Fe/H],-0.232,4.57,4.9,2.60281,V
K2-172,G,5569,0.87,0.93,-0.06,[Fe/H],-0.232,4.61,,2.1811,V
Kepler-1556,G,5608,0.95,0.97,0.08,[Fe/H],-0.231,4.47,4.9,8.39086,V
Kepler-783,G,5521,0.89,0.93,0.01,[Fe/H],-0.231,4.51,3.89,0.90656,V
Kepler-1392,G,5479,0.85,0.88,-0.11,[Fe/H],-0.231,4.53,4.68,1.59423,V
HATS-46,G,5495,0.85,0.92,-0.06,[Fe/H],-0.23,4.54,3,2.1,V
Kepler-314,G,5378,0.95,1.02,0.322,[M/H],-0.226,4.46,2.4,1.49432,V
Kepler-802,G,5507,0.9,0.93,0.06,[Fe/H],-0.226,4.5,4.68,0.49325,V
Kepler-1191,K,5308,0.81,0.85,-0.08,[Fe/H],-0.226,4.56,4.57,2.26307,V
Kepler-184,G,5788,0.87,0.97,-0.196,[M/H],-0.225,4.51,1.7,2.7003,V
Kepler-963,K,5461,0.87,0.91,-0.02,[Fe/H],-0.225,4.52,4.07,2.2596,V
Kepler-1117,G,5612,0.93,0.95,0.03,[Fe/H],-0.224,4.49,4.27,1.98241,V
Kepler-571,G,5527,0.9,0.93,0.01,[Fe/H],-0.223,4.51,4.68,1.40966,V
Kepler-724,G,5437,0.86,0.9,-0.02,[Fe/H],-0.223,4.53,4.37,6.24879,V
Kepler-744,G,5594,0.93,0.94,0,[Fe/H],-0.222,4.48,5.13,9.7949,V
Kepler-453,G,5527,0.83,0.94,0.09,[m/H],-0.221,4.57,2.49,2.34763,V
Kepler-1693,G,5432.34,0.88,0.95,0.026,[M/H],-0.218,4.53,0.8,1.97682,V
Kepler-706,K,5394,0.84,0.87,-0.06,[Fe/H],-0.218,4.54,4.79,3.42177,V
Kepler-846,G,5579,0.91,0.94,0,[Fe/H],-0.217,4.5,4.37,3.89592,V
K2-224,G,5620,0.84,0.91,-0.19,[Fe/H],-0.217,4.55,,2.73527,V
K2-282,G,5523,1.01,0.94,0.15,[Fe/H],-0.215,4.47,,1.442,V
Kepler-1644,G,5499,0.86,0.89,-0.1,[Fe/H],-0.215,4.53,4.27,1.00918,V
Kepler-905,K,5461,0.86,0.95,0.09,[Fe/H],-0.215,4.55,1.66,8.00121,V
Kepler-574,G,5612,0.91,0.95,-0.01,[Fe/H],-0.214,4.5,4.17,2.41976,V
Kepler-536,G,5524,0.89,0.92,0,[Fe/H],-0.214,4.51,4.79,2.27396,V
K2-208,G,5582,0.86,0.93,-0.11,[Fe/H],-0.214,4.62,,2.17698,V
Kepler-738,K,5327,0.82,0.86,-0.09,[Fe/H],-0.213,4.55,4.57,3.83443,V
Kepler-85,G,5499,1.24,0.92,0,[Fe/H],-0.212,4.22,4.37,0.11974,V
Kepler-576,G,5672,0.97,0.99,0.09,[Fe/H],-0.211,4.46,4.47,0.93119,V
Kepler-933,K,5346,0.84,0.87,-0.02,[Fe/H],-0.211,4.54,4.68,2.01989,V
Kepler-1133,G,5569,0.9,0.93,-0.02,[Fe/H],-0.21,4.5,4.07,20.39189,V
K2-187,G,5484,0.92,0.98,0.23,[Fe/H],-0.21,4.5,,1.6823,V
K2-157,G,5456,0.88,0.94,0.13,[Fe/H],-0.21,4.55,,1.67926,V
Kepler-178,G,5676,1.07,0.94,0.18,[Fe/H],-0.208,4.33,11.3,2.32199,V
Kepler-317,G,5497,0.94,0.86,0.13,[Fe/H],-0.208,4.49,3.72,1.48079,IV-V
HAT-P-37,G,5500,0.88,0.93,0.03,,-0.208,4.51,3.6,1.87,V
Kepler-941,G,5539,0.86,0.89,-0.15,[Fe/H],-0.206,4.53,4.07,0.1136,V
Kepler-1674,G,5473.91,0.88,0.96,0.056,[M/H],-0.206,4.53,0.5,2.00462,V
Kepler-1307,G,5884,1.08,1.06,0.06,[Fe/H],-0.205,4.39,4.07,2.49234,V
K2-279,G,5558,0.86,0.79,-0.37,[Fe/H],-0.205,4.46,,1.13,V
Kepler-409,K,5460,0.89,0.92,0.08,[Fe/H],-0.202,4.5,6.8,1.81,V
Kepler-1036,G,5533,0.89,0.95,0.04,[Fe/H],-0.202,4.52,3.24,0.3502,V
Kepler-548,G,5535,0.9,0.93,0,[Fe/H],-0.201,4.5,4.37,3.16564,V
Kepler-1679,G,5501,0.87,0.96,-0.04,[Fe/H],-0.201,4.54,0.4,2.03283,V
Kepler-1552,K,5202,0.78,0.85,-0.07,[Fe/H],-0.201,4.58,3.31,1.71,V
Kepler-1471,G,5660,0.93,0.95,-0.03,[Fe/H],-0.199,4.48,4.57,2.3335,V
Kepler-1277,G,5578,0.92,0.94,-0.01,[Fe/H],-0.199,4.49,5.01,2.40742,V
Kepler-1683,G,5429,0.9,0.95,0.16,[Fe/H],-0.198,4.51,13.6,1.83523,V
WASP-50,G,5400,0.84,0.89,0.12,,-0.198,4.54,7,2.12,V
Kepler-1371,G,5361,0.83,0.87,-0.07,[Fe/H],-0.198,4.55,4.37,3.54402,V
Kepler-1128,G,5543,0.91,0.94,0.04,[Fe/H],-0.196,4.5,4.57,10.19029,V
Kepler-1477,K,5100,0.78,0.81,-0.06,[Fe/H],-0.196,4.58,4.68,4.18999,V
Kepler-1682,G,5619.12,0.84,0.99,-0.048,[M/H],-0.196,4.58,5.7,2.3356,V
WASP-41,G,5545,0.83,0.81,0.06,[Fe/H],-0.195,4.53,1.2,2.01,V
HAT-P-44,K,5295,0.95,0.94,0.33,[Fe/H],-0.194,4.46,7.5,1.09993,V
Kepler-1012,G,5556,0.91,0.95,0.05,[Fe/H],-0.194,4.5,3.72,1.80454,V
Kepler-961,G,5582,0.9,0.96,0.05,[Fe/H],-0.194,4.51,2.82,2.82159,V
Kepler-1023,G,5494,0.89,0.93,0.05,[Fe/H],-0.193,4.51,4.47,6.81194,V
Kepler-594,G,5485,0.87,0.91,-0.03,[Fe/H],-0.193,4.52,4.27,3.04887,V
Kepler-1310,G,5549,0.88,0.91,-0.07,[Fe/H],-0.192,4.51,4.17,3.18974,V
Kepler-1066,G,5762,0.98,0.98,-0.03,[Fe/H],-0.19,4.45,3.8,2.12805,V
Kepler-936,G,5482,0.89,0.92,0.05,[Fe/H],-0.19,4.51,4.57,4.40297,V
TOI-451,G,5550,0.88,0.95,,,-0.189,4.56,0.12,1.824,V
Kepler-1612,F,5643,0.94,0.96,0.03,[Fe/H],-0.188,4.48,4.57,1.72996,IV-V
Kepler-1333,G,5628,0.92,0.94,-0.04,[Fe/H],-0.188,4.49,4.57,4.11331,V
Kepler-344,G,5774,0.98,0.93,0.04,[M/H],-0.185,4.45,6.6,6.56772,V
Kepler-82,G,5529,0.9,0.91,0.211,[M/H],-0.185,4.49,4.68,1.77,V
Kepler-1282,G,5504,0.89,0.92,0.01,[Fe/H],-0.183,4.51,4.57,3.01046,V
Kepler-255,G,5573,0.93,0.87,0.339,[M/H],-0.183,4.52,2.4,2.24666,V
Kepler-920,G,5403,0.85,0.89,0,[Fe/H],-0.183,4.54,4.37,1.85865,V
Kepler-1215,G,5616,0.93,0.95,0.01,[Fe/H],-0.182,4.48,4.79,5.06537,V
Kepler-319,G,5526,0.9,0.96,-0.015,[M/H],-0.181,4.49,3.55,3.64696,V
Kepler-561,F,5646,0.94,0.96,0.02,[Fe/H],-0.18,4.48,4.27,2.40514,IV-V
K2-293,G,5532,0.95,0.96,0.218,[M/H],-0.18,4.52,,1.68821,V
Kepler-538,G,5547,0.87,0.89,-0.03,[m/H],-0.179,4.51,5.3,1.902,V
K2-168,G,5502.7,0.83,0.88,-0.13,[Fe/H],-0.176,4.39,,1.2704,V
Kepler-743,G,5486,0.85,0.94,0.01,[Fe/H],-0.176,4.55,1.86,1.6861,V
Kepler-938,G,5533,0.89,0.92,-0.03,[Fe/H],-0.174,4.51,4.27,1.95244,V
Kepler-878,K,5044,0.77,0.81,-0.03,[Fe/H],-0.174,4.58,4.57,3.45421,V
K2-207,G,5522,0.93,0.94,0.11,[Fe/H],-0.173,4.41,,1.85898,V
HATS-62,G,5416,0.93,0.9,0.133,[Fe/H],-0.173,4.45,9.55,1.556,V
HATS-14,K,5346,0.93,0.97,0.33,[Fe/H],-0.173,4.48,4.9,1.682,V
Kepler-487,G,5444,0.88,0.91,0,[Fe/H],-0.173,4.51,5.62,1.78366,V
Kepler-1623,G,5772,1,1,0.04,[Fe/H],-0.172,4.44,4.27,3.20972,V
Kepler-746,G,5418,0.93,0.91,0.09,[Fe/H],-0.172,4.46,8.71,5.1037,V
Kepler-251,G,5526,0.89,0.95,-0.02,[Fe/H],-0.172,4.49,3.63,2.12141,V
Kepler-723,G,5539,0.89,0.92,0,[Fe/H],-0.172,4.51,4.57,1.45056,V
K2-248,G,5528,0.92,0.88,-0.1,[Fe/H],-0.171,4.45,,1.82647,V
Kepler-1606,G,5422,0.86,0.9,0.01,[Fe/H],-0.171,4.53,4.27,1.19,V
Kepler-1513,G,5617,0.97,0.99,0.14,[Fe/H],-0.17,4.46,3.98,1.26197,V
EPIC 206024342,G,5759,0.82,0.93,,,-0.17,4.59,,2.3828,V
Kepler-581,G,5772,1,1,0.03,[Fe/H],-0.169,4.44,4.07,1.96293,V
Kepler-414,G,5536,0.95,0.89,0.05,[Fe/H],-0.169,4.47,5.5,1.64198,V
KOI-217,G,5545,0.86,0.95,0.12,[Fe/H],-0.169,4.53,1.7,2.08224,V
K2-227,G,5673,0.89,0.95,-0.1,[Fe/H],-0.167,4.58,,1.66362,V
K2-291,G,5520,0.9,0.93,0.08,[Fe/H],-0.166,4.5,3.72,1.77,V
Kepler-1498,K,5256,0.81,0.86,-0.01,[Fe/H],-0.166,4.56,4.17,0.78624,V
Kepler-20,G,5495,0.96,0.95,0.07,[m/H],-0.165,4.45,7.6,2.20611,V
Kepler-1578,G,5545,0.86,0.9,-0.13,[Fe/H],-0.165,4.53,4.27,2.0073,V
Kepler-585,G,5593,0.93,0.96,0.03,[Fe/H],-0.163,4.49,3.63,2.10797,V
Kepler-375,K,5826,0.84,0.92,0.14,[Fe/H],-0.163,4.57,0.4,2.76203,V
TOI-1444,G,5430,0.91,0.93,0.13,[Fe/H],-0.162,4.49,,1.24,V
Kepler-1678,G,5754,0.83,1.03,0,[Fe/H],-0.162,4.61,0.3,2.49449,V
Kepler-150,G,5560,0.94,0.94,-0.02,[Fe/H],-0.161,4.47,4.57,2.11056,V
Kepler-1172,G,5558,0.89,0.92,-0.04,[Fe/H],-0.161,4.51,4.37,1.73973,V
Kepler-19,G,5544,0.86,0.94,-0.08,[Fe/H],-0.161,4.51,1.9,2.20846,V
Kepler-1017,G,5473,0.87,0.93,0.04,[Fe/H],-0.161,4.53,2.95,6.3602,V
K2-169,G,5548,0.92,0.99,0.26,[Fe/H],-0.161,4.56,,1.49832,IV
Kepler-702,G,5419,0.86,0.9,0,[Fe/H],-0.159,4.53,4.47,3.85261,V
Kepler-695,K,5181,0.8,0.84,-0.01,[Fe/H],-0.159,4.57,4.47,2.4165,V
Kepler-1227,G,5747,0.95,0.97,-0.04,[Fe/H],-0.158,4.47,4.17,6.27526,V
Kepler-860,K,5836,1.06,1.04,0.09,[Fe/H],-0.157,4.4,4.27,2.67226,V
K2-158,G,5503,0.95,0.92,0.07,[Fe/H],-0.157,4.45,,1.57526,V
Kepler-63,G,5576,0.9,0.98,0.05,[Fe/H],-0.157,4.52,0.21,1.895,V
Kepler-326,K,5105,0.8,0.85,0.239,[M/H],-0.157,4.56,14,2.50206,V
Kepler-1235,G,5541,0.9,0.93,0.01,[Fe/H],-0.156,4.5,4.57,1.97455,V
Kepler-346,G,6033,1.02,0.95,0,[Fe/H],-0.153,4.46,1.7,11.79405,V
Kepler-689,G,5518,0.88,0.91,-0.01,[Fe/H],-0.153,4.51,4.57,1.49344,V
Kepler-1251,G,5545,0.89,0.92,-0.04,[Fe/H],-0.153,4.51,4.79,6.65298,V
Kepler-259,G,5938,0.9,0.93,-0.03,[Fe/H],-0.153,4.53,0.4,1.98095,V
Kepler-424,G,5460,0.94,1.01,0.44,[Fe/H],-0.15,4.5,4.9,1.73,V
Kepler-1210,G,5568,0.92,0.94,0.04,[Fe/H],-0.149,4.49,5.13,4.6734,V
Kepler-294,G,5913,0.98,0.95,0.16,[Fe/H],-0.148,4.49,0.6,2.17431,V
Kepler-1055,G,5723,0.94,0.98,-0.02,[Fe/H],-0.148,4.49,3.09,2.16162,V
Kepler-1116,G,5641,0.93,0.95,0.01,[Fe/H],-0.147,4.48,4.9,2.25165,V
Kepler-1067,G,5592,0.93,0.95,0.03,[Fe/H],-0.147,4.49,4.79,4.56389,V
Kepler-872,G,5902,1.08,1.05,0.04,[Fe/H],-0.146,4.4,4.17,1.78181,V
Kepler-1357,G,5597,0.9,0.93,-0.06,[Fe/H],-0.146,4.5,4.57,2.16164,V
Kepler-1090,K,5321,0.82,0.86,-0.04,[Fe/H],-0.146,4.55,4.37,2.67261,V
Kepler-987,G,5637,0.91,0.97,0.01,[Fe/H],-0.145,4.51,2.45,4.07825,V
Kepler-1503,K,5069,0.74,0.77,-0.19,[Fe/H],-0.144,4.59,5.13,2.07895,V
WASP-25,G,5750,0.8,0.67,-0.05,[Fe/H],-0.143,4.5,0.02,1.82,V
Kepler-51,F,6018,0.94,1.04,0.01,[Fe/H],-0.142,4.51,0.3,2.16,V
K2-246,G,5610,0.94,0.87,-0.19,[Fe/H],-0.141,4.43,,1.68077,V
Kepler-586,G,5575,0.92,0.94,0,[Fe/H],-0.141,4.5,4.17,3.58201,V
Kepler-1532,G,5559,0.88,0.91,-0.1,[Fe/H],-0.141,4.51,4.27,2.32608,V
HATS-34,G,5380,0.98,0.95,0.25,[Fe/H],-0.14,4.43,7.7,1.44,V
Kepler-1453,G,5665,0.94,0.97,0.01,[Fe/H],-0.14,4.48,4.27,6.42254,V
Kepler-262,K,5841,0.88,0.99,-0.338,[M/H],-0.14,4.54,3.55,1.49784,V
Kepler-358,G,5908,0.95,0.94,0.035,[M/H],-0.138,4.5,0.4,16.05623,V
Kepler-163,G,5776,0.92,0.88,0.141,[M/H],-0.138,4.52,4.27,2.11347,IV
K2-183,G,5482,0.87,0.94,0.09,[Fe/H],-0.138,4.6,,1.47406,V
TOI-905,G,5570,0.92,0.97,0.14,[Fe/H],-0.137,4.5,3.4,1.76,V
Kepler-1332,G,5581,0.9,0.95,0,[Fe/H],-0.137,4.51,3.24,9.95897,V
K2-160,G,5649,0.91,0.98,0.07,[Fe/H],-0.137,4.61,,1.93062,V
Kepler-1325,G,5550,0.91,0.93,0.01,[Fe/H],-0.136,4.5,4.79,0.11483,V
Kepler-764,G,5557,0.89,0.92,-0.06,[Fe/H],-0.136,4.51,4.17,1.4571,V
Kepler-1257,G,5502,0.87,0.9,-0.09,[Fe/H],-0.136,4.52,4.37,1.42361,V
Kepler-396,G,5565,1.06,0.85,0.156,[M/H],-0.135,4.32,4.37,1.64163,V
Kepler-1564,G,5528,0.9,0.93,0.03,[Fe/H],-0.135,4.5,4.57,1.57821,V
Kepler-484,G,5668,0.87,0.96,-0.1,[Fe/H],-0.135,4.54,1.48,2.75681,V
Kepler-1202,K,5834,1.04,1.03,0.06,[Fe/H],-0.134,4.42,4.17,0.87771,V
Kepler-1629,G,5776,1.01,1.01,0.05,[Fe/H],-0.134,4.44,4.27,2.09831,V
Kepler-98,G,5539,1.11,0.99,0.18,[Fe/H],-0.133,4.34,2.79,1.12,V
Kepler-922,G,5671,0.93,0.95,-0.05,[Fe/H],-0.133,4.48,4.37,3.76068,V
Kepler-180,G,5731,1.06,0.95,0.03,[Fe/H],-0.132,4.34,9.7,2.24939,V
Kepler-360,F,6053,1.06,0.95,0.16,[Fe/H],-0.132,4.42,3.4,2.29385,V
Kepler-530,G,5697,0.89,0.97,-0.08,[Fe/H],-0.132,4.53,1.78,1.8866,V
CoRoT-2,G,5625,0.91,0.96,0.04,[Fe/H],-0.131,4.53,2.7,1.814,IV
Kepler-1252,G,5949,1.09,1.06,0.03,[Fe/H],-0.13,4.38,3.89,1.52219,V
Kepler-1546,G,5623,0.93,0.95,0.01,[Fe/H],-0.13,4.48,3.72,1.92028,V
Kepler-209,G,5513,0.94,0.93,0.11,[M/H],-0.129,4.47,4.47,5.40911,V
WASP-39,G,5400,0.9,0.93,0.01,[Fe/H],-0.128,4.45,9,1.555,V
Kepler-1192,G,5438,0.83,0.86,-0.16,[Fe/H],-0.128,4.55,4.47,2.33467,V
Kepler-1194,G,5590,0.92,0.94,0,[Fe/H],-0.127,4.49,4.79,6.60457,V
Kepler-1033,G,5547,0.92,0.94,0.06,[Fe/H],-0.126,4.49,5.01,1.19278,V
Kepler-254,G,5957,0.91,0.93,0.16,[Fe/H],-0.125,4.52,0.3,2.19595,IV
Kepler-752,G,5373,0.83,0.87,-0.08,[Fe/H],-0.125,4.54,4.07,1.61544,V
Kepler-818,G,5638,0.92,0.94,-0.08,[Fe/H],-0.124,4.49,3.98,2.45874,V
XO-2 S,G,5399,1,0.98,0.39,[Fe/H],-0.123,4.43,7.1,1.5421,V
Kepler-740,G,5438,0.87,0.91,0.03,[Fe/H],-0.123,4.52,4.79,1.68147,V
Kepler-894,G,5603,0.85,0.87,-0.25,[Fe/H],-0.123,4.53,4.27,0.45345,V
Kepler-307,G,5367,0.81,0.91,0.19,[Fe/H],-0.122,4.46,13.5,1.73492,V
Kepler-1567,G,5655,0.93,0.95,-0.03,[Fe/H],-0.122,4.49,4.17,1.90062,V
Kepler-542,G,5526,0.9,0.93,0.02,[Fe/H],-0.122,4.5,4.57,1.31404,V
Kepler-227,K,5854,1.09,0.92,0.081,[M/H],-0.121,4.4,7.7,3.20796,V
Kepler-559,G,5630,0.95,0.96,0.03,[Fe/H],-0.121,4.47,4.37,1.92199,V
K2-6,K,5850,0.96,0.97,-0.14,[Fe/H],-0.12,4.4,,1.84715,V
Kepler-953,G,5416,0.99,0.95,0.26,[Fe/H],-0.119,4.42,8.71,0.2644,V
Kepler-1451,G,5782,0.99,1,0.01,[Fe/H],-0.119,4.45,4.17,2.56109,V
Kepler-1099,K,5837,1,1.01,-0.02,[Fe/H],-0.119,4.45,3.63,5.9055,V
Kepler-149,G,5381,0.95,0.92,0.381,[M/H],-0.119,4.46,14,2.05855,V
Kepler-554,G,5447,0.92,0.93,0.14,[Fe/H],-0.118,4.49,5.62,1.70942,V
Kepler-215,G,5739,1.03,0.94,-0.443,[M/H],-0.117,4.36,1.62,0.58171,V
Kepler-1176,K,5844,1.02,1.01,-0.01,[Fe/H],-0.117,4.42,3.8,6.92559,V
Kepler-761,G,5706,0.93,0.95,-0.09,[Fe/H],-0.117,4.48,4.07,2.35867,V
Kepler-1381,G,5747,0.94,0.96,-0.1,[Fe/H],-0.117,4.48,4.07,4.58247,V
Kepler-1065,G,5635,0.93,0.94,-0.01,[Fe/H],-0.116,4.49,4.47,5.36485,V
Kepler-286,G,5580,0.86,0.96,-0.12,[Fe/H],-0.116,4.5,2.75,1.86513,V
Kepler-308,G,5895,0.94,0.92,-0.04,[Fe/H],-0.116,4.51,0.5,3.68154,V
WASP-170,G,5600,0.94,0.93,0.22,[Fe/H],-0.114,4.47,,1.58,V
Kepler-1638,G,5710,0.95,0.97,-0.01,[Fe/H],-0.114,4.47,4.37,0.40427,V
K2-197,G,5667,0.93,1,0.08,[Fe/H],-0.114,4.5,,1.16,V
Kepler-1611,G,5605,0.93,0.94,0.01,[Fe/H],-0.113,4.49,5.01,0.30556,V
Kepler-858,G,5653,0.91,0.96,-0.04,[Fe/H],-0.113,4.5,3.39,1.47064,V
K2-231,G,5695,0.95,1.01,0.14,[Fe/H],-0.112,4.48,3,1.21128,V
Kepler-672,G,5627,0.92,0.95,-0.01,[Fe/H],-0.112,4.5,4.07,1.40588,V
Kepler-664,G,5754,1.02,1.01,0.07,[Fe/H],-0.111,4.43,4.68,5.45339,V
Kepler-616,G,5753,0.97,0.98,-0.02,[Fe/H],-0.111,4.46,3.89,2.44673,V
Kepler-610,G,5943,1.13,1.1,0.12,[Fe/H],-0.11,4.37,3.55,3.1783,V
Kepler-869,G,5664,0.95,0.97,0.02,[Fe/H],-0.11,4.47,4.79,0.08921,V
Kepler-948,G,5679,0.94,0.96,-0.02,[Fe/H],-0.109,4.47,4.17,1.12282,V
Kepler-198,G,5574,0.94,0.97,0.114,[M/H],-0.109,4.47,3.72,1.84772,V
K2-287,G,5695,1.07,1.06,0.2,[Fe/H],-0.108,4.4,4.5,1.217,V
Kepler-984,G,5610,0.93,0.96,0.04,[Fe/H],-0.108,4.49,3.98,1.5554,V
Kepler-569,G,5616,0.93,0.95,0.01,[Fe/H],-0.107,4.48,4.9,2.06775,V
Kepler-93,G,5669,0.98,1.09,-0.18,[Fe/H],-0.106,4.47,6.6,1.65,V
Kepler-1299,G,5609,0.91,0.94,-0.01,[Fe/H],-0.106,4.5,4.37,0.44826,V
Kepler-1262,G,5771,0.98,0.99,-0.02,[Fe/H],-0.105,4.45,4.27,3.11474,V
Kepler-1695,G,5473.19,0.99,0.96,-0.035,[M/H],-0.104,4.43,0.5,1.40696,V
Kepler-862,K,5333,0.84,0.88,0.04,[Fe/H],-0.103,4.54,4.79,1.23727,V
PH2,G,5629,1,0.94,-0.078,[Fe/H],-0.102,4.41,2.04,1.3,V
Kepler-583,G,5523,0.91,0.94,0.07,[Fe/H],-0.101,4.5,4.47,1.52585,V
Kepler-1322,G,5488,0.87,0.9,-0.07,[Fe/H],-0.101,4.52,4.47,1.74298,V
Kepler-670,G,5709,0.99,0.99,0.07,[Fe/H],-0.1,4.44,4.79,2.14666,V
Kepler-1390,G,5753,0.98,0.98,-0.01,[Fe/H],-0.1,4.45,4.47,1.58258,V
Kepler-1126,G,5798,0.93,0.92,-0.26,[Fe/H],-0.099,4.46,5.5,1.88819,V
Kepler-1523,G,5708,0.96,0.97,0,[Fe/H],-0.099,4.46,4.37,3.37522,V
Kepler-838,G,5770,0.96,0.98,-0.06,[Fe/H],-0.099,4.46,4.17,0.69062,V
Kepler-1312,G,5719,0.92,0.99,-0.02,[Fe/H],-0.099,4.51,2,1.6438,V
K2-87,G,5747,1.4,1.16,0.328,[Fe/H],-0.098,4.21,,0.59,V
Kepler-359,F,6248,1.09,1.14,0.08,[Fe/H],-0.097,4.43,3.02,1.12875,V
K2-244,G,5677,0.92,0.86,-0.29,[Fe/H],-0.097,4.44,,2.1153,V
Kepler-199,F,5644,0.97,0.96,-0.12,[Fe/H],-0.097,4.44,1.45,1.70087,V
Kepler-1087,G,5589,0.94,0.96,0.01,[Fe/H],-0.097,4.48,3.55,1.02574,V
Kepler-297,G,5619,0.92,0.98,-0.1,[Fe/H],-0.096,4.47,1.9,1.60443,V
Kepler-192,G,5479,1.01,0.94,0.357,[M/H],-0.094,4.43,0.5,1.49679,V
HATS-57,G,5587,0.96,1.03,0.268,[Fe/H],-0.094,4.48,2.5,1.633,V
Kepler-1095,G,5658,0.92,0.94,-0.09,[Fe/H],-0.093,4.48,4.47,3.18914,V
Kepler-260,K,5250,0.86,0.92,0.03,[Fe/H],-0.092,4.49,4.47,2.08567,V
Kepler-1287,G,5715,0.94,0.96,-0.05,[Fe/H],-0.091,4.48,4.07,4.79022,V
Kepler-1292,G,5556,0.93,0.95,0.08,[Fe/H],-0.091,4.49,4.68,2.37615,V
Kepler-1111,G,6077,1.15,1.1,0.02,[Fe/H],-0.09,4.36,3.16,1.97461,V
Kepler-799,G,5681,0.93,0.95,-0.07,[Fe/H],-0.09,4.49,3.98,0.82029,V
K2-185,G,5722,0.91,0.98,-0.05,[Fe/H],-0.09,4.58,,2.1067,IV
Kepler-276,G,6105,1.05,1.04,0.02,[Fe/H],-0.089,4.45,0.4,2.57496,V
Kepler-15,G,5515,0.99,1.02,0.36,[Fe/H],-0.087,4.46,3.7,1.47,V
Kepler-927,G,5743,0.99,0.99,0.03,[Fe/H],-0.086,4.45,4.37,0.89453,V
Kepler-112,G,5544,0.84,0.78,-0.522,[M/H],-0.086,4.51,9.4,1.7551,V
Kepler-1538,G,5837,1.03,1.03,0.02,[Fe/H],-0.085,4.42,4.37,1.25633,V
Kepler-575,G,5710,0.95,0.97,0,[Fe/H],-0.084,4.47,3.98,0.97711,V
Kepler-1482,G,5381,0.84,0.88,-0.04,[Fe/H],-0.083,4.54,4.47,5.83094,V
Kepler-1018,G,5518,0.88,0.91,-0.05,[Fe/H],-0.082,4.52,4.47,1.39053,V
Kepler-671,G,5624,0.95,0.97,0.08,[Fe/H],-0.081,4.47,4.47,1.24482,V
Kepler-981,G,5718,0.96,0.98,0.01,[Fe/H],-0.081,4.47,4.07,6.84413,V
Kepler-301,G,5815,0.9,0.98,0.187,[M/H],-0.08,4.53,4.17,1.76008,V
TOI-251,G,5875,0.88,1.04,-0.106,[Fe/H],-0.08,4.56,0.18,1.67941,V
Kepler-171,G,5642,0.84,0.91,0.11,[M/H],-0.079,4.57,3.47,1.82708,V
Kepler-694,G,5700,0.95,0.97,0,[Fe/H],-0.078,4.47,4.07,1.41102,V
Kepler-591,G,5677,0.94,0.97,0.01,[Fe/H],-0.078,4.48,4.17,1.00312,V
Kepler-944,G,5409,0.83,0.86,-0.11,[Fe/H],-0.078,4.54,4.47,3.0612,V
WASP-163,G,5500,1.01,0.97,-0.34,[Fe/H],-0.076,4.41,,1.3,V
Kepler-1109,G,5893,1.06,1.05,0.04,[Fe/H],-0.076,4.41,3.8,1.31457,V
K2-193,G,5817,0.98,1.01,0,[Fe/H],-0.076,4.46,,1.532,V
Kepler-47,G,5636,0.94,0.96,-0.25,[m/H],-0.076,4.49,,1.65,V
