hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_vmag,sy_kmag,sy_gaiamag,lum_class,sub_class
HD 131664,G,5892,1.08,1.19,0.3,0.164,4.45,2.4,1.06679,8.13,6.647,7.96631,V,3
HD 220689,G,5921,1.07,1.02,-0.07,0.093,4.36,4.586,0.9754,7.74,6.326,7.59438,V,3
CoRoT-22,G,5939,1.14,1.1,0.17,0.014,4.36,3.3,1.027,13.82,11.988,13.7305,V,3
HD 145377,G,6014,1.05,1.2,0.11,0.193,4.47,1.3,1.20862,9.236,6.706,7.96999,V,3
HD 102365,G,5630,0.95,0.85,-0.26,-0.057,4.57,9,1.65359,4.89,3.489,4.71107,V,3
HD 147513,G,5883,0.98,1.11,0.06,-0.01,4.51,0.3,1.65719,5.37,3.933,5.22664,V,3
HD 98649,G,5790,1.01,1.03,0.05,-0.066,4.51,2.42,1.37018,8,6.419,7.82889,V,3
HD 33283,G,5935,1.97,1.38,0.35,0.64,4.12,3.63,0.2145,8.05,6.646,7.89933,V,3
HAT-P-13,G,5653,1.76,1.32,0.46,0.346,4.13,5,0.23563,10.421,8.975,10.4168,,4
K2-115,G,5657,0.88,0.95,-0.1,-0.145,4.53,10.7,2.663,13.444,11.724,13.2,,4
WASP-133,G,5700,1.44,1.16,0.29,0.305,4.18,6.8,0.55,12.891,11.18,12.7146,,4
WASP-147,G,5702,1.43,1.04,0.092,0.287,4.21,8.47,0.509,12.681,10.857,12.1832,,4
KELT-14,G,5720,1.52,1.24,0.32,0.279,4.17,5.11,0.495,11.001,9.424,10.8384,,4
WASP-70 A,G,5763,1.22,1.11,-0.006,0.162,4.31,9.5,0.872,10.786,9.58,11.0323,,4
HD 38529,G,5541,2.56,1.41,0.51,0.834,3.77,3.09,0.06063,5.92848,4.211,5.74796,IV,4
HD 114613,G,5641,2.14,1.27,0.18,0.608,3.87,4.55,0.14156,4.85,3.303,4.66174,IV,4
HD 37124,G,5492,0.91,0.85,-0.44,-0.112,4.5,4,1.71312,7.68,5.952,7.47238,V,4
K2-60,G,5500,1.12,0.97,0.01,0.282,4.07,10,0.99,12.857,10.993,12.6108,V,4
Kepler-423,G,5560,0.95,0.85,-0.1,-0.018,4.41,11,1.398,14.462,12.779,14.28,V,4
Kepler-38,G,5623,1.75,0.94,-0.11,0.492,3.93,10,0.175,14.015,12.342,13.9066,V,4
HD 126525,G,5638,0.98,0.9,-0.1,-0.04,4.38,9.67,1.41721,7.85,6.215,7.66978,V,4
Kepler-69,G,5638,0.93,0.81,-0.29,-0.097,4.4,9.8,1.37,13.866,12.234,13.712,V,4
NGTS-17,G,5650,1.34,1.02,0.15,0.241,4,9.22,0.61631,14.412,12.724,14.2136,V,4
TrES-3,G,5650,0.83,0.93,-0.2,-0.204,4.57,1,2.322,12.362,10.608,12.1995,V,4
HD 42618,G,5727,1,1.01,-0.09,-0.009,4.44,3.72,1.57325,6.87,5.301,6.68303,V,4
HD 136352,G,5850,1.01,0.91,-0.25,0.034,4.38,8.2,1.234,5.65,4.159,5.48495,V,4
HD 196050,G,5879,1.42,1.31,0.21,0.26,4.25,1.6,0.52347,7.5,6.034,7.3407,V,4
HD 2638,G,5186,0.94,0.77,0.13,-0.33,4.38,3,1.83521,9.44,7.308,9.192761,,5
