pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_eqt,cluster
0.272406673,0.795778029,0.761686071,0.561118425,0.715905524,cluster1
0.445653132,0.337745947,0.354659695,0.692368278,0.217303142,cluster2
0.412713054,0.697233321,0.515132742,0.372303856,0.497415406,cluster4
0.317930414,0.817351938,0.702434979,0.45595031,0.663752818,cluster1
0.509716776,0.517790694,0.416976366,0.485365179,0.616608415,cluster0
0.413208306,0.170576803,0.396356725,1,0.522716629,cluster2
0.404177222,0.658169271,0.492488936,0.411132523,0.70270432,cluster4
0.282563765,0.816307592,0.885279417,0.695969536,0.809001625,cluster3
0.246118326,0.894279442,0.825743028,0.512337247,0.717344348,cluster3
0.36514765,0.854081514,0.723788661,0.423003433,0.730608887,cluster1
0.349638214,0.228683485,0.217103052,0.668606156,0.273128874,cluster6
0.877345993,0.706807188,0.729213013,0.650226809,0.253145023,cluster5
0.446762513,0.773063342,0.694171255,0.512853553,0.526061209,cluster5
0.364635739,0.432072324,0.344442372,0.536099369,0.52175559,cluster2
0.411262755,0.882114748,0.77552538,0.46215617,0.822515708,cluster3
0.108960458,0.992358019,0.854541913,0.394378817,0.742619756,cluster4
0.391608499,0.846924189,0.595385958,0.269850314,0.755562392,cluster4
0.589062193,0.346309321,0.358482747,0.699828375,0.134844799,cluster2
0.327658167,0.865070879,0.716617624,0.416305532,0.787185214,cluster1
0.155132412,0.406504446,0.434631393,0.697032371,0.697595085,cluster2
0.280543222,0.350021165,0.468808996,0.830509152,0.661096909,cluster2
0.15160986,0.025931266,0.036188981,0.724836266,0.140147398,cluster6
0.391494493,0.928273347,0.646726914,0.219116124,0.797321082,cluster1
0.261314093,0.844575225,0.747931727,0.480596842,0.832821111,cluster1
0.393198699,0.824014726,0.709831574,0.448045938,0.657750642,cluster3
0.276761023,0.886239615,0.798459476,0.472276219,0.84654864,cluster1
0.334572225,0.600456294,0.541138406,0.551632105,0.769081395,cluster4
0.332126646,0.844575225,0.835950376,0.595945251,0.775787432,cluster3
0.45032422,0.325956639,0.270829561,0.595945251,0.418416831,cluster2
0.355043523,0.862867068,0.743317742,0.45006359,0.874878548,cluster3
0.28244181,0.812115194,0.852465027,0.700862867,0.731440008,cluster7
0.344289824,0.837410152,0.591838349,0.263300927,0.613221627,cluster4
0.827647242,0.808386715,0.714155288,0.477326764,0.283190805,cluster5
0.567243472,0.471215073,0.410544257,0.567401432,0.608275561,cluster2
0.459561638,0.997939375,0.887442066,0.430783316,0.784788685,cluster3
0.281708726,0.804051267,0.686350931,0.446616357,0.722479364,cluster1
0.373022697,0.473540418,0.311619855,0.483793428,0.637737336,cluster7
0.467898062,0.697092183,0.603223962,0.492973522,0.588627144,cluster5
0.348724882,0.78436055,0.7408408,0.556454332,0.800101996,cluster3
0.373434144,0.822994502,0.665369913,0.38955659,0.619965216,cluster1
0.399084549,0.871582092,0.673577784,0.336704613,0.760720697,cluster1
0.231757706,0.842185546,0.749715151,0.475663095,0.877334916,cluster3
0.34218116,0.15476181,0.207129373,0.760583756,0.636317374,cluster6
0.302858467,0.8407805,0.690804558,0.394378817,0.697595085,cluster1
