pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_eqt,cluster
0.03397,20.849,467.2101,0.29,1654,cluster1
0.0238,15.637,718.2958,1.03,2166,cluster1
0.05163,14.123,194.82979,0.38,1277,cluster1
0.04735,19.616,206.5895,0.153,1918,cluster1
0.0611,16.814,168.4499,0.18,1659,cluster1
0.04131,13.384,213.58176,0.48,1253,cluster1
0.05475,14.022,207.54299,0.411,1212,cluster1
0.0485,15.48,340.382,0.51,1648,cluster1
0.04354,13.171,224.38798,0.543,1414,cluster1
0.0478,18.383,279.6904,0.243,1823,cluster1
0.04024,14,292.4036,0.58,1437,cluster1
0.03727,13.787,378.85336,0.79,1429,cluster1
0.03166,16.029,299.07803,0.4,1445,cluster1
0.03199,16.41,388.38826,0.484,2037,cluster1
0.04913,6.793,31.46517,0.55,1085,cluster3
0.05036,6.882,23.51942,0.403,1294,cluster3
0.06007,17.598,200.2329,0.202,1645,cluster1
0.0362,11.433,420.471,1.55,1315,cluster1
0.04997,17.71,505.3497,0.49,2101,cluster1
0.03689,15.693,597.5204,0.83,1856,cluster1
0.04944,13.227,82.95363,0.191,1003,cluster1
0.03649,11.96,177.9848,0.56,1161,cluster1
0.05511,14.415,222.481,0.41,1518,cluster1
0.05367,10.122,54.98459,0.28,1054,cluster3
0.04269,12.52,117.27927,0.331,853,cluster1
0.03769,8.967,77.23269,0.589,955,cluster3
0.04515,8.575,112.19399,0.986,835,cluster3
0.0542,10.223,75.323,0.39,1025,cluster1
0.04639,15.805,244.09344,0.34,1553,cluster1
0.02498,15.491,711.9392,1.06,1834,cluster1
0.04753,15.02,189.10885,0.303,1312,cluster1
0.03763,11.96,241.5508,0.77,1625,cluster1
0.05412,14.022,292.72143,0.587,1367,cluster1
0.06043,18.921,191.33366,0.155,1902,cluster1
0.05798,12.274,327.3649,0.96,1721,cluster1
0.06112,12.621,256.17098,0.7,1128,cluster1
0.03623,11.187,101.38777,0.399,713,cluster1
0.04708,12.924,210.40346,0.537,1528,cluster1
0.04163,11.825,56.89157,0.076,1237,cluster1
0.04026,13.529,305.1168,0.67,1398,cluster1
0.06562,18.82,305.1168,0.245,1793,cluster1
0.04497,16.825,260.93843,0.3,1634,cluster1
0.03032,18.887,460.8535,0.374,2193,cluster1
0.05071,13.809,410.0007,0.856,1741,cluster1
0.03211,10.593,183.38791,0.46,1296,cluster1
0.04012,6.311,38.1396,0.83,1084,cluster3
0.03745,11.478,117.5971,0.42,587,cluster1
0.066517,8.097,39.85588,0.411,739,cluster3
0.04667,9.785,43.86054,0.259,1324,cluster3
0.0312,13.85,266.02371,0.626,1746,cluster1
0.0907,2.44,12.6,4.7,1153,cluster4
0.1536,4.35,15.2,1.01,886,cluster3
0.102,10.9,82.95,0.352,890,cluster1
0.04527,1.615,3.24,4.23,1099,cluster4
0.062,2.071,4.94,3.06,932,cluster4
0.1074,2.539,6.98,2.34,708,cluster4
0.1367,3.083,9.71,1.82,636,cluster3
0.113,3.2,10.3,1.73,955,cluster4
0.035,2.05,4.55,2.9,1371,cluster4
0.068,3.23,10.5,1.71,990,cluster4
0.0925,13.7,365.49,0.781,720,cluster1
0.0969,1.482,4.62,7.8,911,cluster4
0.1729,2.608,11.29,3.5,682,cluster3
0.4285,3.23,10.5,1.71,433,cluster2
0.1097,11.5,131.89945,0.477,1228,cluster1
0.04364,8.295,120.7754,0.75,1626,cluster3
0.1053,3.41,11.56,1.58,1120,cluster4
0.0522,1.64,7.51,9.3,1001,cluster4
0.1268,2.39,8.11,3.23,642,cluster4
0.09094,3.24,10.5547,1.71,900,cluster4
0.341,3.66,13,1.46,400,cluster3
0.07,11.1,85.8141,0.345,900,cluster1
0.81,13.2,915.31,2.19,345,cluster1
0.1334,3.55,19.7,2.39,769,cluster3
0.0313,12.666,359.1479,0.943,1209,cluster1
0.0814,3.42,11.6,1.59,812,cluster4
0.1762,3.23,10.5,1.71,552,cluster3
0.215,3.16,10.1,1.76,499,cluster3
0.15,14.2,177.9848,0.342,486,cluster1
0.32,4.27,16.9,1.19,355,cluster3
0.05208,17.318,323.23311,0.343,2132,cluster1
0.1207,1.45,2.7,4.87,660,cluster4
0.2036,1.35,2.4,5.36,508,cluster3
0.3499,2.04,4.8,3.11,388,cluster2
0.04707,15.581,232.0159,0.362,1459,cluster1
0.02012,1.745,8.83,9.15,2128,cluster4
0.056798,4.71,19.95,1.05,1265,cluster4
0.0695,0.892,3.7,31.93,701,cluster4
0.03876,1.602,4.74,6.34,1015,cluster4
0.0653,1.511,4.36,6.95,782,cluster4
0.06356,4.71,16.6,0.87,1073,cluster4
0.1228,9.17,60.5,0.431,1012,cluster3
0.121,1.872,17.92,15,500,cluster4
0.17,2.149,17.18,9.51,613,cluster3
0.0932,2.52,6.89,2.37,470,cluster4
0.0568,16.141,371.8611,0.486,2061,cluster1
0.066,2.83,8.4,2.04,450,cluster4
0.0186,1.7,5.02,5.6,1669,cluster4
0.1841,2.86,9.8,1.97,531,cluster3
0.04,14.3,152.5584,0.287,990,cluster1
0.1436,9.718,77.55052,0.464,876,cluster3
