pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_eqt,cluster
0.1201,5.24,8,0.31,827,cluster8
0.194,2.13,5.18,2.95,619,cluster2
0.0385,1.87,4.16,3.5,861,cluster2
0.03769,8.967,77.23269,0.589,955,cluster3
0.134,3.49,12,1.55,902,cluster8
0.0743,1.29,2.21,5.66,1003,cluster1
0.1208,4.07,15.6,1.27,722,cluster8
0.101,2.18,5.39,2.86,634,cluster2
0.0449,1.23,2.04,6.02,903,cluster1
0.055,1.87,4.16,3.5,1231,cluster2
0.4684,3.19,10.3,1.74,401,cluster4
0.05,1.19,1.81,5.9,1317,cluster1
0.1829,2.6,6.1,1.91,781,cluster4
0.0406,19.504,448.1403,0.332,2200,cluster7
0.01634,15.603,339.76027,0.492,2520,cluster7
0.0473,11.422,174.799,0.65,1019,cluster7
0.0189,2.03,4.78,3.14,868,cluster2
0.2244,3.61,12.7,1.48,494,cluster8
0.2226,2.32,5.99,2.64,694,cluster2
0.0214,2.32,5.99,2.64,568,cluster2
0.1087,2.69,7.7,2.17,806,cluster4
0.0404,17.396,451.3186,0.5,1957,cluster7
0.1039,2.26,5.73,2.73,639,cluster2
0.0806,2.58,7.18,2.3,909,cluster4
0.0932,2.58,7.18,2.3,1003,cluster4
0.0341,1.44,2.67,4.91,388,cluster1
0.0719,1.33,2.33,5.44,744,cluster1
0.42,2.66,7.56,2.21,450,cluster4
0.0441,12.33,238.68913,0.74,1146,cluster7
0.1297,1.79,3.86,3.7,803,cluster2
0.0862,1.18,3.8,13.27,634,cluster5
0.0299,1.64,3.33,4.15,922,cluster1
0.172,2.4,6.35,2.52,538,cluster2
0.0188,1.63,3.29,4.17,871,cluster1
0.0337,2.83,8.4,2.04,1558,cluster4
0.055,17.71,158.915,0.118,1604,cluster7
0.1309,3.63,12.8,1.47,702,cluster8
0.077,3.51,12.1,1.54,1025,cluster8
0.0344,11.198,170.99254,0.717,825,cluster7
0.117,2.44,30.6,11.6,1005,cluster5
0.05561,14.785,166.86075,0.282,1322,cluster7
0.0308,1.41,2.57,5.04,1121,cluster1
0.1159,1.8,3.89,3.67,389,cluster2
0.051,1.23,2.04,6.02,980,cluster1
0.0747,2.17,5.35,2.88,577,cluster2
0.0663,12.89,317.83,0.815,1500,cluster7
0.05511,14.415,222.481,0.41,1518,cluster7
0.02282,14.975,607.03,0.994,1638,cluster6
0.0602,3.49,12,1.55,977,cluster8
0.0496,1.11,1.4,5.63,301,cluster1
0.0392,1.8,3.89,3.67,1173,cluster2
0.2037,2.63,7.41,2.24,616,cluster4
0.0518,14.46,352.78,0.71,2000,cluster7
0.098,2.6,7.27,2.27,665,cluster4
0.1182,1.875,4.17,3.48,669,cluster2
0.0719,0.764,0.37,4.56,1032,cluster1
0.14728,1.9,4.6,3.69,660,cluster2
0.0266,2,4.66,3.2,1774,cluster2
0.1899,3.36,11.2,1.62,448,cluster8
0.0549,12.498,87.40325,0.263,1404,cluster3
0.2939,2.09,5.02,3.02,503,cluster2
0.074,2.43,6.48,2.48,956,cluster2
0.281,1.61,3.22,4.24,436,cluster8
0.042,1.64,3.33,4.15,970,cluster1
0.2537,2.36,6.17,2.58,352,cluster2
0.0674,0.8,0.437,4.69,1108,cluster1
0.214,3.06,4.8,0.921,498,cluster8
0.4706,2.17,5.35,2.88,284,cluster2
0.072,2.27,5.77,2.71,772,cluster2
0.0879,1.85,4.08,3.54,926,cluster2
0.241,2.323,7.37,3.14,584,cluster2
0.092,4.88,12.2,0.249,885,cluster8
0.32,2.87,8.6,2,520,cluster4
0.04,1.13,1.51,5.75,962,cluster1
0.0843,1.82,3.97,3.62,890,cluster2
0.0974,5.2,32.2,2.15,1092,cluster8
0.02332,12.812,411.27202,1.076,1418,cluster7
0.0511,1.61,3.22,4.24,974,cluster1
0.0586,0.81,0.457,4.73,1243,cluster1
0.0753,2.31,5.95,2.65,731,cluster2
0.1275,2.1,5.06,3,318,cluster2
0.2573,2.41,14.8,5.7,470,cluster8
0.1167,1.71,3.57,3.92,786,cluster1
0.0167,0.96,0.84,5.22,602,cluster1
0.0627,4.3,17.1,1.18,1125,cluster8
0.0744,2.97,9.11,1.91,1051,cluster4
0.1015,2.81,8.3,2.06,556,cluster4
0.721,8.18,50.9,0.511,426,cluster8
0.132,3.38,11.4,1.62,875,cluster8
0.11,2.32,5.99,2.64,752,cluster2
0.1071,1.82,3.97,3.62,866,cluster2
0.1418,1.75,3.71,3.8,638,cluster2
0.0715,1.38,2.48,5.19,1104,cluster1
0.119,2.23,5.6,2.77,487,cluster2
0.1467,1.47,2.76,4.77,728,cluster1
0.104,1.03,1.08,5.43,617,cluster1
0.139,2.02,4.74,3.16,530,cluster2
0.066,0.99,0.937,5.31,1576,cluster1
0.1007,2.18,20.9,11.1,706,cluster5
0.153,2.61,7.32,2.26,643,cluster4
0.038,1.39,2.51,5.14,937,cluster1
0.1228,1.56,3.05,4.41,787,cluster1
0.0341,1.44,2.67,4.91,388,cluster1
0.0685,1.1,1.37,5.66,399,cluster1
0.0307,2.18,5.39,2.86,1540,cluster2
0.15,2.79,8.2,2.07,623,cluster4
0.186,3.28,10.8,1.68,503,cluster4
0.162,2.62,7.37,2.25,544,cluster4
0.0414,12.89,785.0401,2.14,1463,cluster6
0.1059,1.64,3.33,4.15,1049,cluster1
0.16,5.5,25.9,0.855,781,cluster8
0.0706,2.84,8.45,2.03,962,cluster4
0.0684,2.332,6.04,2.62,840,cluster2
0.1683,4.07,12.15,0.98,562,cluster8
0.04163,11.825,56.89157,0.076,1237,cluster7
0.068,3.23,10.5,1.71,990,cluster4
0.0475,15.98,266.9772,0.35,1649,cluster7
0.0397,1.36,2.42,5.29,1709,cluster1
0.04269,12.52,117.27927,0.331,853,cluster7
0.0583,3.56,12.4,1.51,784,cluster8
0.059,1.61,3.22,4.24,619,cluster1
0.042,1.44,2.67,4.91,1133,cluster1
0.163,1.19,1.81,5.9,681,cluster1
0.05929,2.72,311.46,3.4,509,cluster6
0.0363,15.693,390.9309,0.7,1600,cluster7
0.01598,3.444,39.09,5.2,1932,cluster8
0.055,1.87,4.16,3.5,1231,cluster2
0.0662,1.3,2.24,5.6,1109,cluster1
0.01598,3.444,39.09,5.2,1932,cluster8
0.052,2.7,7.75,2.16,1160,cluster4
0.2327,2.12,5.14,2.96,484,cluster2
0.061935,0.752,0.331,3.96,173,cluster1
0.0881,1.23,2.04,6.02,759,cluster1
0.1064,2.2,5.48,2.83,589,cluster2
0.0154,0.57,0.13,3.86,450,cluster1
0.08,13.11,699.2,1.68,1620,cluster6
0.0331,1.63,3.29,4.17,996,cluster1
0.191,4.26,16.8,1.19,506,cluster8
0.0915,2.16,5.31,2.9,931,cluster2
0.10356,11.209,126.49634,0.405,1030,cluster3
0.0507,18.03,263.7989,0.315,1596,cluster7
0.2097,1.53,2.8,5.62,282,cluster1
0.372,4.01,2.7,0.1,464,cluster8
0.101,1.45,2.7,4.87,851,cluster1
0.0875,2.36,6.17,2.58,1117,cluster2
0.0983,1.009,3.3,17.7,679,cluster5
0.0303,0.96,0.84,5.22,1574,cluster1
0.676,6.14,6.4,0.152,403,cluster8
0.0538,15.468,174.8065,0.28,1850,cluster7
0.2638,2.36,6.17,2.58,693,cluster2
0.0653,18.383,254.264,0.224,1760,cluster7
0.0958,1.52,2.92,4.57,1131,cluster1
0.2212,3.01,9.32,1.88,488,cluster4
0.09,2.74,7.95,2.12,803,cluster4
0.0518,14.46,352.78,0.71,2000,cluster7
0.01855,15.278,355.9696,0.54,2000,cluster7
0.287,1.75,36,36.9,543,cluster5
0.1173,2.92,8.85,1.95,613,cluster4
0.036,1.35,2.39,5.34,1278,cluster1
0.0856,3.58,12.5,1.5,631,cluster8
0.1,1.44,33.9,62.4,855,cluster5
0.049,2.9,8.75,1.97,442,cluster4
0.04,1.27,2.15,5.77,1041,cluster1
0.0651,1.86,4.13,3.53,1314,cluster2
0.2008,1.26,2.12,5.83,630,cluster1
0.029,1.11,1.41,5.67,682,cluster1
0.1707,1.85,4.08,3.54,667,cluster2
0.216,2.43,6.48,2.48,689,cluster2
0.0748,1.76,3.75,3.78,583,cluster1
0.0927,2.43,6.48,2.48,860,cluster2
0.0784,2.13,5.18,2.95,485,cluster2
0.0862,1.19,1.81,5.9,873,cluster1
0.0552,1.78,3.82,3.72,1217,cluster1
0.127,2.94,8.96,1.94,752,cluster4
0.2804,12.341,584.78,1.74,704,cluster6
