pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_pubdate,disc_facility,disc_telescope,disc_instrument,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
CoRoT-12 b,CoRoT-12,0,1,1,Transit,2010,2010-09,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,Published Confirmed,0,<a refstr=RAETZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.483..824R/abstract target=ref>Raetz et al. 2019</a>,2.82805268,0.0392,15.065,1.344,277.46559,0.87300,Mass,0.447,,,1417,0,0.6040,,,8.020000,0.13140,,<a refstr=RAETZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.483..824R/abstract target=ref>Raetz et al. 2019</a>,,,1.05,1,,,0.070,4.38,6.170,1.2200,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437,1126.3700000,15.5880000,13.5570000,15.3453000,2019-10-04,2019-02,2019-10-10
CoRoT-12 b,CoRoT-12,0,1,1,Transit,2010,2010-09,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,Published Confirmed,0,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,2.828042,0.0394,15.132,1.350,281.91521,0.88700,Mass,0.448,,,1410,0,,,,8.097200,,,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,,5675.00,1.05,1.02,0.160,[Fe/H],,4.41,5.800,1.2500,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437,1126.3700000,15.5880000,13.5570000,15.3453000,2016-01-12,2011-11,2016-01-14
CoRoT-13 b,CoRoT-13,0,1,1,Transit,2010,2010-11,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,Published Confirmed,0,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,4.03519,0.051,14.034,1.252,416.99296,1.31200,Mass,0.82,,,1432,0,,,,8.613300,,,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,,5945.00,1.27,1.09,0.010,[Fe/H],,4.26,5.800,0.7410,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h50m53.07s,102.7211432,-05d05m11.24s,-5.0864557,1148.9300000,15.0050000,13.3760000,14.9147000,2016-01-12,2011-11,2016-01-14
CoRoT-13 b,CoRoT-13,1,1,1,Transit,2010,2010-11,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,Published Confirmed,0,<a refstr=CABRERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...522A.110C/abstract target=ref> Cabrera et al. 2010 </a>,4.03519,0.051,9.92,0.885,415.704,1.30800,Mass,2.34,0.000000,,1700,0,0.3740,,3.1400000,10.810000,0.09090,,<a refstr=CABRERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...522A.110C/abstract target=ref> Cabrera et al. 2010 </a>,G0 V,5945.00,1.01,1.09,0.010,[Fe/H],,4.46,1.635,1.4680,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h50m53.07s,102.7211432,-05d05m11.24s,-5.0864557,1148.9300000,15.0050000,13.3760000,14.9147000,2014-05-14,2010-11,2014-05-14
CoRoT-14 b,CoRoT-14,1,1,1,Transit,2010,2011-04,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,Published Confirmed,0,<a refstr=TINGLEY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...528A..97T/abstract target=ref> Tingley et al. 2011 </a>,1.51214,0.027,12.22,1.090,2415.4,7.60000,Mass,7.3,0.000000,,1952,0,0.8600,,1.6620000,4.780000,0.09250,,<a refstr=TINGLEY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...528A..97T/abstract target=ref> Tingley et al. 2011 </a>,F9 V,6035.00,1.21,1.13,0.050,[Fe/H],,4.35,4.200,0.9100,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h53m41.81s,103.4242023,-05d32m09.74s,-5.5360385,1744.6000000,15.9320000,13.8060000,15.8116000,2014-05-14,2011-04,2014-05-14
CoRoT-14 b,CoRoT-14,0,1,1,Transit,2010,2011-04,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,Published Confirmed,0,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,1.51214,0.02687,11.411,1.018,2437.7561,7.67000,Mass,9.0,,,1936,0,,,,4.854000,,,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,,6035.00,1.19,1.12,0.050,[Fe/H],,4.34,3.700,0.9400,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h53m41.81s,103.4242023,-05d32m09.74s,-5.5360385,1744.6000000,15.9320000,13.8060000,15.8116000,2016-01-12,2011-11,2016-01-14
CoRoT-17 b,CoRoT-17,0,1,1,Transit,2011,2011-07,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,Published Confirmed,0,<a refstr=SOUTHWORTH_2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.426.1291S/abstract target=ref>Southworth 2012</a>,3.7681,0.0481,11.287,1.007,781.8618,2.46000,Mass,3.0058,,,1610,0,,,,6.369000,,,<a refstr=SOUTHWORTH_2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.426.1291S/abstract target=ref>Southworth 2012</a>,,5740.00,1.62,1.04,0.000,[Fe/H],,4.04,8.000,0.3420,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h34m47.82s,278.6992360,-06d36m44.24s,-6.6122880,1176.1200000,16.2900000,12.4720000,15.4368000,2016-01-12,2012-10,2016-01-14
CoRoT-17 b,CoRoT-17,1,1,1,Transit,2011,2011-07,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,Published Confirmed,0,<a refstr=CSIZMADIA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...531A..41C/abstract target=ref> Csizmadia et al. 2011 </a>,3.7681,0.0461,11.43,1.020,772.29,2.43000,Mass,2.82,0.000000,,1626,0,0.1800,0.440000,4.7200100,6.230000,,,<a refstr=CSIZMADIA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...531A..41C/abstract target=ref> Csizmadia et al. 2011 </a>,G2 V,5740.00,1.59,1.04,0.000,[Fe/H],,4.40,10.700,0.3200,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h34m47.82s,278.6992360,-06d36m44.24s,-6.6122880,1176.1200000,16.2900000,12.4720000,15.4368000,2014-05-14,2011-07,2014-05-14
CoRoT-18 b,CoRoT-18,1,1,1,Transit,2011,2011-09,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,Published Confirmed,0,<a refstr=HEBRARD_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.130H/abstract target=ref> Hebrard et al. 2011 </a>,1.9000693,0.0295,14.68,1.310,1102.82,3.47000,Mass,2.2,0.080000,,1550,0,0.4000,,2.3870000,6.350000,0.13410,,<a refstr=HEBRARD_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.130H/abstract target=ref> Hebrard et al. 2011 </a>,G9 V,5440.00,1.00,0.95,-0.100,[Fe/H],,4.40,,1.3500,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h32m41.38s,98.1724172,-00d01m53.78s,-0.0316045,764.8890000,14.8680000,13.0140000,14.8009000,2019-12-02,2011-09,2014-05-14
CoRoT-18 b,CoRoT-18,0,1,1,Transit,2011,2011-09,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,Published Confirmed,0,<a refstr=RAETZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.483..824R/abstract target=ref>Raetz et al. 2019</a>,1.90009,0.0288,12.846,1.146,1048.839,3.30000,Mass,2.73,,,1487,0,0.0100,,,7.013000,0.13310,,<a refstr=RAETZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.483..824R/abstract target=ref>Raetz et al. 2019</a>,,,0.88,0.88,,,-0.170,4.49,0.032,1.8000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h32m41.38s,98.1724172,-00d01m53.78s,-0.0316045,764.8890000,14.8680000,13.0140000,14.8009000,2019-10-04,2019-02,2019-10-10
