hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,lum_class,sub_class
HD 30177,G,5607,1.02,1.05,0.39,[Fe/H],0.083,4.42,2.525,0.81457,V,8
HD 30562,F,5882,1.61,1.12,0.2,[Fe/H],0.45,4.07,3.6,0.34122,V,8
HD 30669,G,5400,0.91,0.92,0.13,[Fe/H],-0.146,4.37,4.8,1.53008,V,9
HD 30856,K,4895,4.4,1.17,-0.06,[Fe/H],0.996,3.2,3.8,,III,0
HD 31253,F,6130,1.75,1.7,0.17,[Fe/H],0.517,4.18,3,0.25572,V,8
HD 31527,G,5898,1.07,0.96,-0.17,[Fe/H],0.079,4.45,,1.20634,V,2
HD 3167,K,5528,0.87,0.94,-0.02,[Fe/H],-0.262,4.53,,1.902,V,0
HD 32518,K,4580,10.22,1.13,-0.15,[Fe/H],1.666,2.1,5.83,,III,1
HD 32963,G,5727,1.11,0.94,0.11,[Fe/H],0.064,4.41,4.99,1.12694,V,5
HD 330075,K,5000,0.84,0.47,0.05,[Fe/H],-0.33,4.26,6.2,2.01681,V,1
HD 331093,K,5544,1.11,1.03,0.17,[Fe/H],0.006,4.2,,0.98643,V,0
HD 33142,K,4978,4.45,1.41,0.05,[Fe/H],1.021,3.4,3,,III,0
HD 332231,F,6089,1.28,1.13,0.036,[Fe/H],0.305,4.28,4.3,0.766,V,8
HD 33283,G,5935,1.97,1.38,0.35,[Fe/H],0.64,4.12,3.63,0.2145,V,3
HD 33564,F,6250,1.44,1.25,-0.12,[Fe/H],0.535,4,3,0.57173,V,6
HD 33844,K,4861,5.39,1.84,0.27,[Fe/H],1.149,3.24,1.88,,III,0
HD 34445,G,5879,1.38,1.14,0.18,[Fe/H],0.303,4.21,8.5,0.4672,V,0
HD 35759,G,6060,1.76,1.15,0.04,[Fe/H],0.537,4.24,,0.31131,V,0
HD 3651,K,5221,0.87,0.8,0.145,[M/H],-0.274,4.45,3,1.90532,V,0
HD 37124,G,5698.64,0.95,0.85,-0.44,[Fe/H],-0.112,4.39,4,1.71312,V,4
HD 37605,K,5329,0.91,0.94,0.27,[Fe/H],-0.22,4.51,5.65,1.36793,V,0
HD 3765,K,5049.8,0.83,0.85,0.172,[Fe/H],-0.416,4.53,2,2.33565,V,2
HD 38283,F,5981,1.49,1.37,-0.18,[Fe/H],0.411,4.23,6.2,0.46608,V,9
HD 38529,G,5541,2.56,1.41,0.51,[Fe/H],0.834,3.77,3.09,0.06063,IV,4
HD 38801,K,5338,2.03,1.21,0.25,[Fe/H],0.659,3.88,6.072,,V,0
HD 39091,G,6037,1.1,1.09,0.08,[Fe/H],0.16,4.42,2.98,1.148,V,0
HD 39855,G,5576,0.74,0.87,,,-0.316,4.66,,3.1307,V,8
HD 40307,K,4956,0.72,0.77,-0.31,[Fe/H],-0.639,4.47,4.5,3.02559,V,2
HD 40956,K,4869,8.56,2,0.14,[Fe/H],1.664,3.02,1.35,,III,0
HD 40979,F,6165,1.21,1.45,0.2,[Fe/H],0.291,4.43,3.56,0.86779,V,8
HD 41004 A,K,5310,0.85,0.95,0.23,[Fe/H],-0.293,4.37,1,,V,1
HD 41004 B,M,5036,1.04,0.4,,,-0.202,4.33,,1.04864,V,2
HD 4113,G,5688,1.08,0.99,0.2,[Fe/H],0.086,4.4,6.4,1.10439,V,5
HD 42012,K,5405,0.82,0.83,-0.09,[Fe/H],-0.27,4.45,4.1,2.20144,V,0
HD 4203,G,5596,1.42,1.25,0.4,[Fe/H],0.293,4.23,8.52,0.41525,V,5
HD 4208,G,5717,0.85,0.88,-0.28,[Fe/H],-0.1,4.5,3.813,1.73372,V,7
HD 42618,G,5727,1,1.01,-0.09,[Fe/H],-0.009,4.44,3.72,1.57325,V,4
HD 4308,G,5686,1.02,0.93,-0.35,[Fe/H],-0.004,4.39,4.3,1.23938,V,5
HD 4313,G,4943,5.14,1.63,0.14,[Fe/H],1.149,3.24,2,,IV,5
HD 43197,G,5508,1,0.96,0.4,[Fe/H],-0.137,4.31,,1.11963,V,8
HD 43691,G,6093,1.6,1.32,0.33,[Fe/H],0.5,4.28,2.39,0.30873,V,0
HD 44219,G,5752,1.32,1,0.03,[Fe/H],0.26,4.21,,0.50056,V,2
HD 45184,G,5869,1.08,1.03,0.04,[Fe/H],0.053,4.47,6.8,1.28221,V,1
HD 45350,G,5566,1.26,0.98,0.23,[M/H],0.141,4.23,8,0.68347,V,5
HD 45364,K,5434,0.89,0.82,-0.17,[Fe/H],-0.244,4.38,,1.83641,V,0
HD 45652,G,5294,0.94,0.92,0.26,[Fe/H],-0.2,4.2,8.4,1.46107,IV,8
HD 46375,K,5285,0.91,0.92,0.24,[Fe/H],-0.245,4.53,9,1.64032,IV-V,1
HD 47186,G,5657,1.08,0.96,0.24,[Fe/H],0.043,4.36,6.5,1.05709,V,6
HD 4732,K,4959,5.4,1.74,0.01,[Fe/H],1.19,3.16,1.47,,IV,0
HD 47366,K,4914,6.2,2.19,-0.07,[Fe/H],1.389,3.1,0.94,,III,1
HD 47536,K,4380,23.47,2.1,-0.65,[Fe/H],2.248,2.13,10.15,,III,1
HD 4760,K,4076,42.4,1.05,-0.91,[Fe/H],2.93,1.62,,,III,2
HD 48265,G,5733,1.9,1.31,0.3,[Fe/H],0.584,3.97,4.201,0.16653,IV-V,5
HD 4917,K,4802,5.01,1.32,0.18,[M/H],1.456,2.97,,,III,0
HD 49674,G,5602,1.02,1.03,0.32,[Fe/H],-0.022,4.44,3.62,1.23163,V,5
HD 50499,G,6102,1.35,1.25,0.26,[Fe/H],0.376,4.25,2.391,0.50998,V,1
HD 50554,F,5987,1.02,1.04,-0.04,[Fe/H],0.143,4.33,2.16,1.08476,V,8
HD 51608,G,5358,0.92,0.8,-0.07,[Fe/H],-0.244,4.36,,1.69811,V,7
HD 52265,G,6136,1.32,1.2,0.21,[Fe/H],0.297,4.36,3.5,0.57144,V,0
HD 5278,F,6203,1.19,1.13,-0.12,[Fe/H],0.28,4.5,3,0.9319,V,
HD 5319,G,4871,4.06,1.27,0.15,[Fe/H],0.15,3.26,3.1,,III,5
HD 55696,G,6012,1.52,1.29,0.37,[Fe/H],0.43,4.03,2.64,0.3247,V,0
HD 5608,K,4877,5.14,1.53,0.14,[Fe/H],1.179,3.19,1.72,,IV,0
HD 564,G,5902,1.01,0.96,-0.2,[Fe/H],0.019,4.53,5.5,1.87015,V,2
HD 5891,G,4673,10.64,1.93,-0.37,[Fe/H],1.595,2.67,1.5,,III,5
HD 59686 A,K,4658,13.2,1.9,0.15,[Fe/H],1.822,2.49,1.73,,III,2
HD 60292,K,4348,27,1.7,-0.17,[Fe/H],2.394,1.9,1.8,,III,0
HD 60532,F,6245,2.57,1.5,-0.26,[Fe/H],1.001,3.8,2.8,0.09257,IV,6
HD 62509,K,4892.63,8.9,2,0.103,[M/H],1.612,2.78,0.98,,III,0
HD 63433,G,5640,0.91,0.99,0.017,[M/H],-0.123,4.53,0.414,1.823,IV,5
HD 63454,K,4812,0.77,0.42,0.1,[Fe/H],-0.592,4.28,1,2.36205,V,4
HD 63765,G,5449,0.83,0.65,-0.16,[Fe/H],-0.256,4.41,4.77,2.26279,V,9
HD 64114,G,5676,0.88,0.95,,,-0.137,4.52,,1.86653,V,7
HD 6434,G,5769,1.12,1.1,-0.55,[Fe/H],0.05,4.38,11.27,1.03725,V,2
HD 65216,G,5612,0.88,0.87,-0.168,[M/H],-0.15,4.44,4,2.02264,V,5
HD 66141,K,4323,21.4,1.1,-0.323,[Fe/H],2.24,1.78,6.84,,III,2
HD 66428,G,5773,1.1,1.08,0.23,[Fe/H],0.096,4.36,3.515,0.91809,IV,8
HD 67087,F,6330,1.55,1.36,0.25,[Fe/H],0.54,4.19,1.45,0.63218,V,8
HD 6718,G,5801,0.95,1.08,-0.03,[Fe/H],0.053,4.51,,1.46629,V,5
HD 68402,G,5950,1.02,1.12,0.29,[Fe/H],0.068,4.47,2,1.15978,IV-V,5
HD 68988,G,5932,1.19,1.28,0.35,[Fe/H],0.222,4.4,6,0.77119,V,2
HD 69830,K,5385,0.89,0.86,-0.05,[Fe/H],-0.22,4.49,7,1.83,V,0
HD 70573,G,5737,0.98,1,-0.18,[Fe/H],-0.001,4.59,0.102,1.65157,V,1
HD 70642,G,5732,0.98,1.08,0.22,[Fe/H],0.012,4.46,0.919,1.23591,V,5
HD 7199,K,5371,0.97,0.77,0.32,[Fe/H],-0.155,4.35,6.79,1.33716,IV,1
HD 72490,G,4934,4.96,1.21,-0.13,[M/H],1.091,3.21,,,IV,5
HD 72659,G,5932,1.46,1.43,-0.02,[Fe/H],0.374,4.27,6.5,0.50332,V,2
HD 72892,G,5688,1.22,1.02,0.25,[Fe/H],0.146,4.27,8,0.90727,V,5
HD 73267,G,5387,0.91,0.9,0.07,[Fe/H],-0.106,4.45,8.14,1.60129,V,5
HD 73526,G,5601,1.53,1.14,0.22,[Fe/H],0.338,4.12,9.2,0.33748,V,6
HD 73534,G,4917,2.58,1.16,0.232,[Fe/H],0.522,3.6,7.04,,V,5
HD 74156,G,6068,1.51,1.24,0.11,[Fe/H],0.401,4.14,3.7,0.47904,IV,0
HD 7449,F,6024,0.97,1.05,-0.105,[M/H],0.101,4.51,2.1,1.45002,V,9
HD 75289,G,6117,1.23,1.29,0.26,[Fe/H],0.312,4.37,5.6,0.71252,IV,0
HD 75784,G,4867,3.4,1.26,0.25,[Fe/H],0.756,3.46,4,,III,5
HD 75898,G,5963,1.58,1.26,0.28,[Fe/H],0.46,4.21,3.56,0.33922,IV-V,0
HD 76700,G,5644,1.37,0.99,0.31,[Fe/H],0.257,4.16,11,0.5038,V,6
HD 76920,K,4698,7.47,1.17,-0.11,[Fe/H],1.38,2.94,7.1,,III,1
HD 77338,K,5341,0.97,1.37,0.32,[Fe/H],-0.26,4.6,,1.46086,IV,0
HD 7924,K,5131,0.78,0.65,-0.21,[Fe/H],-0.406,4.46,0.88,2.47756,V,0
HD 79498,G,5748,1.05,1.08,0.18,[Fe/H],0.03,4.37,2.71,1.00985,V,5
HD 80606,G,5561,1.04,1.15,0.35,[Fe/H],-0.002,4.42,5.9,1.45,V,5
HD 80653,G,6080,1.22,1.18,,,0.24,4.34,2.67,0.9,V,2
HD 81040,G,5755,0.91,1.05,-0.03,[Fe/H],-0.076,4.54,0.73,1.88323,IV,2
HD 81688,G,4753,13,2.1,-0.359,[Fe/H],1.857,2.22,1.48,,IV-V,5
HD 81817,K,4140,83.8,4.3,-0.17,[Fe/H],3.261,1.3,0.15,,III,3
HD 82886,G,4953,5.26,2.53,-0.31,[Fe/H],1.143,3.4,7,,IV,0
HD 82943,G,5935,1.18,1.08,0.26,[M/H],0.194,4.33,2.35,0.92061,V,2
HD 8326,K,4914,0.78,0.8,0.04,[M/H],-0.492,4.55,,2.31959,V,2
HD 83443,K,5442,0.94,0.79,0.35,[Fe/H],-0.102,4.39,3.2,1.32072,V,0
HD 8535,G,6136,1.19,1.13,0.06,[Fe/H],0.333,4.46,,0.80938,V,0
HD 85390,K,5186,0.8,0.76,-0.07,[Fe/H],-0.367,4.41,7.2,2.21458,V,1
HD 85512,K,4300,0.71,0.43,-0.26,[Fe/H],-0.775,4.36,5.61,2.92932,V,5
HD 8574,F,6064,1.38,1.34,0.01,[Fe/H],0.376,4.28,5.6,0.5598,V,8
HD 86081,F,5939,1.46,1.21,0.22,[Fe/H],0.38,4.18,3.61,0.35125,V,8
HD 86226,G,5863,1.05,1.02,0.018,[Fe/H],0.072,4.4,4.6,1.233,V,1
HD 86264,F,6210,1.88,1.42,0.202,[Fe/H],0.66,4.02,2.24,0.38025,V,7
HD 8673,F,6389.05,1.5,1.28,0.147,[M/H],0.53,4.19,,0.53229,V,5
HD 86950,K,4805,8.8,1.66,0.04,[Fe/H],1.56,2.66,,,III,1
HD 87646,G,5770,1.55,1.12,-0.17,[Fe/H],0.96,4.1,,,V,
HD 87883,K,4915,0.79,0.66,0.05,[Fe/H],-0.498,4.47,9.8,2.22751,V,0
HD 88133,G,5392,2.2,1.26,0.34,[Fe/H],0.497,3.88,5.37,0.15836,V,5
HD 89307,G,5955,1.1,1.27,-0.13,[Fe/H],0.131,4.46,2.31,1.17883,V,0
HD 89345,G,5576,1.75,1.16,0.421,[Fe/H],0.425,4.02,7.53,0.305,V,5
HD 89744,F,6291,2.13,1.86,0.224,[M/H],0.796,4.07,1.88,0.17589,V,7
HD 90156,G,5599,0.92,0.84,-0.24,[Fe/H],-0.143,4.48,4.4,1.95613,V,5
HD 9174,G,5577,1.67,1.03,0.39,[Fe/H],0.382,4.03,9,0.28402,IV,8
HD 92788,G,5744,1.14,1.15,0.27,[Fe/H],0.02,4.39,2.55,0.95143,V,6
HD 92987,G,5770,1.58,1.08,-0.08,[Fe/H],0.406,4,7.75,0.36375,V,2
HD 93083,K,4995,0.85,0.7,0.15,[Fe/H],-0.387,4.26,1,2.04813,V,3
HD 9446,G,5793,1,1,0.09,[Fe/H],0.041,4.53,,1.51723,V,5
HD 94834,K,4798,4.2,1.11,0.12,[M/H],0.993,3.22,,,III,0
HD 95086,A,7595,1.49,1.6,0.14,[Fe/H],0.821,4.34,0.017,0.75944,III,8
HD 95089,G,4918,5.08,1.54,0.05,[Fe/H],1.13,3.24,2.5,,IV,8
HD 95127,K,4218,41.01,3.7,-0.18,[Fe/H],2.28,1.78,5.5,,III,0
HD 95338,K,5212,0.87,0.83,0.04,[Fe/H],-0.31,4.54,5.08,1.68654,V,0
HD 95872,K,5312,0.84,0.7,0.41,[Fe/H],-0.242,4.43,10,1.52053,V,0
HD 96063,G,5020,4.75,1.37,-0.3,[Fe/H],1.104,3.33,9,,V,6
HD 96127,K,3943,51.1,10.94,-0.24,[Fe/H],2.86,2.06,4.067,,III,2
HD 96167,G,5733,1.94,1.27,0.34,[Fe/H],0.57,3.99,4.85,0.19703,V,5
HD 96992,K,4725,7.43,0.96,-0.45,[Fe/H],1.47,2.76,,,III,0
HD 97048,B,10000,2.25,2.4,,,1.602,4.14,0.003,0.3025,V,9
HD 97658,K,5175,0.74,0.89,-0.3,[Fe/H],-0.434,4.49,6,3.06,V,1
HD 98219,K,4925,4.6,1.41,-0.02,[Fe/H],1.049,3.36,4,,III,0
HD 98649,G,5790,1.01,1.03,0.05,[Fe/H],-0.066,4.51,2.42,1.37018,V,3
HD 98736,G,5271,0.93,0.92,0.36,[Fe/H],-0.22,4.47,7.39,1.64899,V,5
HD 99109,G,5282,0.98,0.76,0.35,[Fe/H],-0.172,4.34,1,1.31503,IV,8
HD 99492,K,4815,0.83,0.48,0.24,[Fe/H],-0.475,4.28,4.8,2.83673,V,2
HD 99706,K,4862,5.52,1.46,0.14,[Fe/H],1.188,3.09,2.1,,IV,0
HIP 105854,K,4780,10.31,2.1,0.31,[Fe/H],1.67,2.94,,,III,2
HIP 107772,M,4006,0.51,0.63,,,-1.163,4.73,,4.9491,V,0
HIP 107773,K,4945,11.6,2.42,0.03,[Fe/H],1.87,2.6,,,III,1
HIP 109384,G,5180,0.83,0.78,-0.26,[Fe/H],-0.319,4.43,,2.23381,V,5
HIP 109600,G,5530,0.97,0.87,-0.12,[Fe/H],-0.079,4.45,,1.4544,V,5
HIP 114933,K,4823,5.27,1.39,0.06,[Fe/H],1.14,2.99,3.4,,III,0
HIP 116454,K,5089,0.72,0.81,-0.16,[Fe/H],-0.471,4.59,2,3,V,1
HIP 12961,M,3901,0.65,0.69,-0.14,[Fe/H],-1.003,4.65,,3.02935,V,0
HIP 14810,G,5544,1.07,1.01,0.24,[Fe/H],-0.01,4.32,5.84,1.27778,V,5
HIP 35173,K,4881,0.77,0.79,,,-0.514,4.52,,2.11071,V,2
HIP 38594,M,4086.3,0.63,0.61,,,-1.062,4.63,,3.49087,V,0
HIP 41378,F,6226,1.34,1.17,-0.11,[Fe/H],0.396,4.18,4.279,0.68,V,6
HIP 4845,K,4010,0.6,0.62,,,-1.034,4.62,,3.27404,V,7
HIP 48714,M,4015.5,0.6,0.58,,,-1.156,4.66,,3.90213,V,0
HIP 54373,K,4021,0.56,0.57,,,-1.222,4.68,,4.36601,V,5
HIP 56640,K,4769,4.93,1.04,-0.03,[Fe/H],1.05,2.91,9.15,,III,1
HIP 57274,K,4510,0.78,0.29,0.01,[Fe/H],0.19,4.11,7.87,1.96681,V,4
HIP 63242,G,4830,10.28,1.54,-0.31,[Fe/H],1.63,2.53,,,III,8
HIP 65 A,K,4590,0.72,0.78,0.18,[Fe/H],-0.678,4.61,4.1,2.898,V,4
HIP 65407,K,5460,0.95,0.93,0.25,[Fe/H],-0.186,4.47,,1.57198,V,0
HIP 65426,A,8840,1.77,1.96,,,1.269,4.32,0.014,0.62073,V,2
HIP 65891,K,5000,8.93,2.5,0.16,[Fe/H],1.65,2.9,,,III,0
HIP 67522,G,5675,1.38,1.22,0,,0.243,4.2,0.017,0.65,V,1
HIP 67537,K,4985,8.69,2.41,0.15,[Fe/H],1.617,2.85,,,III,1
HIP 67851,K,4890,5.92,1.63,0,[Fe/H],1.244,3.15,,,III,0
HIP 70849,K,4105,0.63,0.63,,,-1.048,4.62,3,3.41279,V,7
HIP 71135,M,4146,0.68,0.66,,,-0.908,4.54,,2.52341,V,1
HIP 74890,K,4850,5.77,1.74,0.2,[Fe/H],1.215,3.1,,,III,1
HIP 75092,K,4891,4.53,1.28,-0.01,[Fe/H],1.02,3.09,4.3,,III,0
HIP 78530,B,10500,2.11,2.5,-0.5,[Fe/H],1.368,4.13,0.005,0.32956,V,9
HIP 79431,M,3420,0.48,0.48,,,-1.549,4.76,,6.12742,V,3
HIP 8541,K,4670,7.83,1.17,-0.15,[Fe/H],1.405,2.7,,,III,2
HIP 90988,K,4883,3.94,1.3,0.17,[Fe/H],0.89,3.32,4.55,,III,1
HIP 91258,G,5519,0.89,0.97,0.23,[Fe/H],-0.222,4.53,2.4,1.91925,V,5
HIP 97233,K,5020,5.34,1.93,0.29,[Fe/H],1.204,3.26,,,III,0
HN Peg,G,5927.14,1.01,1.08,-0.036,[M/H],0.055,4.46,3.1,1.47538,V,0
HR 2562,F,6785,1.47,1.3,0.02,[M/H],0.531,4.4,0.6,0.70259,V,5
HR 5183,G,5794,1.53,1.07,0.1,[Fe/H],0.397,4.02,7.7,0.43147,V,0
HR 810,G,6167,1.13,1.34,0.16,[Fe/H],0.253,4.46,2.72,1.0501,V,0
HR 858,F,6201,1.31,1.15,-0.14,[Fe/H],0.371,4.26,,0.717,V,6
HR 8799,A,7204.58,1.49,1.61,-0.65,[Fe/H],0.733,4.3,0.03,0.68153,IV,5
iot Dra,K,4548,12.57,1.05,0.29,[Fe/H],1.82,2.6,,,III,2
K2-10,F,5620,0.98,0.92,-0.07,[Fe/H],-0.101,4.5,,1.38,V,9
K2-100,G,6168,1.22,1.23,0.26,[Fe/H],0.25,4.35,0.79,3.217,V,0
K2-101,K,4819,0.73,0.8,0.14,[Fe/H],-0.595,4.51,0.79,2.92,V,3
K2-102,K,4695,0.71,0.77,0.14,[Fe/H],-0.657,4.53,0.79,3.03,V,5
K2-104,M,3546.46,0.49,0.43,0.14,[Fe/H],-1.434,4.74,0.79,5.56106,V,2.5
K2-105,K,5464,0.91,0.99,0.25,[Fe/H],-0.189,4.51,0.6,1.541,V,1
K2-107,F,6061,1.81,1.3,0.14,[Fe/H],0.464,4.04,4.25,0.457,IV,9
K2-11,G,5433,5.15,1.35,-0.12,[Fe/H],-0.31,4.56,,2.11399,IV,8
K2-110,K,4950,0.71,0.75,-0.21,[Fe/H],-0.567,4.61,8,3.515,V,3
K2-111,G,5775,1.25,0.84,-0.46,[Fe/H],0.279,4.25,12.3,0.6,V,2
K2-113,G,5660,1.24,1.04,0.27,[Fe/H],0.009,4.27,5.9,0.987,V,
K2-115,G,5657,0.88,0.95,-0.1,[Fe/H],-0.145,4.53,10.7,2.663,V,4
K2-117,M,3778,0.51,0.54,-0.05,[Fe/H],-1.357,4.75,,5.297,V,1
K2-12,F,5800,1.01,1.01,0.03,[Fe/H],0.072,4.3,,0.84625,V,9
K2-122,M,4027,0.6,0.62,0.06,[Fe/H],-1.102,4.68,,6.939,V,0
K2-13,G,5698,0.78,0.8,-0.54,[Fe/H],-0.135,4.33,,1.72012,V,3
K2-133,M,3655,0.46,0.46,,,-1.479,4.77,,6.6302,V,1.5
K2-136,K,4499,0.66,0.74,0.15,[Fe/H],-0.788,4.66,0.688,3.52,V,5
K2-137,M,3492,0.44,0.46,0.08,[Fe/H],-1.484,4.82,,13,V,3
K2-138,G,5356.3,0.86,0.94,0.14,[M/H],-0.287,4.54,2.8,2.064,V,8
K2-139,K,5370,0.88,0.96,0.24,[Fe/H],-0.299,4.54,1.8,2.477,V,0
K2-14,M,3789,0.45,0.47,-0.37,[Fe/H],-1.031,4.61,,3.2418,V,0
K2-140,G,5705,0.99,1,0.13,[Fe/H],-0.049,4.45,4.22,1.477,V,5
K2-141,K,4599,0.68,0.71,-0.06,[Fe/H],-0.75,4.62,6.3,3.164,V,7
K2-146,M,3385,0.33,0.33,-0.02,[Fe/H],-1.824,4.9,5,13.1,V,3
K2-149,M,3745,0.57,0.59,0.11,[Fe/H],-1.31,4.71,,3.93217,V,1
K2-15,G,5131,0.68,0.72,-0.46,[Fe/H],-0.453,4.57,,1.89114,V,8
K2-150,M,3499,0.44,0.46,0.09,[Fe/H],-1.585,4.82,,8.03564,V,2.5
K2-151,M,3695,0.45,0.47,-0.19,[Fe/H],-1.553,4.8,,6.736,V,1.5
K2-152,M,4044,0.61,0.63,0.12,[Fe/H],-1.06,4.67,,3.49448,V,0
K2-153,M,3845,0.53,0.55,-0.09,[Fe/H],-1.367,4.73,,4.87969,V,3
K2-154,M,4097,0.63,0.65,0.21,[Fe/H],-1.018,4.65,,3.24997,V,0
K2-155,K,4258,0.58,0.65,-0.3,[Fe/H],-1.229,4.6,,5.41,V,7
K2-16,K,4761,0.54,0.67,-0.33,[Fe/H],-0.761,4.63,,2.95996,V,3
K2-167,F,5908,1.83,1.02,-0.45,[Fe/H],0.442,3.88,,0.51347,V,7
K2-17,K,4320,0.66,0.71,0.15,[Fe/H],-0.91,4.8,,2.41242,V,7
K2-18,M,3457,0.41,0.36,0.12,[Fe/H],-1.597,4.79,,7.07318,V,2.5
K2-19,G,5430,0.86,0.93,0.1,[Fe/H],-0.292,4.63,8,1.76,V,9
K2-21,M,4222.06,0.65,0.68,-0.11,[Fe/H],-0.985,4.83,1,3.1676,V,0
K2-216,K,4503,0.72,0.7,0,[Fe/H],-0.721,4.57,,2.3,V,5
K2-22,M,3830,0.57,0.6,0.03,[Fe/H],-1.113,4.65,,3.65548,V,0
K2-229,G,5315,0.79,0.87,-0.09,[Fe/H],-0.383,4.59,5.4,2.38,V,9
K2-233,K,5033,0.71,0.79,-0.09,[Fe/H],-0.523,4.64,0.36,3.17211,V,3
K2-237,F,6099,1.38,1.23,0,[Fe/H],0.285,4.27,2.55,0.663,V,9
K2-238,G,5630,1.59,1.19,0.34,[Fe/H],0.36,4.11,5.63,0.0775,V,2
K2-239,M,3420,0.36,0.4,-0.1,[Fe/H],-1.796,4.9,,19.15052,V,3
K2-24,G,5625,1.16,1.07,0.34,[Fe/H],0.158,4.29,5.1,0.89,V,9
K2-240,M,3810,0.54,0.58,-0.1,[Fe/H],-1.276,4.7,,4.32946,V,0
K2-25,M,3180,0.29,0.29,0.15,[Fe/H],-2.076,4.94,,15.9,V,4
K2-26,M,3785,0.52,0.56,-0.13,[Fe/H],-1.31,4.72,1,3.92,V,1
K2-260,F,6367,1.69,1.39,-0.14,[Fe/H],0.543,4.15,1.9,0.4005,V,6
K2-261,G,5537,1.65,1.1,0.36,[Fe/H],0.372,4.21,8.8,0.35,IV-V,7
K2-263,G,5368,0.85,0.88,-0.08,[m/H],-0.26,4.51,7,2.02,V,9
K2-264,M,3660,0.47,0.5,-0.013,[Fe/H],-1.481,4.78,,6.61,V,2.5
K2-265,G,5477,0.98,0.92,0.078,[Fe/H],-0.18,4.42,9.7,0.98,V,8
K2-28,M,3214,0.29,0.26,0.26,[Fe/H],-1.94,4.93,,15.2,V,4
K2-285,K,4975,0.79,0.83,0,[Fe/H],-0.422,4.4,,2.512,V,2
K2-286,M,3926,0.62,0.64,0,[Fe/H],-1.046,4.7,,3.41329,V,0
K2-288 B,M,3341,0.32,0.33,-0.21,[Fe/H],-1.93,4.96,1,14.2,V,3
K2-29,G,5358,0.86,0.94,0.16,[Fe/H],-0.295,4.54,2.6,2.9,V,7
K2-292,G,5725,1.09,1,0.07,[Fe/H],0.093,4.33,6.8,1.14,V,3
K2-295,K,4444,0.7,0.74,0.14,[Fe/H],-0.716,4.63,,3.043,V,5
K2-3,M,3896,0.56,0.6,-0.32,[Fe/H],-1.15,4.73,1,5.05,V,0
K2-30,G,5425,0.84,0.9,-0.15,[Fe/H],-0.256,4.54,3.9,2.11,V,6
K2-31,G,5280,0.78,0.91,0.08,[Fe/H],-0.11,4.6,,1.19289,V,7
K2-315,M,3300,0.2,0.17,-0.24,[Fe/H],-2.387,5.09,1,32.6,V,
K2-32,G,5271,0.86,0.83,-0.06,[Fe/H],-0.296,4.49,7.9,1.83277,V,9
K2-33,M,3540,1.05,0.56,,,-0.824,4.06,0.009,0.72,V,3
K2-34,F,6071,1.44,1.15,0.03,[Fe/H],0.4,4.18,2.88,0.675,V,
K2-35,K,4402.71,0.62,0.7,0.04,[Fe/H],-0.719,4.7,,2.02725,V,4
K2-36,K,4916,0.72,0.79,-0.09,[Fe/H],-0.57,4.62,1.4,2.99,V,2
K2-37,G,5413,0.85,0.9,-0.03,[Fe/H],-0.469,4.52,,1.80561,V,3
K2-38,G,5757,1.38,2.24,0.28,[Fe/H],0,4.35,,1.21,V,2
K2-5,K,3930,0.57,0.61,-0.33,[Fe/H],-1.083,4.71,,4.4048,V,7
K2-60,G,5500,1.12,0.97,0.01,[Fe/H],0.282,4.07,10,0.99,V,4
K2-8,K,4870,0.74,0.78,-0.02,[Fe/H],-0.553,4.52,,2.36326,V,3
K2-9,M,3390,0.31,0.3,-0.25,[Fe/H],-1.921,4.82,1,9.88,V,2.5
K2-95,M,3548,0.42,0.44,-0.03,[Fe/H],-1.635,4.84,0.79,1.12,V,3
K2-98,F,6172,1.57,1.2,-0.06,[Fe/H],0.504,4.13,5.2,0.633,V,8
K2-99,G,6217,2.63,1.63,0.21,[Fe/H],0.961,3.81,2.4,0.099,IV,0
kap And,B,10900,2.31,2.6,-0.36,[M/H],1.83,3.78,0.03,0.32158,IV ,9
kap CrB,K,4871,4.85,1.5,0.15,[Fe/H],1.084,3.26,3.42,,III,0
Kapteyn,M,3550,0.29,0.28,-0.89,[M/H],-1.793,4.92,,14.27604,V,2
KELT-10,G,5948,1.21,1.11,0.09,[Fe/H],0.217,4.32,4.5,0.889,V,0
KELT-11,G,5375,2.69,1.44,0.17,[Fe/H],0.744,3.7,,0.104,IV,8
KELT-14,G,5720,1.52,1.24,0.32,[Fe/H],0.279,4.17,5.11,0.495,IV,4
KELT-16,F,6236,1.36,1.21,-0.002,[Fe/H],0.401,4.25,3.1,0.679,V,7
KELT-17,A,7454,1.65,1.64,-0.018,[Fe/H],0.876,4.22,0.65,0.518,V,
KELT-18,F,6670,1.91,1.52,0.09,[Fe/H],0.813,4.06,1.9,0.3111,V,4
KELT-19 A,A,7500,1.83,1.62,-0.12,[Fe/H],0.978,4.13,,0.376,V,8
KELT-2 A,F,6327,1.93,1.54,0,[Fe/H],0.689,4.5,3.97,0.3,IV,8
KELT-20,A,8720,1.56,1.76,-0.29,[Fe/H],1.104,4.29,0.6,0.641,V,2
KELT-21,A,7598,1.64,1.46,-0.405,[Fe/H],0.905,4.17,1.6,0.468,V,8
