hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,lum_class,sub_class
HD 141399,K,5600,1.39,1.07,0.35,[Fe/H],0.201,4.28,,0.51159,IV,0
HD 141937,G,5870,1.03,1.09,0.11,[Fe/H],0.022,4.45,2.32,1.23793,V,2
HD 142,G,6245,1.47,1.23,0.09,[Fe/H],0.474,4.62,3.12,0.55028,IV,1
HD 142022 A,K,5421,1.04,0.9,0.19,[Fe/H],0.004,4.35,7,1.21798,V,0
HD 142245,K,4922,4.63,3.5,0.17,[Fe/H],1.13,3.65,2.3,,V,0
HD 142415,G,5940,1.04,1.07,0.13,[Fe/H],0.06,4.44,1.1,1.30524,V,1
HD 143105,F,6380,1.65,1.51,0.15,[Fe/H],0.556,4.37,,0.41134,V,5
HD 143361,G,5507,0.92,0.97,0.14,[Fe/H],-0.092,4.47,2.942,1.24457,V,6
HD 145377,G,6014,1.05,1.2,0.11,[Fe/H],0.193,4.47,1.3,1.20862,V,3
HD 145457,K,4769,10.52,1.23,-0.25,[Fe/H],1.655,2.48,2.605,,III,0
HD 145934,K,4823.75,5.38,1.75,0.095,[Fe/H],1.355,3.23,1.56,,III,0
HD 1461,G,5765,1.15,1.02,0.19,[Fe/H],0.095,4.38,7.12,1.00918,V,0
HD 147018,G,5441,0.94,0.93,0.1,[Fe/H],-0.148,4.42,6.36,1.67627,V,9
HD 147379,M,4156,0.63,0.6,0.19,[Fe/H],-0.971,4.65,,3.21619,V,1
HD 147513,G,5883,0.98,1.11,0.06,[Fe/H],-0.01,4.51,0.3,1.65719,V,3
HD 14787,G,4946,5.01,1.43,0,[M/H],1.115,3.23,,,IV,5
HD 147873,G,5972,2.29,1.38,0.03,[Fe/H],0.777,3.86,4,0.11307,V,1
HD 148156,G,6308,1.21,1.22,0.29,[Fe/H],0.25,4.56,,0.73063,V,0
HD 148164,F,6032,1.34,1.21,0.24,[Fe/H],0.33,4.16,2.41,0.50654,V,8
HD 148427,K,5025,3.86,1.64,0.08,[Fe/H],0.78,3.48,2.5,,III,0
HD 149026,G,6179,1.41,1.42,0.32,[Fe/H],0.48,4.37,2.6,0.72,V,0
HD 149143,G,5856,1.44,1.2,0.29,[Fe/H],0.35,4.25,4.28,0.28619,IV,0
HD 1502,K,4947,4.67,1.46,0.09,[Fe/H],1.064,3.18,2.4,,III,0
HD 150706,G,5961,0.96,1.17,-0.01,[Fe/H],0.032,4.5,3,1.65625,V,0
HD 152079,G,5907,1.13,1.15,0.29,[Fe/H],0.107,4.37,1.622,0.89128,V,6
HD 152581,K,5027,5.14,1.3,-0.46,[Fe/H],1.173,3.29,12,,III,0
HD 152843,G,6310,1.43,1.15,-0.16,[Fe/H],0.45,4.19,3.97,0.568,V,0
HD 15337,K,5125,0.86,0.9,0.15,[Fe/H],-0.326,4.53,5.1,2.07949,V,1
HD 153950,F,6124,1.28,1.25,-0.01,[Fe/H],0.346,4.32,4.3,0.61762,V,8
HD 154345,G,5468,0.85,0.71,-0.11,[Fe/H],-0.219,4.43,9.527,2.03569,V,8
HD 154672,G,5743,1.32,1.18,0.25,[Fe/H],0.257,4.27,8,0.57949,IV,3
HD 154857,G,5589,2.3,1.96,-0.22,[Fe/H],0.663,4.01,5.64,0.11859,V,5
HD 155193,F,6239,1.76,1.22,0.05,[Fe/H],0.641,4.26,,0.31571,IV,8
HD 155233,K,4960,5.03,1.69,0.08,[Fe/H],1.129,3.17,,,III,1
HD 155358,G,5905,1.38,1.15,-0.6,[Fe/H],0.299,4.22,10.7,0.62377,V,0
HD 156279,G,5453,0.95,0.95,0.14,[Fe/H],-0.146,4.46,4.1,1.49285,V,6
HD 156411,F,5900,2.16,1.25,-0.12,[Fe/H],0.731,4.07,4.28,0.11979,IV-V,8
HD 156668,K,4850,0.72,0.77,0.05,[Fe/H],0.23,4.6,8.6,2.53285,V,2
HD 156846,G,6090,1.9,1.38,0.15,[Fe/H],0.697,4.02,2.4,0.20369,V,0
HD 158038,K,4860,4.5,1.3,0.19,[Fe/H],1.076,3.24,2.5,,III,0
HD 158259,G,5801.89,1.21,1.08,,,0.212,4.25,,0.72532,V,0
HD 158996,K,4069,50.3,1.8,-0.2,[Fe/H],3.015,1.4,1.6,,III,5
HD 159243,G,6123,1.12,1.12,0.05,[Fe/H],0.114,4.55,1.25,1.17388,V,0
HD 159868,G,5534,2.13,1.19,-0.08,[Fe/H],0.556,3.92,7.57,0.15582,V,5
HD 1605,K,4915,3.49,1.33,0.22,[Fe/H],0.81,3.4,4.36,,IV,1
HD 160691,G,5807,1.38,1.08,0.302,[M/H],0.278,4.37,6.4,0.55473,V,5
HD 16141,G,5757,1.48,1.11,0.13,[Fe/H],0.366,4.14,7.51,0.41293,IV,5
HD 16175,G,5981,1.72,1.63,0.3,[Fe/H],0.508,4.18,3.3,0.23958,V,0
HD 162020,K,4723,0.75,0.42,-0.1,[Fe/H],-0.602,4.31,6,2.6454,V,3
HD 163607,G,5522,1.76,1.12,0.21,[Fe/H],0.42,3.97,8.6,0.24793,IV-V,5
HD 16417,G,5841,1.64,1.2,0.06,[Fe/H],0.443,4.16,7,0.35078,V,1
HD 164509,G,5859,1.11,1.12,0.2,[Fe/H],0.12,4.44,2.32,1.01495,V,5
HD 164595,G,5790,1.02,0.99,-0.04,[Fe/H],0.017,4.44,7.12,1.34121,V,2
HD 164604,K,4684,0.77,0.77,-0.18,[Fe/H],-0.588,4.62,,2.96799,V,3
HD 164922,G,5390,0.95,0.93,0.18,[Fe/H],-0.149,4.46,9.58,1.32024,V,9
HD 165155,G,5426,0.95,1.02,0.09,[Fe/H],-0.155,4.49,11,1.75673,V,8
HD 1666,F,6317,1.93,1.5,0.37,[Fe/H],0.73,4.06,1.76,0.18152,V,7
HD 166724,K,5127,0.8,0.81,-0.09,[Fe/H],-0.509,4.43,4,2.4215,IV-V,0
HD 167042,K,5010,4.3,1.72,0.05,[Fe/H],1.023,3.29,2.2,,IV,1
HD 168009,G,5778.33,1.21,0.99,0.018,[Fe/H],0.15,4.27,9.68,0.90712,V,2
HD 168443,G,5491,1.51,0.99,0.04,[Fe/H],0.382,4.07,11.08,0.29172,V,5
HD 168746,G,5570,1.09,1.07,-0.08,[Fe/H],0.041,4.39,8,1.08973,V,5
HD 1690,K,4374,21.66,1.86,-0.27,[Fe/H],1.52,2.04,6.7,,III,1
HD 169830,F,6299,1.94,1.4,0.21,[Fe/H],0.662,4.1,2.8,0.21453,V,8
HD 170469,G,5842,1.24,1.1,0.29,[Fe/H],0.204,4.3,6.7,0.69157,IV,5
HD 17092,K,4326,13.58,6.73,0.18,[Fe/H],1.756,3,2.6,,III,0
HD 171028,G,5671,2.47,1.53,-0.48,[Fe/H],0.733,3.84,8.59,0.08728,V,0
HD 171238,G,5440,1.01,0.96,0.2,[Fe/H],-0.09,4.43,7.56,1.73124,V,8
HD 17156,G,6040,1.55,1.41,0.19,[Fe/H],0.39,4.2,3.37,0.53,IV-V,5
HD 173416,G,4683,13.5,2,-0.22,[Fe/H],1.892,2.48,1.73,,III,8
HD 175167,G,5635,1.75,1.37,0.28,[Fe/H],0.456,4.09,,0.25773,IV-V,5
HD 175541,G,5013,4.19,1.39,-0.07,[Fe/H],0.934,3.33,1.9,,IV,8
HD 175607,G,5392,0.7,0.71,-0.62,[Fe/H],-0.271,4.64,10.32,2.22215,V,6
HD 17674,G,5904,1.18,0.98,-0.16,[Fe/H],0.205,4.34,8.4,0.85881,V,0
HD 176986,K,4931,0.78,0.79,0.03,[Fe/H],-0.48,4.44,4.3,2.29582,V,2
HD 177565,G,5627,0.97,1,0.081,[M/H],-0.054,4.39,6.88,1.46777,V,8
HD 177830,K,4901,3.26,1.7,0.42,[Fe/H],0.685,3.64,4.4,,III,0
HD 178911 B,G,5588,1.08,1.24,0.24,[Fe/H],-0.043,4.46,,1.28618,V,5
HD 179079,G,5646,1.63,1.14,0.24,[Fe/H],0.38,4.16,6.99,0.2585,IV,5
HD 179949,F,6168,1.27,1.21,0.137,[Fe/H],0.301,4.34,1,0.85977,V,8
HD 180053,K,5131,4.06,1.75,0.25,[M/H],1.099,3.54,,,IV,0
HD 18015,G,5603,3.13,1.49,-0.081,[M/H],0.974,3.64,,,IV,6
HD 180314,K,4924,8.13,2.2,0.14,[Fe/H],1.643,2.96,1.295,,III,0
HD 180617,M,3534,0.48,0.48,-0.04,[Fe/H],-1.49,4.9,,6.27869,V,2.5
HD 180902,K,4961,4.16,1.41,0.04,[Fe/H],0.973,3.36,2.8,,III,0
HD 181234,G,5386,1.05,1.01,0.32,[Fe/H],-0.099,4.25,6.32,1.26775,V,5
HD 181342,K,4945,4.71,1.69,0.26,[Fe/H],1.079,3.28,1.8,,III,0
HD 181433,K,4918,0.79,0.63,0.38,[Fe/H],-0.456,4.45,2,2.14212,IV,3
HD 181720,G,5736,1.5,1.03,-0.62,[Fe/H],0.288,4.09,,0.42706,V,1
HD 183263,G,5948,1.23,1.31,0.29,[Fe/H],0.25,4.37,8.13,0.69443,IV,2
HD 183579,G,5788,0.98,1.03,-0.023,[Fe/H],0.012,4.5,2.6,1.53,V,5
HD 185269,G,5923,2,1.3,0.11,[Fe/H],0.694,3.92,4,0.16236,IV,0
HD 187085,G,6117,1.27,1.19,0.12,[Fe/H],0.4,4.28,2.747,0.6538,V,0
HD 187123,G,5790,1.15,1.04,0.09,[M/H],0.127,4.33,7.4,0.96299,V,3
HD 18742,G,4940,5.13,1.36,-0.04,[Fe/H],1.143,3.09,2.3,,IV,8
HD 188015,G,5746,1.13,1.09,0.289,[Fe/H],0.059,4.45,6.61,1.12887,IV,5
HD 189733,K,5052,0.75,0.79,-0.02,[Fe/H],-0.461,4.49,1.4,2.65,V,0
HD 190007,K,4610,0.79,0.77,0.16,[Fe/H],-0.68,4.58,1,3.25324,V,3
HD 190360,G,5552,1.14,0.99,0.24,[Fe/H],0.066,4.32,8.5,0.867,IV,6
