pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_pubdate,disc_locale,disc_facility,disc_telescope,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
Kepler-215 d,Kepler-215,1,4,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,30.864423,0.185,2.39,0.213,23.6,0.074,9.5,Mass,0,21.4,527,1,,5739,1.03,0.94,-0.443,[M/H],-0.117,4.36,1.62,8.36305,19h39m53.65s,294.9735313,+45d12m49.27s,45.2136867,485.997,13.678,11.996,13.5549
Kepler-215 e,Kepler-215,1,4,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,68.16101,0.314,1.75,0.156,3.71,0.0117,3.8,M-R relationship,0,7.44,405,0,,5739,1.03,0.94,-0.443,[M/H],-0.117,4.36,1.62,2.35964,19h39m53.65s,294.9735313,+45d12m49.27s,45.2136867,485.997,13.678,11.996,13.5549
Kepler-216 b,Kepler-216,1,2,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,7.693641,0.079,2.35,0.21,6.12,0.0193,2.59,M-R relationship,0,540.03,1069,0,,6091,1.26,1.11,-0.149,[M/H],0.518,4.28,0.28,0.43582,19h34m54.74s,293.7280695,+46d07m44.81s,46.1291139,1187.47,14.054,12.621,13.9607
Kepler-216 c,Kepler-216,1,2,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,17.406669,0.136,3.04,0.271,9.48,0.0298,1.85,M-R relationship,0,182.06,814,0,,6091,1.26,1.11,-0.149,[M/H],0.518,4.28,0.28,0.48258,19h34m54.74s,293.7280695,+46d07m44.81s,46.1291139,1187.47,14.054,12.621,13.9607
Kepler-217 b,Kepler-217,1,3,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,5.374943,0.065,2.23,0.199,5.6,0.0176,2.77,M-R relationship,0,1366.48,1413,0,,6171,1.8,1.14,0.09,[Fe/H],0.754,4.03,2.63,0.3447,19h32m09.06s,293.0377331,+46d16m39.08s,46.2775223,1104.64,13.155,12.103,13.1207
Kepler-217 c,Kepler-217,1,3,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,8.586004,0.089,1.85,0.165,4.08,0.0128,3.54,M-R relationship,0,730.81,1208,0,,6171,1.8,1.14,0.09,[Fe/H],0.754,4.03,2.63,0.3447,19h32m09.06s,293.0377331,+46d16m39.08s,46.2775223,1104.64,13.155,12.103,13.1207
Kepler-217 d,Kepler-217,1,3,Transit,2016,2016-05-01T00:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,3.88689525,0.0505,1.32,0.118,2.3,0.00724,5.5,M-R relationship,0,2099.75,1574,0,,6341,1.76,1.37,0.09,[Fe/H],0.754,4.08,2.63,0.3447,19h32m09.06s,293.0377331,+46d16m39.08s,46.2775223,1104.64,13.155,12.103,13.1207
Kepler-218 b,Kepler-218,1,3,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,3.619337,0.046,1.48,0.132,2.79,0.00879,4.73,M-R relationship,0,460.66,1156,0,,5502,1.06,1.02,0.31,[Fe/H],0.009,4.39,6.3,1.10283,19h41m39.09s,295.4128785,+46d15m59.69s,46.2665801,656.38,14.035,12.311,13.9069
Kepler-218 c,Kepler-218,1,3,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,44.699576,0.248,3.14,0.28,10,0.0315,1.77,M-R relationship,0,16.15,500,0,,5502,1.06,1.02,0.31,[Fe/H],0.009,4.39,6.3,1.61812,19h41m39.09s,295.4128785,+46d15m59.69s,46.2665801,656.38,14.035,12.311,13.9069
Kepler-218 d,Kepler-218,1,3,Transit,2016,2016-05-01T00:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,124.5244647,0.4865,2.66,0.237,7.56,0.0238,2.21,M-R relationship,0,4.12,356,0,,5542,1.02,1.01,0.31,[Fe/H],0.009,4.42,5.62,1.25905,19h41m39.09s,295.4128785,+46d15m59.69s,46.2665801,656.38,14.035,12.311,13.9069
Kepler-219 b,Kepler-219,1,3,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,4.585512,0.057,2.95,0.263,9.01,0.0283,1.93,M-R relationship,0,456.73,1307,0,,5786,1.49,1.17,0.361,[M/H],0.214,4.16,4,1.06034,19h14m57.35s,288.7389481,+46d45m45.33s,46.7625929,787.07,13.823,12.389,13.7179
Kepler-219 c,Kepler-219,1,3,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,22.714613,0.165,3.58,0.319,12.5,0.0394,1.5,M-R relationship,0,54.1,766,0,,5786,1.49,1.17,0.361,[M/H],0.214,4.16,4,0.73757,19h14m57.35s,288.7389481,+46d45m45.33s,46.7625929,787.07,13.823,12.389,13.7179
Kepler-219 d,Kepler-219,1,3,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,47.903645,0.272,2.81,0.251,19.1,0.06,4.73,Mass,0,20.01,598,0,,5786,1.49,1.17,0.361,[M/H],0.214,4.16,4,2.12046,19h14m57.35s,288.7389481,+46d45m45.33s,46.7625929,787.07,13.823,12.389,13.7179
