pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_pubdate,disc_locale,disc_facility,disc_telescope,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
11 Com b,11 Com,2,1,Radial Velocity,2007,2008-01-01T01:00:00Z,Ground,Xinglong Station,2.16 m Telescope,0,326.03,1.29,12.1,1.08,6165.6,19.4,19.1,Msini,0.231,,,0,G8 III,4742,19,2.7,-0.35,[Fe/H],2.243,2.31,,,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846,4.72307,2.282,4.44038
11 UMi b,11 UMi,1,1,Radial Velocity,2009,2009-10-01T00:00:00Z,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,0,516.21997,1.53,12.3,1.09,4684.8142,14.74,13.8,Msini,0.08,,,0,K4 III,4213,29.79,2.78,-0.02,[Fe/H],2.43,1.93,1.56,,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.321,5.013,1.939,4.56216
14 And b,14 And,1,1,Radial Velocity,2008,2008-12-01T01:00:00Z,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,0,185.84,0.83,12.9,1.15,1525.5,4.8,3.9,Msini,0,,,0,K0 III,4813,11,2.2,-0.24,[Fe/H],1.763,2.63,4.5,,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392,5.23133,2.331,4.91781
14 Her b,14 Her,1,2,Radial Velocity,2002,2003-01-01T01:00:00Z,Ground,W. M. Keck Observatory,10 m Keck I Telescope,0,1773.40002,2.93,12.9,1.15,1481.0878,4.66,3.79,Msini,0.37,,,0,K0 V,5338,0.93,0.9,0.41,[Fe/H],-0.153,4.45,3.9,1.27393,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323,6.61935,4.714,6.383
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,1997-07-01T00:00:00Z,Ground,Multiple Observatories,Multiple Telescopes,0,798.5,1.66,13.5,1.2,565.7374,1.78,1.26,Msini,0.68,,,0,G3 V,5750,1.13,1.08,0.06,[Fe/H],0.097,4.36,7.4,1.01103,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397,6.215,4.651,6.06428
18 Del b,18 Del,2,1,Radial Velocity,2008,2008-06-01T00:00:00Z,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,0,993.3,2.6,12.5,1.11,3273.5,10.3,9.21,Msini,0.08,,,0,G6 III,4979,8.5,2.3,-0.052,[Fe/H],1.602,2.82,1.1,,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.222,5.51048,3.366,5.27476
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,2008-12-01T01:00:00Z,Ground,Gemini Observatory,8.19 m Gemini North Telescope,0,,330,18.647,1.664,3000,8,2.54,Mass,,,1700,0,K7 V,4060,1.31,0.85,,,-0.37,4,0.005,0.38789,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.135,12.618,8.916,12.0572
24 Boo b,24 Boo,1,1,Radial Velocity,2018,2018-08-01T00:00:00Z,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,0,30.3506,0.19,13.9,1.24,289.2253,0.91,0.592,Msini,0.042,,,0,G3 IV,4893,10.64,0.99,-0.77,[Fe/H],1.774,2.42,6.92,,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863,5.59,3.159,5.3339
24 Sex b,24 Sex,1,2,Radial Velocity,2010,2011-01-01T01:00:00Z,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,0,452.8,1.333,13.4,1.19,632.46,1.99,1.44,Msini,0.09,,,0,K0 IV,5098,4.9,1.54,-0.03,[Fe/H],1.164,3.5,2.7,,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,6.4535,4.285,6.20374
24 Sex c,24 Sex,1,2,Radial Velocity,2010,2011-01-01T01:00:00Z,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,0,883,2.08,13.9,1.24,273.32,0.86,0.559,Msini,0.29,,,0,K0 IV,5098,4.9,1.54,-0.03,[Fe/H],1.164,3.5,2.7,,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,6.4535,4.285,6.20374
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,2013-05-01T00:00:00Z,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,0,,84,12.3,1.1,4131.79,13,12.2,Mass,,,,0,M5.5/M6,,,0.19,,,,,0.03,,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,47.2,15.788,9.237001,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,2013-09-01T00:00:00Z,Ground,W. M. Keck Observatory,10 m Keck II Telescope,0,,52,11.209,1,7786.5,24.5,30.4,Mass,,,1600,0,M3.5 V,3530,0.37,0.4,,,-1.72,4.86,0.12,10.11868,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.8281,14.244,9.198,12.9025
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,2015-06-01T00:00:00Z,Ground,Cerro Tololo Inter-American Observatory,1.5 m CTIO Telescope,0,,156,16.141,1.44,4417.837,13.9,5.77,Mass,,,,0,M6,3064,0.28,0.11,,,-2.23,4.59,0.035,17.67076,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,40.0896412,,10.404,15.0123
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,2010-05-01T00:00:00Z,Space,Hubble Space Telescope,2.4 m Hubble Space Telescope,0,,15,12.6,1.13,2383.6,7.5,6.55,Mass,,,,0,M8.5,2936,0.23,0.02,,,-2.444,5.01,0.001,22.7811,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,120.423987,,13.161,18.9668
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,2004-10-01T00:00:00Z,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,0,,55,12.9,1.15,1589.15,5,4.07,Mass,,,1250,0,M8,2825,0.22,0.02,,,-2.561,5.03,0.008,25.27945,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.308,20.15,11.945,17.4076
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1,Eclipse Timing Variations,2015,2015-05-01T00:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,416,0.92,13.4,1.2,603.877,1.9,1.38,Mass,,,,0,,10868,0.34,0.48,-0.092,[Fe/H],0.168,3.91,,,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.332,12.651,12.955,12.1376
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,Imaging,2009,2010-03-01T01:00:00Z,Ground,W. M. Keck Observatory,10 m Keck II Telescope,0,7336.5,,10.31,0.92,6657.48,20.95,33.4,Mass,0.26,,2075,0,M8.5,2300,0.12,0.08,,,-3.48,5.22,,63.55229,21h40m29.24s,325.1218214,+16d25m16.83s,16.4213408,33.1156898,,11.826,17.3961
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,2017-01-01T01:00:00Z,Ground,W. M. Keck Observatory,10 m Keck II Telescope,0,,230,12.3,1.1,3972.875,12.5,11.7,Mass,,,,0,K7 V,4045,0.64,0.6,,,-1.021,4.62,0.12,3.36994,22h36m24.62s,339.1025931,+47d51m42.06s,47.861683,69.5737,12.368,9.148,11.9484
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,2009-12-01T01:00:00Z,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,0,335.10001,0.99,12.3,1.1,4392.4106,13.82,13,Msini,0.29,,,0,F6 V,6331,1.41,1.93,0.19,[Fe/H],0.381,4.43,0.91,0.743,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.657,7.09209,5.822,6.96085
4 UMa b,4 UMa,1,1,Radial Velocity,2006,2007-09-01T00:00:00Z,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,0,269.3,0.87,12.7,1.13,2256.5,7.1,6.05,Msini,0.432,,,0,K1 III,4415,18.11,1.23,-0.25,[Fe/H],2.062,1.8,4.604,,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603,4.5801,1.734,4.23773
42 Dra b,42 Dra,2,1,Radial Velocity,2008,2009-06-01T00:00:00Z,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,0,479.1,1.19,13,1.16,1233.13,3.88,3.08,Msini,0.38,,,0,K1.5 III,4200,22.03,0.98,-0.46,[Fe/H],2.155,1.71,9.49,,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,90.6545,4.8262,2.085,4.43216
47 UMa b,47 UMa,1,3,Radial Velocity,1996,1996-06-01T00:00:00Z,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,0,1078,2.1,13.2,1.18,804.08,2.53,1.92,Msini,0.032,,,0,G0 V,5872,1.21,1.06,0.04,[M/H],0.198,4.3,6.48,0.83662,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,5.03352,3.75,4.87837
47 UMa c,47 UMa,1,3,Radial Velocity,2001,2002-01-01T01:00:00Z,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,0,2391,3.6,14.2,1.27,171.621,0.54,0.329,Msini,0.098,,,0,G1 V,5872,1.21,1.06,0.04,[M/H],0.198,4.3,6.48,0.83662,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,5.03352,3.75,4.87837
47 UMa d,47 UMa,1,3,Radial Velocity,2009,2010-04-01T00:00:00Z,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,0,14002,11.6,13.5,1.2,521.22,1.64,1.16,Msini,0.16,,,0,G0V,5872,1.21,1.06,0.04,[M/H],0.198,4.3,6.48,0.83662,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,5.03352,3.75,4.87837
51 Peg b,51 Peg,1,1,Radial Velocity,1995,1995-11-01T01:00:00Z,Ground,Haute-Provence Observatory,1.93 m Telescope,0,4.230785,0.0527,14.3,1.27,146.2018,0.46,0.275,Mass,0.013,,,0,G5V,5758,1.18,1.03,0.18,[M/H],0.136,4.31,10,0.89374,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614,5.45309,3.911,5.28647
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,1997-01-01T01:00:00Z,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,0,14.6516,0.1134,13.9,1.24,263.9785,0.8306,0.54,Mass,0,,700,0,K0 IV-V,5172,0.94,0.91,0.35,[Fe/H],-0.197,4.43,5.5,1.41851,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084,4.015,5.72973
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,2004-10-01T00:00:00Z,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0,44.3989,0.2373,8.51,0.76,54.4738,0.1714,0.486,Mass,0.03,,,0,G8V,5172,0.94,0.91,0.35,[Fe/H],-0.197,4.43,10.2,1.41851,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084,4.015,5.72973
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,2002-12-01T01:00:00Z,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,0,5574.2,5.957,13,1.16,1232.493,3.878,3.08,Mass,0.13,,,0,G8 V,5172,0.94,0.91,0.35,[Fe/H],-0.197,4.43,5.5,1.41851,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084,4.015,5.72973
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,2004-10-01T00:00:00Z,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0,0.7365474,0.01544,1.875,0.167,7.99,0.02514,6.66,Mass,0.05,,1958,0,G8 V,5172,0.94,0.91,0.35,[Fe/H],-0.197,4.43,10.2,1.41,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084,4.015,5.72973
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,2008-03-01T01:00:00Z,Ground,Multiple Observatories,Multiple Telescopes,0,259.88,0.7708,7.59,0.677,44.812,0.141,0.563,Mass,0.08,,,0,G8V,5172,0.94,0.91,0.35,[Fe/H],-0.197,4.43,10.2,1.41851,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,5.95084,4.015,5.72973
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,2008-12-01T01:00:00Z,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,0,934.3,2.11,13.4,1.19,638.8383,2.01,1.46,Msini,0.073,,,0,K0 IV,4938,5.2,1.44,-0.13,[Fe/H],1.176,3.19,2.353,,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,54.6599,5.87307,3.701,5.60686
61 Vir b,61 Vir,1,3,Radial Velocity,2009,2010-01-01T01:00:00Z,Ground,Multiple Observatories,Multiple Telescopes,0,4.215,0.050201,2.11,0.188,5.1,0.016,2.98,Msini,0.12,,,0,G5 V,5577,0.96,0.94,-0.01,[Fe/H],-0.095,4.34,8.96,1.44933,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,4.6955,2.956,4.54052
61 Vir c,61 Vir,1,3,Radial Velocity,2009,2010-01-01T01:00:00Z,Ground,Multiple Observatories,Multiple Telescopes,0,38.021,0.2175,4.46,0.398,18.2,0.057,1.13,Msini,0.14,,,0,G5 V,5577,0.96,0.94,-0.01,[Fe/H],-0.095,4.34,8.96,1.44933,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,4.6955,2.956,4.54052
61 Vir d,61 Vir,1,3,Radial Velocity,2009,2010-01-01T01:00:00Z,Ground,Multiple Observatories,Multiple Telescopes,0,123.01,0.476,5.11,0.456,22.9,0.072,0.943,Msini,0.35,,,0,G5 V,5577,0.96,0.94,-0.01,[Fe/H],-0.095,4.34,8.96,1.44933,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,4.6955,2.956,4.54052
7 CMa b,7 CMa,1,2,Radial Velocity,2011,2011-12-01T01:00:00Z,Ground,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,0,735.1,1.758,13.4,1.2,587.9855,1.85,1.34,Msin(i)/sin(i),0.06,,,0,K1 III,4826,4.87,1.34,0.21,[Fe/H],1.063,3.19,4.3,,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,19.8101,3.95,1.564,3.67853
7 CMa c,7 CMa,1,2,Radial Velocity,2019,2019-11-01T01:00:00Z,Ground,Multiple Observatories,Multiple Telescopes,0,996,2.153,13.9,1.24,276.5121,0.87,0.566,Msin(i)/sin(i),0.08,,,0,K1III(+M),4826,4.87,1.34,0.21,[Fe/H],1.063,3.19,4.3,,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,19.8101,3.95,1.564,3.67853
70 Vir b,70 Vir,1,1,Radial Velocity,1996,1996-06-01T00:00:00Z,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,0,116.688,0.481,12.6,1.13,2380.45,7.49,6.54,Mass,0.3988,,,0,G5V,5495,1.89,1.09,-0.09,[Fe/H],0.451,3.95,7.77,0.19024,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.9011,4.96808,3.5,4.76178
75 Cet b,75 Cet,2,1,Radial Velocity,2012,2012-12-01T01:00:00Z,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,0,691.9,2.1,13.1,1.17,953.49,3,2.33,Msini,0.117,,,0,G3 III,4846,10.5,2.49,0,[Fe/H],1.73,2.63,,,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613,5.3532,3.207,5.09343
8 UMi b,8 UMi,1,1,Radial Velocity,2015,2015-12-01T01:00:00Z,Ground,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,0,93.4,0.49,13.6,1.22,416.3573,1.31,0.91,Msini,0.06,,,0,K0,4847,10.3,1.44,-0.03,[Fe/H],1.725,2.57,1.7,,14h56m48.40s,224.201685,+74d54m03.38s,74.9009379,162.552,6.83295,4.515,6.55896
81 Cet b,81 Cet,1,1,Radial Velocity,2008,2008-12-01T01:00:00Z,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,0,952.7,2.5,12.8,1.14,1684.4,5.3,4.41,Msini,0.206,,,0,G5 III,4785,11,2.4,-0.06,[Fe/H],1.778,2.35,,,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,101.26,5.64307,3.266,5.37588
91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,2013-07-01T00:00:00Z,Ground,Lick Observatory,0.6 m Coude Auxiliary Telescope,0,181.4,0.7,13.1,1.17,1017,3.2,2.49,Msini,0.027,,,0,K0 III,4665,11,1.4,-0.03,[Fe/H],1.692,2.52,3.56,,23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076,44.0304,4.23946,1.597,3.95311
AB Pic b,AB Pic,1,1,Imaging,2005,2005-08-01T00:00:00Z,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,0,,260,12.3,1.1,4290.5,13.5,12.7,Mass,,,,0,K2 V,5285,1,0.9,0.04,[Fe/H],-0.226,4.53,0.03,1.12014,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,50.0475,9.13,6.981,8.8378
AU Mic b,AU Mic,1,1,Transit,2020,2020-06-01T00:00:00Z,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,0,8.46321,0.066,4.203,0.375,57.2094,0.18,4.4,Msini,0.1,,,0,M1VE,3700,0.75,0.5,,,-1.046,4.57,0.022,2.74466,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,8.81,4.529,7.84038
BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,2017-10-01T00:00:00Z,Ground,Multiple Observatories,Multiple Telescopes,0,481.9,1.3,12.7,1.13,2034.112,6.4,5.46,Msini,0.2,,,0,,4095,32.35,1.14,-0.71,[Fe/H],2.7,1.89,5.2,,11h50m15.53s,177.5647268,+02d45m36.39s,2.7601075,1070.63,9.577,6.021,8.9977
BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,2009-12-01T01:00:00Z,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0,268.94,0.78,13.8,1.23,330.5432,1.04,0.691,Msini,0.29,,,0,K2 V,4864,0.86,0.49,0.17,[Fe/H],-0.32,4.26,,1.73113,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,49.352,9.78,7.336,9.35108
BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,2016-04-01T00:00:00Z,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,0,153.22,0.576,13.8,1.23,337.21763,1.061,0.705,Msini,0.001,,,0,G5,4649,8.95,1.08,-0.22,[Fe/H],1.57,2.61,7.41,,11h45m55.69s,176.4820239,+14d36m58.75s,14.6163182,768.045,10.41,7.718,9.9918
BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,2013-06-01T00:00:00Z,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0,137.48,0.539,13.7,1.23,352.78,1.11,0.754,Msini,0.26,,,0,K0,4796,14.7,1.1,0.28,[Fe/H],2.01,2.8,7.1,,16h00m22.95s,240.09564,+15d32m48.30s,15.5467507,426.42,9.01,6.525,8.7178
BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,2009-12-01T01:00:00Z,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0,379.63,1.05,11.6,1.03,17668.1697,55.59,62.2,Msini,0.15,,,0,K2 II,4259,71.02,10.83,-0.79,[Fe/H],3.17,1.77,,,10h16m44.83s,154.186782,+19d53m28.55s,19.8912626,1539.71,9.743,6.42,9.22684
BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,2009-12-01T01:00:00Z,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0,621.99,2.01,12.4,1.1,3963.17,12.47,11.4,Msini,0.18,,,0,K2 II,4137,49,2.8,-1,[Fe/H],3.17,1.51,,,10h16m44.83s,154.186782,+19d53m28.55s,19.8912626,1539.71,9.743,6.42,9.22684
BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,2012-09-01T00:00:00Z,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0,578.2,1.3,13,1.16,1334.886,4.2,3.34,Msini,0.21,,,0,K5 III,4296,17.3,0.8,-0.46,[Fe/H],1.96,1.99,,,01h43m40.88s,25.9203179,+21d00m18.97s,21.0052692,1322.51,9.367,6.169,8.91613
BD+20 594 b,BD+20 594,1,1,Transit,2016,2016-10-01T00:00:00Z,Space,K2,0.95 m Kepler Telescope,0,41.6855,0.241,2.578,0.23,22.2481,0.07,7.89,Mass,0,,546,0,G,5766,1.08,1.67,-0.15,[Fe/H],-0.056,4.5,3.34,1.89,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.461,10.849,9.368,10.8644
BD+45 564 b,BD+45 564,1,1,Radial Velocity,2021,2021-05-01T00:00:00Z,Ground,Haute-Provence Observatory,1.93 m Telescope,0,307.88,0.83,13.6,1.21,432.24663,1.36,0.944,Msini,0.12,,,0,K1,5004,0.81,0.81,-0.09,[Fe/H],-0.399,4.22,,2.22951,02h11m47.29s,32.9470485,+45d55m27.19s,45.9242187,53.622,9.67,7.557,9.41266
BD+48 738 b,BD+48 738,1,1,Radial Velocity,2011,2012-01-01T01:00:00Z,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0,392.6,1,13.9,1.24,289.2253,0.91,0.592,Msini,0.2,,,0,K0 III,4414,11,0.74,-0.2,[Fe/H],1.69,2.24,,,02h42m50.47s,40.7102869,+49d35m12.98s,49.5869395,871.493,9.139,5.904,8.65569
BD+48 740 b,BD+48 740,1,1,Radial Velocity,2018,2018-05-01T00:00:00Z,Ground,Multiple Observatories,Multiple Telescopes,0,733,1.7,13.5,1.2,540.311,1.7,1.21,Msini,0.76,,,0,K3 III,4534,10.33,1.09,-0.13,[Fe/H],1.64,2.48,,,02h42m58.21s,40.7425426,+48d55m48.21s,48.9300579,666.589,8.69,5.645,8.26449
BD+49 828 b,BD+49 828,1,1,Radial Velocity,2015,2015-04-01T00:00:00Z,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0,2590,4.2,13.5,1.21,508.5,1.6,1.14,Msini,0.35,,,0,K0,4943,7.6,1.52,-0.19,[Fe/H],1.47,2.85,2.34,,03h02m33.75s,45.6406187,+49d43m47.81s,49.7299481,442.042,9.381,6.571,9.02851
BD+55 362 b,BD+55 362,1,1,Radial Velocity,2021,2021-05-01T00:00:00Z,Ground,Haute-Provence Observatory,1.93 m Telescope,0,265.59,0.78,14,1.25,228.83645,0.72,0.458,Msini,0.27,,,0,K3,5012,0.9,0.91,0.18,[Fe/H],-0.313,4.09,,1.66486,01h35m51.28s,23.9636676,+56d41m53.62s,56.6982282,52.5697,9.38,7.331,9.15305
BD+63 1405 b,BD+63 1405,1,1,Radial Velocity,2021,2021-05-01T00:00:00Z,Ground,Haute-Provence Observatory,1.93 m Telescope,0,1198.48,2.06,13,1.16,1258.60049,3.96,3.15,Msini,0.88,,,0,K0,5000,0.8,0.82,-0.09,[Fe/H],-0.413,4.2,,2.29955,18h05m35.50s,271.3979337,+63d40m12.02s,63.6700064,38.0473,8.96,6.78,8.705
BD-00 4475 b,BD-00 4475,1,1,Radial Velocity,2021,2021-05-01T00:00:00Z,Ground,Haute-Provence Observatory,1.93 m Telescope,0,723.2,1.48,12,1.07,7961.6016,25.05,25.3,Msini,0.39,,,0,G0,5040,0.84,0.81,-0.14,[Fe/H],-0.35,4.25,,2.0533,23h10m50.60s,347.7108441,+00d24m30.82s,0.4085612,42.6402,9.01,6.996,8.78101
BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,2013,2013-03-01T01:00:00Z,Ground,La Silla Observatory,3.6 m ESO Telescope,0,3.8728,0.0428,2.85,0.254,8.5,0.027,2.02,Msini,0,,,0,K7/M0 V,4324,0.69,0.7,-0.14,[Fe/H],-1.022,4.74,4.4,2.747,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695,9.7,6.305,9.10677
BD-06 1339 c,BD-06 1339,1,2,Radial Velocity,2013,2013-03-01T01:00:00Z,Ground,La Silla Observatory,3.6 m ESO Telescope,0,125.94,0.435,8.38,0.747,53,0.17,0.495,Msini,0.31,,,0,K7/M0 V,4324,0.69,0.7,-0.14,[Fe/H],-1.022,4.74,4.4,2.747,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695,9.7,6.305,9.10677
BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,2009,2010-03-01T01:00:00Z,Ground,La Silla Observatory,3.6 m ESO Telescope,0,5.6,0.06,3.61,0.322,12.7132,0.04,1.48,Msini,0.15,,,0,K3 V,4816,0.71,0.5,-0.06,[Fe/H],-0.626,4.43,4.5,3.31801,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342,9.86,7.323,9.50331
BD-08 2823 c,BD-08 2823,1,2,Radial Velocity,2009,2010-03-01T01:00:00Z,Ground,La Silla Observatory,3.6 m ESO Telescope,0,237.6,0.68,12.5,1.11,104,0.33,0.293,Msini,0.19,,,0,K3 V,4746,0.72,0.74,-0.07,[Fe/H],-0.626,4.13,4.5,3.31801,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342,9.86,7.323,9.50331
BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,2000-12-01T01:00:00Z,Ground,W. M. Keck Observatory,10 m Keck I Telescope,0,3.48777,0.04,14.1,1.26,187.5197,0.59,0.368,Msini,0.02,,,0,K0 V,5393,0.91,1.47,0.38,[Fe/H],-0.191,4.69,1,1.53276,10h58m28.59s,164.6191243,-10d46m13.52s,-10.7704227,84.4069,10.013,8.124,9.83981
BD-11 4672 b,BD-11 4672,1,2,Radial Velocity,2014,2015-04-01T00:00:00Z,Ground,La Silla Observatory,3.6 m ESO Telescope,0,1634,2.36,14.1,1.25,206.5895,0.65,0.405,Msini,0.05,,,0,K7 V,4550,0.64,0.65,-0.35,[Fe/H],-0.804,4.64,7.4,3.53,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665,10.03,6.867,9.48511
BD-11 4672 c,BD-11 4672,1,2,Radial Velocity,2020,2020-06-01T00:00:00Z,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,0,74.2,0.3,4.04,0.36,15.37,0.04836,1.28,Msini,0.4,,,0,K7V,4550,0.64,0.65,-0.35,[Fe/H],-0.804,4.64,7.4,3.53,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665,10.03,6.867,9.48511
BD-13 2130 b,BD-13 2130,1,1,Radial Velocity,2007,2007-09-01T00:00:00Z,Ground,La Silla Observatory,1.2 m Leonhard Euler Telescope,0,714.29999,1.66,12.5,1.11,3108.3774,9.78,8.75,Msini,0.21,,,0,G5 IV/V,4545,19.17,2.12,-0.08,[Fe/H],2.043,2.2,0.74,,07h37m09.23s,114.2884692,-13d54m24.01s,-13.9066703,925.214,10.038,7.151,9.69971
