pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_eqt,cluster
3.080172,0.04881,17.094,416.3573,0.46,2087,cluster6
2.871752,0.0455,17.598,375.0394,0.377,2085,cluster6
3.474108,0.0542,19.515,1074.90106,0.806,2262,cluster1
3.612765,0.05224,17.777,1242.7153,1.24,2051,cluster1
2.255251,0.03302,14.83,298.12454,0.503,1561,cluster8
5.551493,0.06969,14.258,1646.3594,3.13,1459,cluster2
2.989593,0.04317,19.044,286.68266,0.228,1823,cluster6
86.647661,0.382,10.54,460.83,2.1,511,cluster3
1.763588,0.03641,16.948,2949.4624,3.6,2550,cluster2
141.241671,0.534,11.097,613.4119,2.46,347,cluster3
3.743208,0.05119,1.71,10.5,10.1,1486,cluster5
10.423648,0.1013,4.32,15.6,0.91,1012,cluster7
22.342989,0.1684,11.27,106,0.363,806,cluster4
54.32031,0.3046,6.56,35,0.6,584,cluster3
1.706291,0.0269,11.545,346.4347,1.31,1459,cluster8
0.837491,0.0172,1.481,4.60853,8,2130,cluster5
3.487681,0.0474,5.77,51.1,1.45,1513,cluster1
6.02976,0.0684,1.25,3.78,10.5,1413,cluster5
3.180022,0.04544,1.536,3.51,5.3,1593,cluster5
4.901452,0.06064,1.597,9.39,12.65,1379,cluster5
14.749143,0.12639,2.903,8.6,2,955,cluster7
18.795923,0.1445,8.059,29.875,0.3,984,cluster4
50.790391,0.2804,12.341,584.78,1.74,704,cluster3
4.437963,0.0553,19.661,137.30256,0.11,1480,cluster6
217.83184,0.753,12.42,1678.1424,4.82,388,cluster3
31.578659,0.197,5.02,48.6,2.13,651,cluster3
175.06,0.633,3.87,17,1.6,243,cluster3
1.485711,0.02591,14.68,778.65,1.35,1570,cluster8
3.696115,0.0463,1.868,9.7,8.2,1105,cluster5
10.854091,0.0949,3.047,12.75,2.5,772,cluster7
77.6113,0.3506,2.744,10.07,2.7,401,cluster3
2.78578,0.042717,1.639,5.08,6.4,2025,cluster5
289.8623,0.849,2.38,36,14.7,262,cluster3
3.21346,0.0456,4.002,24.472,1.91,1650,cluster1
6.87349,0.08,13.11,699.2,1.68,1620,cluster2
1.855558,0.03101,14.46,177.98,0.33,1790,cluster8
3.005156,0.0375,2.401,25.6,10.3,1138,cluster7
7.834435,0.0739,4.421,26.4,1.7,838,cluster7
58.02035,0.279,3.319,15.2,2.3,410,cluster3
1.72086,0.02897,15.031,299.07803,0.52,1850,cluster8
2.684328,0.03585,13.361,189.101,0.459,1605,cluster6
3.797018,0.0464,10.962,79.45,0.27,1070,cluster6
3.217519,0.0414,12.22,108.06,0.26,1300,cluster6
10.290994,0.091,13.79,92.17,0.16,1100,cluster4
3.525633,0.0433,12.11,403.63,1.02,1070,cluster1
3.024095,0.046,13.664,1026.5909,5,1620,cluster2
5.334084,0.0679,16.25,896.24,1.13,1776,cluster2
12.87471,0.1143,12.67,908.96,2.4,1000,cluster2
3.246729,0.0446,12.22,317.82,0.93,1544,cluster1
2.455239,0.03,10.76,160.497,0.8,1000,cluster8
33.60134,0.1968,9.057,1907,14,543,cluster3
3.548466,0.0538,15.984,670.93913,0.4,1750,cluster1
45.154,0.2514,7.1,2.1,0.03,543,cluster3
85.312,0.384,9,4,0.03,439,cluster3
130.194,0.509,9.7,7.6,0.046,381,cluster3
81.73778,0.4669,2.215,10.6,5.4,380,cluster3
125.63243,0.4988,8.373,308.2951,2.9,388,cluster3
3.2347,0.04852,14.617,212.31044,0.4,1460,cluster6
4.885489,0.06067,18.181,140.16303,0.14,1630,cluster6
7.340711,0.0781,10.76,200.22,0.88,1078,cluster4
8.884912,0.0818,11.77,3209.9,11,767,cluster2
1.54493,0.0274,15.244,638.8383,1.1,2140,cluster8
3.578781,0.04501,10.761,136.661,0.603,1440,cluster6
3.522499,0.0474,15.872,187.5197,0.27,1680,cluster6
114.73635,0.481,13.49,324.2,0.729,478,cluster3
191.2318,0.676,6.14,6.4,0.152,403,cluster3
6.24658,0.0731,15.323,257.4423,0.4,2040,cluster6
1.4015,0.02091,1.39,4.6,9.6,965,cluster5
2.2531,0.02282,0.8,1.01,12.7,610,cluster5
3.6904,0.0317,1.35,2.42,5.4,517,cluster5
7.4512,0.0506,1.57,2.31,3.3,409,cluster5
24.73694,0.0957,1.635,6.38,8.04,379,cluster7
3.77792,0.02734,1.169,1.76,6.07,709,cluster5
1.949538,0.01848,1.242,2.33,6.67,595,cluster5
4.052037,0.0417,4.7,30.8,1.7,700,cluster1
5.35882,0.03807,1.38,2.2,4.4,433,cluster5
