pl_name,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_dist,sy_disterr1,sy_disterr2
1RXS J160929.1-210524 b,,,,,330.000000,,,0,,,,,,,,,3000.00000,1000.00000,-700.00000,0,8.00000,3.00000,-2.00000,0,Mass,,,,,,,,,1800,200,-200,0,,3993.00,142.70,-159.97,0,1.31,0.18,-0.10,0,0.62,0.06,-0.11,0,,,,,,4.00,0.14,-0.10,0,139.1350000,1.3320000,-1.3070000
1RXS J160929.1-210524 b,,,,,330.000000,,,0,,,,,,,,,4000.00000,300.00000,-300.00000,0,12.00000,1.00000,-1.00000,0,Mass,,,,,,,,,1700,100,-100,0,,4060.00,300.00,-200.00,0,,,,,0.85,0.20,-0.10,0,,,,,,,,,,139.1350000,1.3320000,-1.3070000
1RXS J160929.1-210524 b,,,,,330.000000,,,0,,,,,,,,,3000.00000,300.00000,-300.00000,0,8.00000,1.00000,-1.00000,0,Mass,,,,,,,,,1700,100,-100,0,K7 V,4060.00,300.00,-200.00,0,,,,,0.85,0.20,-0.10,0,,,,,,,,,,139.1350000,1.3320000,-1.3070000
1RXS J160929.1-210524 b,,,,,330.000000,,,0,18.647,,,0,1.664,,,0,2543.00000,1271.00000,-636.00000,0,8.00000,4.00000,-2.00000,0,Mass,,,,,,,,,1800,200,-100,0,K7 V,4060.00,300.00,-200.00,0,1.35,,,0,0.85,0.20,-0.10,0,,,,,,,,,,139.1350000,1.3320000,-1.3070000
24 Boo b,30.35060000,0.00780000,-0.00770000,0,0.190000,0.012000,-0.009000,0,,,,,,,,,289.22530,41.31790,-31.78300,0,0.91000,0.13000,-0.10000,0,Msini,0.042000,0.048000,-0.029000,0,,,,,,,,,G3 IV,4893.00,15.00,-15.00,0,10.64,0.84,-0.59,0,0.99,0.19,-0.13,0,-0.770,0.030,-0.030,0,[Fe/H],2.42,0.10,-0.10,0,95.9863000,0.6368500,-0.6368500
24 Sex b,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,,,,,,,,,632.46000,82.63000,-120.77000,0,1.99000,0.26000,-0.38000,0,Msini,0.090000,0.140000,-0.060000,0,,,,,,,,,,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,-0.030,0.040,-0.040,0,[Fe/H],3.50,0.10,-0.10,0,72.0691000,0.6854000,-0.6728000
24 Sex c,883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,,,,,,,,,273.32000,111.24000,-69.92000,0,0.86000,0.35000,-0.22000,0,Msini,0.290000,0.160000,-0.090000,0,,,,,,,,,,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,-0.030,0.040,-0.040,0,[Fe/H],3.50,0.10,-0.10,0,72.0691000,0.6854000,-0.6728000
2MASS J01033563-5515561 AB b,,,,,84.000000,,,0,,,,,,,,,4131.79000,317.83000,-317.83000,0,13.00000,1.00000,-1.00000,0,Mass,,,,,,,,,,,,,M5.5/M6,,,,,,,,,0.19,0.02,-0.02,0,,,,,,,,,,,,
2MASS J01225093-2439505 b,,,,,52.000000,6.000000,-6.000000,0,,,,,,,,,7786.50000,794.50000,-794.50000,0,24.50000,2.50000,-2.50000,0,Mass,,,,,,,,,,,,,M3.5 V,3530.00,50.00,-50.00,0,,,,,0.40,0.05,-0.05,0,,,,,,,,,,33.8281000,0.0864000,-0.0860000
2MASS J01225093-2439505 b,,,,,,,,,11.209,,,0,1.000,,,0,,,,,,,,,,,,,,,,,,1600,100,-100,0,,3309.00,157.00,-157.00,0,0.37,0.01,-0.01,0,0.35,0.02,-0.02,0,,,,,,4.86,0.00,0.00,0,33.8281000,0.0864000,-0.0860000
2MASS J02192210-3925225 b,,,,,156.000000,10.000000,-10.000000,0,16.141,0.336,-0.336,0,1.440,0.030,-0.030,0,4417.83700,349.61300,-349.61300,0,13.90000,1.10000,-1.10000,0,Mass,,,,,,,,,,,,,M6,3064.00,76.00,-76.00,0,0.28,0.01,-0.01,0,0.11,0.01,-0.01,0,,,,,,4.59,0.06,-0.06,0,,,
2MASS J04414489+2301513 b,,,,,15.000000,,,0,,,,,,,,,2383.60000,794.50000,-794.50000,0,7.50000,2.50000,-2.50000,0,Mass,,,,,,,,,,,,,M8.5,,,,,,,,,0.02,,,0,,,,,,,,,,,,
2MASS J12073346-3932539 b,,,,,55.000000,,,0,,,,,,,,,1589.15000,635.66000,-635.66000,0,5.00000,2.00000,-2.00000,0,Mass,,,,,,,,,1250,200,-200,0,M8,,,,,,,,,0.02,,,0,,,,,,,,,,64.3080000,0.6569000,-0.6440000
2MASS J12073346-3932539 b,,,,,46.000000,5.000000,-5.000000,0,,,,,,,,,1271.00000,318.00000,-318.00000,0,4.00000,1.00000,-1.00000,0,Mass,,,,,,,,,1150,150,-150,0,,2825.00,157.00,-157.00,0,0.22,0.01,-0.01,0,0.19,0.02,-0.02,0,,,,,,5.03,0.02,-0.02,0,64.3080000,0.6569000,-0.6440000
2MASS J19383260+4603591 b,416.00000000,2.00000000,-2.00000000,0,0.920000,0.020000,-0.020000,0,,,,,,,,,603.87700,31.78300,-31.78300,0,1.90000,0.10000,-0.10000,0,Mass,,,,,,,,,,,,,,,,,,,,,,0.48,0.03,-0.03,0,,,,,,,,,,396.3320000,6.3885000,-6.3885000
2MASS J21402931+1625183 A b,7336.50000000,1934.50000000,-584.00000000,0,,,,,10.310,4.370,-4.040,0,0.920,0.390,-0.360,0,6657.48000,26629.91000,-6657.48000,0,20.95000,83.79000,-20.95000,0,Mass,0.260000,0.060000,-0.060000,0,,,,,2075,70,-70,0,M8.5,2300.00,80.00,-80.00,0,0.12,0.05,-0.04,0,0.08,0.06,-0.06,0,,,,,,,,,,,,
2MASS J22362452+4751425 b,,,,,230.000000,20.000000,-20.000000,0,,,,,,,,,3972.87500,476.74500,-476.74500,0,12.50000,1.50000,-1.50000,0,Mass,,,,,,,,,,,,,K7 V,4045.00,35.00,-35.00,0,,,,,0.60,0.05,-0.05,0,,,,,,,,,,69.5737000,0.1592000,-0.1585000
30 Ari B b,345.40000000,3.80000000,-3.80000000,0,1.010000,0.010000,-0.010000,0,,,,,,,,,2097.67800,286.04700,-286.04700,0,6.60000,0.90000,-0.90000,0,Msini,0.180000,0.110000,-0.110000,0,,,,,,,,,,,,,,1.13,0.03,-0.03,0,1.16,0.04,-0.04,0,,,,,,,,,,44.6570000,0.1039000,-0.1034000
30 Ari B b,335.10000000,2.50000000,-2.50000000,0,0.995000,0.012000,-0.012000,0,,,,,,,,,3140.03000,298.75000,-298.75000,0,9.88000,0.94000,-0.94000,0,Msini,0.289000,0.092000,-0.092000,0,,,,,,,,,F6 V,6300.00,60.00,-60.00,0,1.13,0.03,-0.03,0,1.16,0.04,-0.04,0,0.245,0.195,-0.195,0,[Fe/H],4.50,,,0,44.6570000,0.1039000,-0.1034000
30 Ari B b,335.10001000,2.50000000,-2.50000000,0,0.990000,0.020000,-0.020000,0,,,,,,,,,4392.41060,572.09400,-572.09400,0,13.82000,1.80000,-1.80000,0,Msini,0.290000,0.090000,-0.090000,0,,,,,,,,,,6331.00,61.00,-61.00,0,1.41,0.05,-0.05,0,1.93,0.27,-0.27,0,0.190,,,0,[Fe/H],4.43,0.05,-0.05,0,44.6570000,0.1039000,-0.1034000
4 UMa b,269.30000000,1.96000000,-1.96000000,0,0.870000,0.040000,-0.040000,0,,,,,,,,,2256.50000,508.50000,-508.50000,0,7.10000,1.60000,-1.60000,0,Msini,0.432000,0.024000,-0.024000,0,,,,,,,,,K1 III,4415.00,70.00,-70.00,0,18.11,1.47,-1.47,0,1.23,0.15,-0.15,0,-0.250,0.040,-0.040,0,[Fe/H],1.80,0.15,-0.15,0,73.4603000,1.1860500,-1.1860500
42 Dra b,479.10000000,6.20000000,-6.20000000,0,1.190000,0.010000,-0.010000,0,,,,,,,,,1233.13000,270.14000,-270.14000,0,3.88000,0.85000,-0.85000,0,Msini,0.380000,0.060000,-0.060000,0,,,,,,,,,K1.5 III,4200.00,70.00,-70.00,0,22.03,1.00,-1.00,0,0.98,0.05,-0.05,0,-0.460,0.050,-0.050,0,[Fe/H],1.71,0.05,-0.05,0,90.6545000,1.3227000,-1.3227000
47 UMa b,1076.60000000,2.30000000,-2.30000000,0,2.100000,0.022000,-0.022000,0,,,,,,,,,778.68350,31.78300,-31.78300,0,2.45000,0.10000,-0.10000,0,Msini,0.012000,0.023000,-0.023000,0,,,,,,,,,G0 V,5882.00,44.00,-44.00,0,,,,,1.06,0.03,-0.03,0,0.040,0.030,-0.030,0,[Fe/H],,,,,13.7967000,0.0289000,-0.0289000
47 UMa b,1083.20000000,1.80000000,-1.80000000,0,2.110000,0.040000,-0.040000,0,,,,,,,,,826.32000,41.32000,-41.32000,0,2.60000,0.13000,-0.13000,0,Msini,0.049000,0.014000,-0.014000,0,,,,,,,,,G1 V,,,,,,,,,,,,,,,,,,,,,,13.7967000,0.0289000,-0.0289000
47 UMa b,1078.00000000,2.00000000,-2.00000000,0,2.100000,0.020000,-0.020000,0,,,,,,,,,804.08000,22.25000,-19.07000,0,2.53000,0.07000,-0.06000,0,Msini,0.032000,0.014000,-0.014000,0,,,,,,,,,,5872.00,92.94,-113.53,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,0.040,0.100,-0.100,0,[M/H],4.30,0.07,-0.07,0,13.7967000,0.0289000,-0.0289000
47 UMa b,1100.80000000,7.20000000,-7.20000000,0,2.110000,,,0,,,,,,,,,877.17000,31.78000,-31.78000,0,2.76000,0.10000,-0.10000,0,Msini,0.097000,0.039000,-0.039000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7967000,0.0289000,-0.0289000
47 UMa c,7586.00000000,727.00000000,-727.00000000,0,7.730000,0.580000,-0.580000,0,,,,,,,,,425.87000,69.92000,-69.92000,0,1.34000,0.22000,-0.22000,0,Msini,0.005000,,,0,,,,,,,,,G1 V,,,,,,,,,,,,,,,,,,,,,,13.7967000,0.0289000,-0.0289000
47 UMa c,2391.00000000,100.00000000,-87.00000000,0,3.600000,0.100000,-0.100000,0,,,,,,,,,171.62100,20.97600,-23.20100,0,0.54000,0.06600,-0.07300,0,Msini,0.098000,0.047000,-0.096000,0,,,,,,,,,,5872.00,92.94,-113.53,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,0.040,0.100,-0.100,0,[M/H],4.30,0.07,-0.07,0,13.7967000,0.0289000,-0.0289000
47 UMa d,14002.00000000,4018.00000000,-5095.00000000,0,11.600000,2.100000,-2.900000,0,,,,,,,,,521.22000,92.17000,-152.55000,0,1.64000,0.29000,-0.48000,0,Msini,0.160000,0.090000,-0.160000,0,,,,,,,,,,5872.00,92.94,-113.53,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,0.040,0.100,-0.100,0,[M/H],4.30,0.07,-0.07,0,13.7967000,0.0289000,-0.0289000

