hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_bmag,sy_vmag,sy_gaiamag,lum_class
Kepler-716,K,5099,0.78,0.83,0,-0.504,4.58,4.57,2.2726,16.332,15.314,15.1555,V
Kepler-185,K,5208,0.81,0.81,0.16,-0.504,4.54,11.9,2.85831,15.615,14.562,14.4426,V
Kepler-707,G,5099,0.76,0.8,-0.12,-0.501,4.58,4.9,3.2332,15.834,15.022,14.9969,V
K2-77,K,4970,0.76,0.8,0.29,-0.5,4.47,0.85,2.5,13.229,12.224,11.9202,V
Kepler-711,G,5222,0.8,0.84,-0.04,-0.499,4.56,4.37,0.16337,17.26,15.635,15.3293,V
Kepler-1145,G,5064,0.75,0.79,-0.13,-0.498,4.59,4.79,5.25201,16.416,15.471,15.4499,V
EPIC 212499991,G,4982.79,0.76,0.91,,-0.497,4.61,,2.81669,14.451,13.672,13.3118,V
Kepler-169,G,4997,0.76,0.84,0.05,-0.496,4.58,13.8,2.62345,15.451,14.424,14.1617,V
Kepler-1702,G,5093,0.73,0.85,-0.24,-0.496,4.65,,3.135,16.753,16.231,15.7743,V
Kepler-345,K,4504,0.62,0.61,0.191,-0.495,4.68,2.75,7.23834,14.895,14.344,14.0341,V
Kepler-749,G,5009,0.75,0.79,-0.11,-0.494,4.59,4.57,3.54617,17.406,16.153,15.7728,V
Kepler-1470,K,4961,0.76,0.8,-0.01,-0.486,4.59,4.57,1.9121,16.491,15.252,15.0436,V
Kepler-1356,K,5106,0.78,0.82,-0.02,-0.486,4.58,4.9,6.80724,17.386,15.887,15.7195,V
K2-203,K,5000,0.76,0.79,-0.07,-0.485,4.43,,2.65477,13.262,12.391,12.1219,V
Kepler-712,K,5148,0.78,0.84,-0.03,-0.484,4.58,3.31,2.85327,16.635,16.161,15.8543,V
Kepler-1610,G,5383,0.87,0.91,0.1,-0.483,4.52,4.68,2.711,17.016,16.077,15.8137,V
K2-47,K,5054,0.76,0.75,-0.224,-0.482,4.54,,2.04062,14.98,14.065,13.7404,V
Kepler-709,K,5071,0.77,0.8,-0.08,-0.481,4.58,4.9,3.27029,16.516,15.261,15.1971,V
Kepler-1558,K,5101,0.79,0.83,0,-0.48,4.57,4.9,3.74289,14.806,13.809,13.5998,V
Kepler-934,K,5001,0.77,0.81,0.01,-0.478,4.59,4.47,9.15588,16.427,15.238,15.0341,V
Kepler-237,K,4861,0.72,0.7,0.03,-0.477,4.58,13.8,2.42359,16.649,15.689,15.2832,V
Kepler-977,G,5315,0.83,0.87,-0.01,-0.476,4.55,4.57,2.04472,15.935,14.754,14.8235,V
Kepler-239,K,4914,0.76,0.76,0.09,-0.475,4.58,3.31,4.37951,16.487,15.252,15.2333,V
Kepler-121,G,5311,0.7,0.86,-0.08,-0.474,4.65,0.5,9.36513,15.913,14.904,14.677,V
Kepler-1083,K,5049,0.77,0.81,-0.02,-0.473,4.58,4.68,0.45058,17.121,16.103,15.8498,V
Kepler-165,K,5211,0.77,0.79,0.12,-0.472,4.54,10.5,0.42495,15.7,15.05,14.7945,V
Kepler-1643,G,5508,0.88,0.92,-0.01,-0.472,4.52,3.89,3.35637,14.95,14.072,13.8271,V
K2-268,K,5068,0.78,0.84,0.03,-0.471,4.59,,2.2994,14.775,13.848,13.5627,V
Kepler-261,K,5098,0.79,0.88,0.162,-0.471,4.56,3.98,4.50712,15.053,13.738,13.5287,V
Kepler-306,K,4954,0.72,0.81,-0.08,-0.469,4.61,2.63,3.07953,16.942,15.575,15.5524,V
Kepler-957,K,4963,0.75,0.81,-0.01,-0.468,4.6,2.75,42.355,17.023,15.833,15.6906,V
Kepler-124,K,4984,0.64,0.84,-0.46,-0.467,4.67,1.82,2.23727,15.522,14.4,14.124,V
Kepler-1291,K,5216,0.8,0.84,-0.04,-0.467,4.56,4.9,1.45628,16.511,16.261,15.8826,V
Kepler-1302,K,5236,0.82,0.86,0.04,-0.467,4.55,4.68,13.16198,16.045,15.172,15.0387,V
Kepler-768,K,5108,0.78,0.82,-0.03,-0.466,4.58,4.57,8.33869,17.175,15.969,15.7232,V
Kepler-152,K,5088,0.72,0.83,-0.16,-0.465,4.61,2,1.53369,15.111,14.379,14.2437,V
K2-256,K,5219,0.78,0.84,-0.1,-0.465,4.58,,3.60257,15.701,14.954,14.6992,V
Kepler-1414,K,4951,0.75,0.8,-0.02,-0.464,4.59,4.68,11.12801,15.484,14.989,14.8607,V
Kepler-475,K,5009,0.79,0.86,0.21,-0.464,4.58,2.69,1.81195,15.235,13.512,13.3163,V
Kepler-1499,K,5097,0.78,0.82,-0.01,-0.464,4.58,4.68,2.23047,14.796,13.676,13.5155,V
WASP-53,K,4953,0.8,0.84,0.22,-0.463,4.55,,2.323,13.533,12.591,12.3473,V
Kepler-532,K,5192,0.79,0.87,0,-0.458,4.58,2,2.50395,14.732,13.74,13.5036,V
Kepler-1222,K,5239,0.8,0.84,-0.04,-0.458,4.56,4.37,5.10616,15.239,14.21,14.0908,V
Kepler-681,K,5021,0.76,0.8,-0.04,-0.457,4.58,5.01,5.76639,16.647,15.584,15.2271,V
Kepler-755,K,5043,0.77,0.82,-0.01,-0.457,4.58,4.9,2.78725,15.278,14.277,14.0242,V
Kepler-250,K,5160,0.81,0.83,0.02,-0.457,4.57,13.2,2.20456,16.716,15.819,15.4144,V
Kepler-263,K,5265,0.79,0.8,-0.031,-0.456,4.58,7.9,1.90961,15.874,15.435,15.4167,V
Kepler-1234,K,4967,0.76,0.8,0.01,-0.454,4.59,4.37,3.80666,17.332,15.915,15.878,V
Kepler-1665,K,5049.84,0.78,0.84,-0.013,-0.45,4.58,13.9,2.52288,14.779,13.737,13.5913,V
Kepler-1480,K,5156,0.81,0.85,0.07,-0.449,4.56,4.79,3.56233,15.528,14.703,14.4824,V
Kepler-1037,K,5105,0.78,0.82,-0.03,-0.448,4.57,5.13,7.38471,14.573,14.475,14.2311,V
Kepler-189,K,5235,0.75,0.79,-0.02,-0.448,4.62,0.7,2.31395,16.113,14.971,14.8213,V
K2-131,K,5245,0.75,0.84,-0.17,-0.448,4.61,,2.71,13.054,12.129,11.8999,V
Kepler-161,K,5078,0.81,0.86,0.07,-0.447,4.55,4.68,6.71333,15.645,14.406,14.1922,V
Kepler-141,K,4910,0.79,1,0.264,-0.446,4.57,12.39,1.81992,14.663,13.624,13.4205,V
Kepler-1195,K,4965,0.71,0.74,-0.25,-0.446,4.61,4.47,6.93388,17.109,16.003,15.9123,V
Kepler-153,G,5404,0.89,0.83,-0.12,-0.446,4.45,13.8,5.61288,15.608,14.388,14.2493,V
Kepler-563,K,5066,0.77,0.8,-0.08,-0.444,4.58,5.37,7.39065,16.017,14.901,14.7389,V
Kepler-1179,K,5212,0.81,0.84,-0.03,-0.444,4.56,4.9,21.6335,15.418,14.214,14.0675,V
TOI-216,K,5026,0.84,0.87,0.32,-0.442,4.66,,2.38,13.36,12.324,12.1631,V
Kepler-330,K,5117,0.72,0.79,0.16,-0.442,4.64,0.7,2.75123,16.592,15.569,15.2634,V
Kepler-949,G,5403,0.86,0.89,0.01,-0.442,4.53,4.57,4.35145,15.72,14.718,14.5084,V
Kepler-190,K,5106,0.8,0.86,0.02,-0.441,4.56,3.72,2.77228,15.423,14.336,14.1175,V
K2-241,K,5262,0.75,0.71,-0.44,-0.441,4.54,,3.10999,12.413,11.97,11.7562,V
Kepler-156,K,5094,0.81,0.84,0.254,-0.44,4.55,5.37,1.63761,16.133,14.339,14.1564,V
Kepler-388,K,4498,0.59,0.64,0,-0.439,4.69,13.9,3.16904,16.645,15.218,15.0015,V
Kepler-1034,K,5198,0.8,0.83,-0.06,-0.439,4.57,4.79,3.01011,16.655,15.269,15.074,V
K2-180,G,5358,0.72,0.72,-0.54,-0.439,4.58,,3.375,13.334,12.557,12.4039,V
Qatar-1,K,5013,0.8,0.84,0.171,-0.438,4.55,1.19,2.286,13.384,12.692,12.4764,V
Kepler-776,K,5071,0.78,0.83,0.05,-0.437,4.58,4.37,7.27284,16.769,15.562,15.42,V
Kepler-1361,K,5131,0.79,0.83,0,-0.437,4.57,4.9,1.65693,15.335,14.096,13.9169,V
Kepler-1566,K,5254,0.81,0.84,-0.07,-0.437,4.56,5.01,2.85988,15.454,14.564,14.3122,V
Kepler-1020,K,5227,0.8,0.87,0,-0.436,4.57,3.63,3.54726,15.12,14.211,13.9833,V
K2-206,K,5043,0.76,0.79,-0.14,-0.435,4.46,,2.3935,13.957,13.084,12.8274,V
Kepler-1173,K,5252,0.82,0.86,0,-0.435,4.55,4.79,3.22018,14.94,13.896,13.8043,V
Kepler-572,K,5212,0.79,0.83,-0.1,-0.434,4.57,4.68,3.33442,15.396,14.679,14.4853,V
Kepler-1585,G,5538,0.91,0.94,0.08,-0.434,4.5,4.37,8.05131,16.721,16.326,15.9772,V
Kepler-747,K,5096,0.78,0.82,-0.03,-0.432,4.58,4.79,0.59966,15.465,15.595,15.7244,V
Kepler-352,K,5212,0.78,0.83,-0.07,-0.432,4.57,3.47,3.24608,14.167,13.142,12.9561,V
K2-80,G,5441,0.87,0.9,0.07,-0.432,4.52,,1.90744,13.607,12.694,12.377,V
Kepler-413,K,4700,0.78,0.82,-0.2,-0.43,4.57,,1.755,16.816,15.885,15.5943,V
K2-200,K,5233,0.79,0.86,-0.04,-0.429,4.71,,2.23187,13.38,12.428,12.2315,V
K2-70,G,5622,0.93,0.94,0.06,-0.429,4.48,,2.39642,13.926,13.074,12.7782,V
Kepler-601,K,5160,0.79,0.85,-0.02,-0.428,4.57,4.07,0.73018,15.17,14.151,14.0013,V
Kepler-693,K,4881,0.72,0.76,-0.1,-0.427,4.61,4.47,2.43887,17.743,16.7286,16.414,V
Kepler-861,K,5047,0.78,0.82,0.01,-0.427,4.58,4.47,7.44905,16.956,15.993,15.5958,V
Kepler-989,K,5074,0.78,0.82,0.01,-0.427,4.58,4.68,18.99927,16.327,14.717,14.4083,V
Kepler-1539,K,5176,0.8,0.84,-0.01,-0.426,4.57,4.79,3.0216,16.667,15.487,15.3085,V
Kepler-790,K,5208,0.8,0.84,-0.05,-0.424,4.56,4.9,9.48847,16.279,15.534,15.1947,V
Kepler-1537,K,5079,0.77,0.81,-0.08,-0.423,4.58,5.01,9.67479,15.846,14.827,14.5457,V
Kepler-305,K,5117,0.8,0.76,0.03,-0.423,4.51,4.37,0.68028,17.51,15.851,15.7661,V
K2-84,G,5652,0.93,0.95,0.278,-0.423,4.48,,2.29121,14.406,13.386,13.1474,V
Kepler-247,K,5100,0.77,0.84,0.05,-0.422,4.61,0.8,3.12818,16.238,15.199,15.0473,V
Kepler-1409,K,5160,0.79,0.83,-0.03,-0.422,4.57,4.79,3.436,16.322,15.391,15.172,V
Kepler-1214,K,5130,0.8,0.85,0.05,-0.419,4.57,4.68,12.56224,16.269,15.459,15.2226,V
Kepler-995,K,5206,0.8,0.83,-0.07,-0.419,4.57,5.01,2.6853,16.445,15.173,14.8814,V
Kepler-248,K,5190,0.83,0.9,0.2,-0.418,4.57,2.34,1.6353,16.198,15.506,15.2331,V
Kepler-1205,K,5226,0.81,0.84,-0.04,-0.418,4.56,4.9,4.9894,16.253,15.316,15.1303,V
Kepler-614,G,5268,0.81,0.85,-0.07,-0.418,4.55,4.79,2.1702,15.745,14.81,14.5441,V
Kepler-399,G,5502,0.68,0.9,0.14,-0.418,4.62,3.98,2.53138,15.56,14.686,14.5277,V
Kepler-1107,G,5268,0.82,0.86,0.01,-0.417,4.55,4.47,4.56279,15.421,14.315,14.1282,V
Kepler-496,K,5293,0.82,0.86,-0.03,-0.416,4.55,4.57,2.23847,16.002,15.106,14.796,V
Kepler-1317,K,5144,0.79,0.83,-0.01,-0.414,4.57,4.79,2.92839,15.909,15.083,15.2339,V
Kepler-1263,K,5213,0.8,0.84,-0.03,-0.414,4.56,4.9,2.45318,16.071,15.173,15.0007,V
Kepler-191,G,5282,0.79,0.81,0.13,-0.414,4.59,0.9,3.25127,15.884,14.987,14.7758,V
Kepler-582,G,5564,0.91,0.93,0.01,-0.414,4.49,4.47,3.67643,16.225,15.097,14.9129,V
Kepler-778,K,5102,0.77,0.81,-0.09,-0.413,4.58,5.25,2.7269,17.157,15.959,15.7514,V
Kepler-211,K,5123,0.82,0.9,0.151,-0.413,4.55,1.55,2.96587,14.335,13.448,13.2732,V
Kepler-1358,K,5181,0.79,0.82,-0.08,-0.413,4.57,5.13,3.96348,15.557,14.693,14.5403,V
Kepler-246,K,5206,0.83,0.79,0.16,-0.413,4.56,12.6,2.16232,16.441,15.197,15.0422,V
Kepler-1010,K,5253,0.82,0.86,-0.01,-0.412,4.55,4.79,1.17744,15.971,14.964,14.6875,V
Kepler-417,K,5177,0.81,0.9,-0.204,-0.411,4.57,4.9,3.77691,14.959,15.864,15.8658,V
Kepler-1245,G,5306,0.83,0.86,-0.01,-0.411,4.55,4.57,3.05943,16.45,15.582,15.3721,V
Kepler-1048,K,4651,0.7,0.75,0.01,-0.409,4.62,3.98,0.81232,16.617,15.138,14.8444,V
Kepler-567,K,5148,0.79,0.84,0,-0.409,4.57,4.68,2.41679,15.3,14.827,14.6694,V
Kepler-479,K,5247,0.81,0.86,-0.02,-0.409,4.56,4.27,10.01435,15.151,13.724,13.544,V
Kepler-955,G,5350,0.84,0.89,0.02,-0.409,4.54,4.37,4.1224,15.878,14.734,14.6273,V
K2-276,K,5139,0.85,0.82,0.07,-0.405,4.49,,0.505,15.639,14.654,14.3792,V
Kepler-1642,G,5355,0.84,0.88,-0.01,-0.405,4.54,4.47,6.63612,15.325,14.319,14.1012,V
K2-250,K,5172,0.81,0.8,-0.09,-0.404,4.53,,1.89682,15.196,14.314,13.9725,V
Kepler-1097,K,5211,0.79,0.82,-0.11,-0.404,4.57,4.9,8.63421,16.001,15.652,15.2071,V
Kepler-176,K,5232,0.89,0.79,0.16,-0.404,4.47,13.7,3.56337,15.818,14.767,14.5446,V
Kepler-221,K,5243,0.82,0.82,0.062,-0.404,4.54,4.57,2.81128,14.853,13.97,13.7486,V
Kepler-1379,K,5188,0.79,0.83,-0.04,-0.403,4.57,5.01,2.5447,17.116,16.107,15.8526,V
K2-252,K,5152,0.82,0.79,-0.09,-0.402,4.5,,2.04024,13.803,12.93,12.6201,V
Kepler-386,K,5178,0.77,0.82,0.16,-0.402,4.56,4.68,2.11687,16.728,15.949,15.6172,V
Kepler-1064,K,5153,0.79,0.85,0,-0.401,4.57,3.89,8.92788,14.528,13.958,13.7409,V
K2-198,K,5212.9,0.76,0.8,0.094,-0.401,4.6,,2.59636,11.798,10.971,10.9955,V
Kepler-1006,G,5328,0.74,0.78,-0.4,-0.4,4.59,4.27,1.8432,15.11,14.467,,V
Kepler-1164,K,5183,0.79,0.85,-0.03,-0.399,4.57,3.63,2.76446,15.896,14.321,14.0899,V
K2-184,K,5220,0.78,0.86,-0.07,-0.399,4.59,,6.966,11.226,10.345,10.13,V
HATS-44,K,5080,0.85,0.86,0.32,-0.398,4.51,9.7,1.98,15.477,14.397,14.1595,V
HATS-43,K,5099,0.81,0.84,0.05,-0.398,4.54,8.6,2.18,14.507,13.562,13.4014,V
Kepler-819,G,5279,0.81,0.86,-0.06,-0.398,4.55,4.47,2.41873,15.094,15.402,15.0662,V
K2-58,G,5413,0.86,0.89,0.11,-0.398,4.52,,2.00934,13.302,12.415,12.1319,V
Kepler-1134,G,5281,0.81,0.84,-0.1,-0.397,4.56,4.9,4.80501,16.75,16.233,15.8249,V
Kepler-245,K,5100,0.8,0.86,0.05,-0.396,4.56,3.63,3.28779,16.911,15.546,15.5969,V
Kepler-668,G,5352,0.82,0.87,-0.06,-0.396,4.55,3.89,6.73215,16.235,15.365,15.2931,V
K2-114,K,5044,0.84,0.89,0.39,-0.395,4.54,9.9,1.655,15.626,14.55,14.2751,V
Kepler-1284,K,5123,0.79,0.84,0.03,-0.395,4.57,4.47,2.93951,17.287,15.912,15.6622,V
Kepler-196,K,5128,0.78,0.85,-0.02,-0.393,4.57,3.98,6.58628,15.132,14.239,14.1033,V
Kepler-1554,K,5297,0.81,0.84,-0.1,-0.393,4.56,4.68,2.48796,16.762,15.93,15.7147,V
K2-182,K,5165,0.8,0.88,0.09,-0.392,4.58,,2.256,12.868,11.833,11.7202,V
Kepler-1413,K,5196,0.8,0.84,-0.05,-0.391,4.57,4.68,2.23278,15.831,16.473,16.2846,V
Kepler-969,K,5214,0.82,0.92,0.22,-0.389,4.57,1.51,3.24214,14.836,13.865,13.7221,V
Kepler-1347,K,5193,0.79,0.82,-0.11,-0.388,4.57,5.62,3.08057,14.565,13.557,13.4122,V
Kepler-253,K,5208,0.79,0.85,0.03,-0.387,4.59,0.7,4.48753,16.653,15.778,15.5122,V
K2-211,K,5221,0.82,0.88,0.11,-0.386,4.6,,2.38468,14.028,13.1547,12.9329,V
K2-86,G,5482,0.76,0.79,-0.35,-0.386,4.58,,2.16081,13.814,13.041,12.7978,V
Kepler-351,G,5643,0.85,0.81,-0.16,-0.386,4.56,2.9,2.93353,16.798,16.229,15.9665,V
Kepler-166,G,5413,0.74,0.88,-0.03,-0.385,4.62,0.8,3.3687,15.678,14.857,14.6848,V
Kepler-781,K,5162,0.78,0.81,-0.1,-0.384,4.58,4.9,1.84941,17.439,16.207,15.9511,V
Kepler-558,K,5242,0.81,0.85,-0.06,-0.384,4.56,4.47,2.34352,15.576,14.899,14.9538,V
Kepler-550,G,5322,0.83,0.87,-0.02,-0.384,4.55,4.68,1.28385,15.555,14.626,14.4716,V
Kepler-148,G,5272,0.85,0.86,0.14,-0.383,4.55,11.2,2.84319,16.627,15.398,15.3362,V
Kepler-607,K,5196,0.8,0.84,-0.02,-0.382,4.56,4.9,3.02639,15.726,14.672,14.3746,V
Kepler-181,G,5333,0.75,0.85,-0.023,-0.379,4.62,0.5,3.54077,15.655,14.854,14.7137,V
Kepler-1236,G,5337,0.82,0.86,-0.09,-0.379,4.55,4.07,6.0153,16.676,16.145,15.9248,V
Kepler-257,K,5180,1.04,0.85,0.04,-0.378,4.36,14,3.03443,16.816,15.652,15.4215,V
Kepler-1132,K,5298,0.83,0.87,-0.01,-0.378,4.55,4.57,1.50773,16.562,15.818,15.4722,V
WASP-23,K,5150,0.77,0.78,0.05,-0.377,4.2,6.2,1.84,13.418,12.539,12.3208,V
Kepler-118,G,5274,1.09,0.81,0.18,-0.377,4.32,13.9,2.37825,15.973,14.867,14.7187,V
Kepler-397,G,5307,0.77,0.84,-0.24,-0.376,4.57,5.25,46.77407,16.156,16.357,,V
Kepler-1011,G,5416,0.88,0.91,0.08,-0.376,4.52,4.47,2.1712,16.406,15.294,15.2028,V
Kepler-636,K,5203,0.8,0.85,-0.02,-0.374,4.56,5.01,6.61361,14.89,13.906,,V
Kepler-816,K,5286,0.85,0.9,0.16,-0.374,4.54,4.17,2.31041,16.871,16.365,15.9357,V
Kepler-243,K,5228,0.84,0.83,0.01,-0.373,4.57,3.5,3.25264,16.046,15.159,15.0573,V
Kepler-477,K,5240,0.79,0.87,-0.04,-0.372,4.58,2.09,1.44556,14.526,13.835,,V
Kepler-478,K,5210,0.8,0.85,-0.03,-0.371,4.56,4.9,4.04712,15.06,14.156,13.9672,V
K2-165,K,5185,0.8,0.83,-0.05,-0.37,4.46,,2.08241,12.451,11.332,11.3272,V
Kepler-1404,K,5261,0.8,0.84,-0.09,-0.37,4.56,4.57,3.95109,16.652,15.931,15.7029,V
Kepler-1374,G,5323,0.81,0.85,-0.13,-0.368,4.56,4.47,4.86052,18.033,15.991,15.93,V
Kepler-230,G,5588,0.82,0.84,-0.14,-0.368,4.55,1.8,2.79093,16.15,15.264,15.073,V
Kepler-195,G,5329,0.78,0.84,-0.11,-0.367,4.6,0.7,2.41247,15.246,14.863,14.7989,V
EPIC 201757695,K,4520,0.66,0.73,-0.003,-0.364,4.66,,,16.22,14.974,,V
Kepler-821,K,5191,0.8,0.84,-0.03,-0.364,4.56,4.79,2.35671,16.593,15.153,14.8177,V
Kepler-1595,K,5203,0.8,0.84,-0.02,-0.363,4.56,4.68,2.74456,16.397,15.508,15.4006,V
Kepler-721,K,5075,0.78,0.82,-0.01,-0.362,4.58,4.9,1.70108,17.031,15.963,15.6428,V
Kepler-841,G,5324,0.81,0.85,-0.09,-0.362,4.56,4.47,25.36857,17.104,15.791,15.7442,V
Kepler-1038,G,5335,0.83,0.87,-0.04,-0.362,4.55,4.27,3.27732,16.029,15.03,14.8561,V
WASP-42,G,5315,0.89,0.95,0.29,-0.361,4.51,4.4,1.885,13.148,12.169,11.9686,V
K2-192,K,5222,0.81,0.9,0.15,-0.36,4.57,,5.975,13.55,12.656,12.45,V
Kepler-976,K,5232,0.83,0.87,0.07,-0.36,4.55,4.68,2.54944,16.868,15.861,15.8033,V
Kepler-1232,G,5471,0.89,0.92,0.06,-0.359,4.51,4.79,1.8739,15.939,14.97,14.7619,V
Kepler-756,G,5282,0.79,0.82,-0.19,-0.358,4.57,4.47,2.17012,16.329,15.986,15.3912,V
Kepler-800,K,5315,0.82,0.85,-0.09,-0.358,4.55,4.68,1.0156,16.88,15.92,15.7477,V
Kepler-662,K,4897,0.74,0.79,-0.03,-0.356,4.6,3.63,6.4784,16.83,15.598,15.3741,V
Kepler-1221,K,5194,0.82,0.87,0.09,-0.355,4.55,4.57,1.04718,16.573,15.909,15.5804,V
NGTS-4,K,5143,0.84,0.75,-0.28,-0.353,4.5,,1.91,13.953,13.138,12.9092,V
K2-273,K,5200,0.84,0.9,0.2,-0.353,4.55,,0.037,14.257,13.246,13.1461,V
Kepler-390,K,5166,0.78,0.86,-0.044,-0.352,4.57,3.24,3.24733,15.08,14.231,13.9222,V
Kepler-1701,K,5146,0.84,0.87,0.03,-0.351,4.53,,2.06781,15.482,14.722,14.5504,V
Kepler-1467,K,5332,0.82,0.86,-0.07,-0.351,4.55,4.37,2.94942,16.206,15.83,15.5207,V
Kepler-1101,G,5614,0.91,0.94,-0.04,-0.351,4.5,4.27,3.7581,15.915,15.156,15.0958,V
Kepler-1024,K,5143,0.78,0.81,-0.1,-0.35,4.57,5.25,1.46712,16.234,16.272,16.0064,V
Kepler-736,K,5217,0.81,0.86,0.03,-0.35,4.56,4.27,2.78265,17,15.809,15.7425,V
Kepler-931,K,5241,0.81,0.86,-0.01,-0.35,4.55,4.68,3.22363,15.643,14.643,14.488,V
Kepler-595,K,5138.5,0.82,0.93,0.406,-0.348,4.54,2.7,2.60841,15.83,15.067,14.7628,V
Kepler-679,K,5403,0.84,0.87,-0.09,-0.348,4.54,4.47,0.49933,16.495,15.771,15.5291,V
K2-176,G,5428,0.86,0.94,0.15,-0.348,4.63,,1.2831,13.759,12.909,12.6504,V
Kepler-589,K,5296,0.83,0.88,0.01,-0.347,4.55,4.47,2.33888,15.572,14.775,14.6611,V
Kepler-1301,G,5188,0.81,0.85,0.01,-0.346,4.56,4.9,8.94101,16.31,15.656,15.3734,V
K2-191,K,5176,0.84,0.9,0.31,-0.345,4.57,,1.65547,14.176,13.329,12.9948,V
Kepler-1247,K,5303,0.82,0.86,-0.05,-0.345,4.55,4.68,7.43092,17.149,15.925,15.9013,V
TrES-5,K,5171,0.87,0.9,0.2,-0.344,4.52,7.4,1.945,14.407,13.677,13.4599,V
Kepler-973,G,5213,0.78,0.86,-0.06,-0.344,4.58,2.29,2.18901,14.279,13.478,13.234,V
Kepler-673,K,5355,0.84,0.88,0,-0.344,4.54,4.47,1.41129,16.437,15.592,15.5056,V
Kepler-877,G,5261,0.81,0.85,-0.06,-0.343,4.56,4.57,1.19692,15.419,14.74,14.5228,V
Kepler-1160,G,5519,0.89,0.92,0.01,-0.343,4.51,4.57,3.39097,16.936,16.006,15.8003,V
Kepler-57,K,5145,0.73,0.83,0.117,-0.342,4.63,0.6,2.74529,16.019,15.017,14.7738,V
Kepler-1151,G,5470,0.85,0.88,-0.11,-0.342,4.53,4.37,6.66383,15.567,15.005,14.8569,V
Kepler-284,G,5615,0.81,0.92,0.14,-0.341,4.58,0.5,3.57325,16.602,15.944,15.8126,V
Kepler-273,G,5626,0.81,0.94,0.14,-0.341,4.51,5.1,4.62323,15.897,15.1,14.9683,V
Kepler-1175,G,5453,0.86,0.9,-0.04,-0.34,4.53,4.17,4.60464,16.94,15.972,15.9163,V
Kepler-1600,G,5214,0.82,0.86,0.07,-0.339,4.55,4.68,2.68951,16.645,16.076,15.8138,V
Kepler-600,G,5279,0.81,0.84,-0.09,-0.339,4.56,4.57,0.52088,15.755,14.846,14.701,V
Kepler-1699,G,5575.53,0.72,0.81,0.225,-0.339,4.62,,9.94108,15.68,14.836,14.6614,V
Kepler-876,K,5060,0.77,0.81,-0.03,-0.338,4.58,5.25,2.22584,16.25,15.647,15.3301,V
Kepler-1170,K,5069,0.76,0.8,-0.09,-0.338,4.58,4.9,1.80506,16.864,16.204,15.9093,V
Kepler-1553,K,5288,0.81,0.85,-0.09,-0.338,4.56,4.57,2.03642,15.819,15.251,14.9914,V
Kepler-222,G,5433,0.87,0.88,0.05,-0.338,4.55,0.7,4.36488,16.098,15.407,15.0603,V
Kepler-292,K,5299,0.83,0.85,-0.07,-0.337,4.54,5.13,2.14949,16.606,16.303,15.9419,V
Kepler-578,K,5334,0.83,0.87,-0.03,-0.337,4.54,4.68,0.98429,15.761,14.578,14.4107,V
Kepler-1014,K,5388,0.84,0.88,-0.06,-0.337,4.54,4.79,3.6704,15.815,14.866,14.6265,V
Kepler-404,G,5654,0.88,0.93,-0.04,-0.337,4.54,0.4,2.50636,16.335,15.479,15.1906,V
Kepler-1541,G,5282,0.81,0.86,-0.04,-0.336,4.56,4.47,10.44514,15.348,13.944,13.7908,V
Pr0211,K,5300,0.83,0.94,0.18,-0.336,4.51,0.578,2.01172,13.062,12.163,11.9281,V
Kepler-519,G,5260,0.8,0.89,0.01,-0.335,4.58,1.91,2.35108,13.695,12.77,12.6181,V
K2-202,G,5491,0.91,0.97,0.27,-0.335,4.55,,1.75012,14.189,13.354,13.0435,V
Kepler-763,K,5166,0.8,0.84,0.01,-0.334,4.57,4.79,4.49591,16.883,15.965,15.6824,V
Kepler-1045,K,5301,0.82,0.86,-0.03,-0.334,4.55,4.47,8.98752,16.304,15.879,15.549,V
Kepler-151,K,5460,0.83,0.87,0.124,-0.334,4.55,4.6,3.74862,15.638,14.957,14.7189,V
Kepler-1259,K,5053,0.77,0.8,-0.07,-0.333,4.58,5.25,4.30442,16.47,15.556,15.333,V
Kepler-1138,G,5582,0.92,0.95,0.04,-0.333,4.49,4.37,6.55345,16.448,15.885,15.3357,V
Kepler-405,K,5818,0.89,0.91,-0.03,-0.331,4.54,4.68,2.22952,16.243,16.181,15.8023,V
Kepler-1355,K,5352,0.83,0.88,-0.04,-0.329,4.55,4.27,3.16032,16.68,15.595,15.452,V
Kepler-27,K,5400,0.59,0.65,0.41,-0.329,5.4,1.62,3.22487,16.865,15.822,15.8164,V
K2-65,K,5213,0.84,0.87,-0.34,-0.328,4.53,,,11.673,10.71,,V
Kepler-233,K,5360,0.76,0.85,-0.09,-0.328,4.61,0.6,3.86328,16.354,15.477,15.3263,V
K2-329,G,5282,0.82,0.9,0.098,-0.325,4.57,1.8,2.3,13.542,12.697,12.4462,V
Kepler-1313,G,5453,0.85,0.92,0,-0.325,4.54,2.69,2.56622,12.434,12.363,11.7892,V
Kepler-1692,K,5146,0.87,0.87,0.36,-0.324,4.5,6.1,1.88766,16.404,14.674,14.5049,V
Kepler-1241,K,5261,0.8,0.84,-0.09,-0.324,4.56,4.68,1.47924,16.173,15.886,15.669,V
Kepler-1507,K,5410,0.85,0.89,-0.03,-0.324,4.53,4.57,2.45597,14.237,13.267,13.1038,V
Kepler-932,K,5331,0.84,0.87,-0.01,-0.322,4.54,4.68,2.88,15.244,14.308,14.136,V
