hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_bmag,sy_vmag,sy_gaiamag,lum_class
Kepler-621,K,4521,0.68,0.72,-0.02,-0.759,4.63,3.63,2.07457,16.666,15.22,14.8956,V
Kepler-158,M,4623,0.62,0.66,-0.03,-0.757,4.66,13.9,0.50919,15.849,14.743,14.4165,V
Kepler-1492,M,4712,0.72,0.77,0.06,-0.754,4.62,2.82,1.71211,16.08,14.689,14.4962,V
K2-121,K,4551,0.68,0.72,-0.04,-0.745,4.63,,6.532,14.36,13.229,12.9247,V
Kepler-834,K,4554,0.66,0.7,-0.13,-0.745,4.64,2.69,3.60222,17.406,16.211,15.9285,V
Kepler-1337,K,4523,0.67,0.7,-0.09,-0.742,4.64,4.27,1.6892,17.323,16.21,15.8169,V
Kepler-892,K,4747,0.72,0.75,-0.04,-0.735,4.61,5.01,2.79666,17.139,15.967,15.5902,V
K2-116,K,4348.35,0.67,0.69,0.01,-0.734,4.64,,2.18936,11.982,10.8,10.3281,V
Kepler-298,K,4465,0.58,0.66,-0.21,-0.733,4.71,2.4,6.83183,17.375,15.617,15.4179,V
Kepler-1318,K,4598,0.7,0.73,-0.01,-0.73,4.62,4.57,4.29671,16.817,15.531,15.2424,V
Kepler-1320,K,4817,0.74,0.8,0.1,-0.729,4.6,3.16,4.76821,17.393,15.936,15.9045,V
Kepler-1246,K,4611,0.69,0.73,-0.03,-0.727,4.63,3.89,0.11476,16.742,15.27,15.0318,V
Kepler-1190,K,4730,0.72,0.76,-0.02,-0.727,4.62,3.98,2.94604,16.107,14.665,14.494,V
K2-62,K,4880,0.73,0.77,-0.29,-0.727,4.6,,3.00696,13.486,12.391,12.0433,V
K2-199,K,4648,0.68,0.73,-0.11,-0.721,4.64,,2.92839,13.323,12.358,11.9053,V
K2-255,K,4676,0.69,0.71,-0.14,-0.72,4.62,,1.94835,14.951,13.662,13.3087,V
Kepler-928,K,4700,0.7,0.73,-0.11,-0.719,4.62,4.37,2.2407,16.683,15.586,15.3227,V
Kepler-967,K,5178,0.8,0.84,-0.03,-0.718,4.56,5.89,3.39073,15.72,14.702,14.4513,V
Kepler-1359,K,4709,0.72,0.78,0.11,-0.717,4.62,2.34,2.71881,16.709,15.987,15.7534,V
Kepler-354,K,4648,0.67,0.65,-0.03,-0.714,4.63,13.8,0.7995,17.04,15.771,15.5561,V
K2-45,M,4103,0.45,0.5,,-0.712,4.82,,2.12887,17.05,15.746,15.3442,V
HATS-48 A,K,4546,0.72,0.73,0.186,-0.709,4.59,11.97,2.804,15.57,14.226,13.8951,V
Kepler-1526,K,4601,0.69,0.73,-0.01,-0.707,4.62,4.68,6.31698,17.334,15.935,15.6551,V
Kepler-1684,K,4706.54,0.67,0.75,0.127,-0.707,4.67,,3.56721,16.935,15.951,15.765,V
Kepler-866,K,4751,0.71,0.75,-0.07,-0.705,4.62,4.27,2.66491,17.218,16.124,15.7966,V
K2-42,K,4613,0.64,0.7,,-0.703,4.66,,2.58259,16.102,15.006,14.6336,V
Kepler-436,K,4651,0.7,0.73,0.01,-0.701,4.62,3,3.03,17.436,15.971,15.8616,V
